method,target,theta_deg,success,depth,axis_err_deg,lateral_mm
source,diagonal_early,10.0,True,0.0718,1.334,1.831
target,diagonal_early,10.0,True,0.0716,0.649,1.874
no_adapt,diagonal_early,-5.0,False,0.0941,0.556,19.485
rigid,diagonal_early,-5.0,True,0.0710,0.414,1.645
source,diagonal_early,-5.0,True,0.0712,0.591,1.712
target,diagonal_early,-5.0,True,0.0713,0.765,1.822
no_adapt,diagonal_early,5.0,True,0.0716,3.918,2.436
rigid,diagonal_early,5.0,True,0.0704,0.238,1.621
source,diagonal_early,5.0,True,0.0714,0.264,1.577
target,diagonal_early,5.0,True,0.0714,0.200,1.550
no_adapt,diagonal_early,-10.0,False,0.0940,0.177,17.603
rigid,diagonal_early,-10.0,True,0.0711,1.148,1.644
source,diagonal_early,-10.0,True,0.0718,0.817,1.897
target,diagonal_early,-10.0,True,0.0717,0.784,1.899
no_adapt,diagonal_early,10.0,True,0.0719,2.437,1.171
rigid,diagonal_early,10.0,True,0.0712,1.308,1.607
source,diagonal_early,10.0,True,0.0714,0.056,1.481
target,diagonal_early,10.0,True,0.0717,0.129,1.276
no_adapt,diagonal_early,-5.0,False,0.0940,0.157,17.557
rigid,diagonal_early,-5.0,True,0.0710,1.132,1.758
source,diagonal_early,-5.0,True,0.0718,1.176,1.846
target,diagonal_early,-5.0,True,0.0709,0.916,1.689
no_adapt,diagonal_early,5.0,True,0.0706,4.552,0.672
rigid,diagonal_early,5.0,True,0.0715,1.017,1.709
source,diagonal_early,5.0,True,0.0714,1.261,1.794
target,diagonal_early,5.0,True,0.0718,0.483,1.858
no_adapt,diagonal_early,-10.0,False,0.0942,1.028,18.621
rigid,diagonal_early,-10.0,True,0.0716,1.162,1.641
source,diagonal_early,-10.0,True,0.0710,1.958,1.583
target,diagonal_early,-10.0,True,0.0718,0.531,1.995
no_adapt,diagonal_early,10.0,True,0.0704,5.522,0.434
rigid,diagonal_early,10.0,True,0.0710,1.082,1.714
source,diagonal_early,10.0,True,0.0713,0.914,1.656
target,diagonal_early,10.0,True,0.0714,2.212,1.778
no_adapt,diagonal_early,-5.0,False,0.0942,0.865,20.092
rigid,diagonal_early,-5.0,True,0.0718,1.669,1.899
source,diagonal_early,-5.0,True,0.0718,1.175,1.994
