mode,half_align_depth_m,align_end_depth_m,ramp_len_steps
lift_early,0.21863439750572167,0.19582015154922588,66.0
lift_late,0.12543059093677927,0.12566286734988008,86.125
diagonal_early,0.21898297024810914,0.21104139268275718,21.5
diagonal_late,0.12538247323303475,0.11471996022594533,26.125
