mode_id,block_id,pitch_deg,success_terminal,terminal_depth,terminal_lateral,E1,E2,E3,n_steps
diagonal_early,4,10.0,True,0.0691,0.0021,252,353,361,362
diagonal_early,0,-12.5,True,0.0708,0.0020,250,354,363,364
diagonal_early,1,-12.5,True,0.0703,0.0005,247,347,359,360
diagonal_early,2,-12.5,True,0.0703,0.0021,250,354,363,364
diagonal_early,3,-12.5,True,0.0702,0.0019,250,354,363,364
diagonal_early,4,-12.5,True,0.0707,0.0021,250,354,363,364
lift_early,3,-5.0,True,0.0695,0.0015,279,359,369,370
diagonal_early,0,12.5,True,0.0676,0.0020,253,355,363,365
diagonal_early,1,12.5,True,0.0716,0.0022,253,346,354,355
diagonal_early,2,12.5,True,0.0675,0.0019,253,357,366,367
diagonal_early,3,12.5,True,0.0711,0.0021,253,350,358,359
diagonal_early,4,12.5,True,0.0716,0.0019,253,355,363,364
diagonal_early,0,-15.0,True,0.0702,0.0020,250,345,355,356
diagonal_early,1,-15.0,True,0.0709,0.0014,247,342,353,354
diagonal_early,2,-15.0,True,0.0697,0.0020,250,347,357,358
diagonal_early,3,-15.0,True,0.0708,0.0005,250,346,357,358
diagonal_early,4,-15.0,True,0.0693,0.0020,250,346,356,357
lift_early,4,-5.0,True,0.0695,0.0021,279,353,362,363
diagonal_early,0,15.0,True,0.0709,0.0020,254,347,355,356
diagonal_early,1,15.0,True,0.0681,0.0021,253,349,357,359
diagonal_early,2,15.0,True,0.0717,0.0000,254,348,358,359
diagonal_early,3,15.0,True,0.0708,0.0020,254,347,355,356
diagonal_early,4,15.0,True,0.0709,0.0021,254,347,355,356
diagonal_late,0,0.0,True,0.0696,0.0021,251,319,328,329
diagonal_late,1,0.0,True,0.0713,0.0020,248,313,321,322
diagonal_late,2,0.0,True,0.0697,0.0020,250,320,329,330
diagonal_late,3,0.0,True,0.0715,0.0021,251,319,327,328
diagonal_late,4,0.0,True,0.0695,0.0020,251,319,328,329
lift_early,2,0.0,True,0.0691,0.0021,279,353,362,363
