seed,theta_deg,method,phase,axis_rmse_deg,position_rmse_mm
20260910,-10.0,frozen,all,0.5220363248869033,4.545966611259613
20260910,-10.0,frozen,align,1.0224624509650582,9.014203636190034
20260910,-10.0,frozen,insert,0.12782044856803335,0.7045845456064631
20260910,-10.0,identity,all,2.8281947632732485,15.320426883889576
20260910,-10.0,identity,align,5.653396017517006,30.61696847354327
20260910,-10.0,identity,insert,0.13765177691912264,0.7056203783561671
20260910,-10.0,no_adaptation,all,9.36186615143534,16.803089000028987
20260910,-10.0,no_adaptation,align,7.40305010752209,21.562643598475567
20260910,-10.0,no_adaptation,insert,9.877271277019664,13.028235369377027
20260910,10.0,frozen,all,0.7037982028622609,5.5542696580158095
20260910,10.0,frozen,align,1.3922575741468766,11.02700573144233
20260910,10.0,frozen,insert,0.058941605493411584,0.6339911634997538
20260910,10.0,identity,all,2.373277993931981,15.266345629785237
20260910,10.0,identity,align,4.744016896509558,30.502831192321295
20260910,10.0,identity,insert,0.07060811664550351,0.6374252942743284
20260910,10.0,no_adaptation,all,9.571974777920333,16.940657777710328
20260910,10.0,no_adaptation,align,8.38421533194754,22.060971801698898
20260910,10.0,no_adaptation,insert,9.930089213468554,13.036181975103183
20270910,-10.0,frozen,all,0.3909790684153252,3.195427990777249
20270910,-10.0,frozen,align,0.7465031387188942,6.219565898220775
20270910,-10.0,frozen,insert,0.14481953668417016,0.6420684309720397
20270910,-10.0,identity,all,2.498746479347266,14.883331501499764
20270910,-10.0,identity,align,4.994453803521223,29.728895976703317
20270910,-10.0,identity,insert,0.10010483856504672,0.6486903394239687
20270910,-10.0,no_adaptation,all,9.44259984191161,16.39587666769312
20270910,-10.0,no_adaptation,align,7.7119210861118885,20.067596980433954
20270910,-10.0,no_adaptation,insert,9.919030965152848,13.093243490967765
20270910,10.0,frozen,all,0.4786407528851624,7.297304277639018
20270910,10.0,frozen,align,0.9036319183116169,14.473203020437742
20270910,10.0,frozen,insert,0.1897890411692819,1.088811097728558
20270910,10.0,identity,all,2.495146479010448,15.625487158764402
20270910,10.0,identity,align,4.984439084777333,31.195022548163372
20270910,10.0,identity,insert,0.1396690003457434,1.0679404780750696
20270910,10.0,no_adaptation,all,9.412588946274695,17.757414100737286
20270910,10.0,no_adaptation,align,7.746388016935458,24.60801360177337
20270910,10.0,no_adaptation,insert,9.863251084171266,12.828933594208818
20280910,-10.0,frozen,all,0.4729572116355145,2.0428864591393125
20280910,-10.0,frozen,align,0.9102902640800189,3.792871399425988
20280910,-10.0,frozen,insert,0.1404717177206515,0.8726971976533002
20280910,-10.0,identity,all,2.588548402331335,14.587952219396746
20280910,-10.0,identity,align,5.1722286563563715,29.135698198246754
20280910,-10.0,identity,insert,0.15325383057215725,0.879238049887408
20280910,-10.0,no_adaptation,all,9.535587001634413,16.151204076021802
20280910,-10.0,no_adaptation,align,7.757271689620169,18.99027242866679
20280910,-10.0,no_adaptation,insert,10.13276833181302,13.400271545779555
20280910,10.0,frozen,all,0.882336648963365,6.752451315582349
20280910,10.0,frozen,align,1.7468058339900183,13.431098993465415
20280910,10.0,frozen,insert,0.16411926622654527,0.8967793481793922
20280910,10.0,identity,all,2.5921002703256297,15.520192654297116
20280910,10.0,identity,align,5.180007001356042,31.008165441125325
20280910,10.0,identity,insert,0.14716874503263086,0.8920000362039083
20280910,10.0,no_adaptation,all,9.51040987355778,17.56114057298993
20280910,10.0,no_adaptation,align,8.141488359080727,23.79018563676275
20280910,10.0,no_adaptation,insert,9.854771660551402,12.981465109223048
