seed,subset_id,sample_size,variant,component_candidates,cv_n_init,final_n_init,fit_success,fit_error,fit_seconds,task_error_mean_mm_equiv,n_components
20290818,20,5,expanded-K,"(2, 3, 4)",2,5,True,,1.8379164668731391,8.032528310901604,2
20290818,20,5,full-EM,"(2, 3, 4)",5,10,True,,6.542203165125102,8.032528310901604,2
20290818,21,5,expanded-K,"(2, 3, 4)",2,5,True,,1.1544320019893348,8.403502868329273,2
20290818,21,5,full-EM,"(2, 3, 4)",5,10,True,,2.5773181612603366,8.403502868329273,2
20290818,22,5,expanded-K,"(2, 3, 4)",2,5,True,,2.4544690549373627,8.818856300873717,2
20290818,22,5,full-EM,"(2, 3, 4)",5,10,True,,5.3181215869262815,8.818856300873717,2
20290818,23,5,expanded-K,"(2, 3, 4)",2,5,True,,2.522351623978466,4.125866522678324,3
20290818,23,5,full-EM,"(2, 3, 4)",5,10,True,,6.403438786976039,4.385810676855694,4
20290818,24,5,expanded-K,"(2, 3, 4)",2,5,True,,1.077627555001527,9.597949556316868,2
20290818,24,5,full-EM,"(2, 3, 4)",5,10,True,,4.102781014051288,9.597949556316868,2
20290818,60,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,9.747507725842297,3.210570321835726,4
20290818,61,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,9.198078912682831,8.965358687400949,2
20290818,62,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,9.982378885149956,8.77081761563434,2
20290818,63,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,8.383758653886616,9.219456452960365,2
20290818,64,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,10.241804046090692,9.20818192224252,2
