seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,task_error_mean_mm_equiv,task_endpoint_error_mean_mm_equiv,generator_rmse,g_translation_final,g_yaw_preclear,g_yaw_final,switch_detected,switch_absolute_error,n_components,component_candidates
20290818,20,random,5,0,TP-GMM SE(2),True,,1.4122719410806894,3.6272732714278364,0.29196358334868217,0.28153220295733783,0.9977901872176653,0.9046173612149045,0.06742956229879112,True,0.022188868147803076,4,"(4,)"
20290818,21,random,5,1,TP-GMM SE(2),True,,1.517052685841918,10.556744230001907,0.3995276583612101,0.3599842078105422,0.9915323774189027,0.4956715633944767,0.18431937059894093,False,,4,"(4,)"
20290818,22,random,5,2,TP-GMM SE(2),True,,0.8360084877349436,11.87331877816996,0.322635354212114,0.42748285046815293,0.9934965835075443,0.45540765911038755,0.4560699815357245,False,,4,"(4,)"
20290818,23,random,5,3,TP-GMM SE(2),True,,0.483931764960289,4.385810668824641,0.298843704202026,0.3256232761917568,0.9952767927284223,0.6154736478171825,0.04898968571537652,True,0.0742500752327232,4,"(4,)"
20290818,24,random,5,4,TP-GMM SE(2),True,,0.5529839503578842,20.445603524795366,0.35413444963381924,0.36742048311006953,0.9943392878446953,0.4715633089598227,0.4716615786351938,False,,4,"(4,)"
20290818,60,random,10,0,TP-GMM SE(2),True,,2.3809430520050228,3.210570321835726,0.23622404312746426,0.2725824539527452,0.9976484050287765,0.8859206816282015,0.05602282730379591,True,0.03262929130555292,4,"(4, 6, 8)"
20290818,61,random,10,1,TP-GMM SE(2),True,,2.3507622578181326,6.287118815505893,0.25939292429893945,0.28849107858108547,0.9974710315052931,0.8113049535684975,0.07266295547994793,True,0.04976627857867888,4,"(4, 6, 8)"
20290818,62,random,10,2,TP-GMM SE(2),True,,2.2458222480490804,5.861787257391677,0.2359977713932338,0.29140346140281825,0.9946973431859476,0.850552633691968,0.084143511560732,True,0.038929550509640976,4,"(4, 6, 8)"
20290818,63,random,10,3,TP-GMM SE(2),True,,4.276623040437698,8.581591784785148,0.30747740123547884,0.3076541304039196,0.9955140651390351,0.6735383697624744,0.06155364689034495,True,0.06774082528101055,4,"(4, 6, 8)"
20290818,64,random,10,4,TP-GMM SE(2),True,,3.340726386755705,6.207405930606187,0.26884091131392734,0.28747922532339043,0.9958558546159676,0.8100663430297573,0.06592775352642796,True,0.04657643313672011,4,"(4, 6, 8)"
20290818,100,random,20,0,TP-GMM SE(2),True,,13.136549836955965,5.673167791510672,0.26124997895878493,0.29395502040739974,0.9970825463949936,0.8531563815545151,0.05914130929963696,True,0.03921425523774369,4,"(4, 6, 8, 10, 12, 16)"
20290818,101,random,20,1,TP-GMM SE(2),True,,13.303917801938951,3.9701389745807028,0.26868161490398346,0.2718626581463047,0.9963684619915562,0.914707546109147,0.047615119120440745,True,0.019719616731108114,6,"(4, 6, 8, 10, 12, 16)"
20290818,102,random,20,2,TP-GMM SE(2),True,,15.006958131678402,3.9721670153381883,0.24576475653536176,0.24779358079483296,0.9975058847753968,0.8929776653184806,0.05714786104997911,True,0.03078798419931894,8,"(4, 6, 8, 10, 12, 16)"
20290818,103,random,20,3,TP-GMM SE(2),True,,13.1123574282974,5.90424947611357,0.29162512132821494,0.359432539532957,0.9952983378831692,0.48199976470491207,0.48207271227095266,False,,4,"(4, 6, 8, 10, 12, 16)"
20290818,104,random,20,4,TP-GMM SE(2),True,,11.331140202004462,4.80030637365841,0.2546792014419457,0.29078959435608637,0.9973723163929539,0.801364074045869,0.07742746178568652,True,0.051267496589019634,4,"(4, 6, 8, 10, 12, 16)"
20290818,120,all,30,0,TP-GMM SE(2),True,,25.850962434895337,3.404928160635355,0.2545874340025821,0.2811695916041094,0.9971206876471371,0.8995628722873243,0.05557955872098475,True,0.02749937486663423,6,"(4, 6, 8, 10, 12, 16, 20)"
