domain,condition,dataset,episode,seed,source,radius_mm,status,grip_frame,apex_frame,near_target_frame,terminal_frame,grip_to_apex_s,apex_to_near_s,near_to_terminal_s,lift_height_m,terminal_x_m,terminal_y_m,terminal_z_m,near_frame_solver_phase,apex_frame_solver_phase
sim,upright,sim_10degree,0,20260910,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/sim_10degree/circular_seed_20260910.h5::episode_0,30.0,ok,184,219,332,432,1.75,5.65,5.0,0.09380748867988586,-0.1531271232025964,0.0005589660889069949,0.17702995666435786,4.0,2.0
sim,pitch_minus,sim_10degree,3,20260910,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/sim_10degree/circular_seed_20260910.h5::episode_3,30.0,ok,183,218,349,450,1.75,6.55,5.05,0.09441116452217102,-0.16930937554155076,0.0008867082984319755,0.1728073912007468,4.0,2.0
sim,pitch_plus,sim_10degree,4,20260910,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/sim_10degree/circular_seed_20260910.h5::episode_4,30.0,ok,183,218,337,429,1.75,5.95,4.6,0.0946907103061676,-0.1367956634078707,0.0006840278926704611,0.17495241122586386,4.0,2.0
sim,upright,sim_10degree,0,20270910,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/sim_10degree/circular_seed_20270910.h5::episode_0,30.0,ok,178,213,334,425,1.75,6.05,4.55,0.093557208776474,-0.15257062514623007,-0.0004595931774626176,0.17588807394107184,4.0,2.0
sim,pitch_minus,sim_10degree,3,20270910,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/sim_10degree/circular_seed_20270910.h5::episode_3,30.0,ok,185,220,353,449,1.75,6.65,4.8,0.09480839967727661,-0.16878736444881984,0.0008749721538541573,0.17315292358398438,4.0,2.0
sim,pitch_plus,sim_10degree,4,20270910,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/sim_10degree/circular_seed_20270910.h5::episode_4,30.0,ok,183,218,337,431,1.75,5.95,4.7,0.09465661644935608,-0.1364557764359883,0.0007214201614260674,0.17508326257978166,4.0,2.0
sim,upright,sim_10degree,0,20280910,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/sim_10degree/circular_seed_20280910.h5::episode_0,30.0,ok,178,213,333,424,1.75,6.0,4.55,0.09357094764709473,-0.1524228279789289,0.0008832289701482902,0.17594301948944727,4.0,2.0
sim,pitch_minus,sim_10degree,3,20280910,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/sim_10degree/circular_seed_20280910.h5::episode_3,30.0,ok,184,219,352,453,1.75,6.65,5.05,0.09401208162307739,-0.17009935714304447,-0.0007997756474651396,0.17464765161275864,4.0,2.0
sim,pitch_plus,sim_10degree,4,20280910,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/sim_10degree/circular_seed_20280910.h5::episode_4,30.0,ok,184,219,337,434,1.75,5.9,4.85,0.09399166703224182,-0.13621216586657933,0.0005906523604478155,0.17605820085321153,4.0,2.0
real,upright,insert_jc_fix_3,0,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_000.npz,40.0,ok,195,270,313,505,2.5,1.4333333333333333,6.4,0.07496247624933422,0.519968425826775,0.11910582108800609,0.14048993710737698,,
real,upright,insert_jc_fix_3,1,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_001.npz,40.0,ok,184,261,317,453,2.566666666666667,1.8666666666666667,4.533333333333333,0.06418623984406571,0.5187463112148465,0.11479212477733529,0.13976015806268074,,
real,upright,insert_jc_fix_3,2,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_002.npz,40.0,ok,192,310,341,512,3.933333333333333,1.0333333333333334,5.7,0.0921314708042621,0.5136907659087702,0.11316259912528641,0.1383373966912011,,
real,upright,insert_jc_fix_3,3,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_003.npz,40.0,ok,219,295,346,522,2.533333333333333,1.7,5.866666666666666,0.07538137506541406,0.5145492765683286,0.11095987523321273,0.13773207697786247,,
real,upright,insert_jc_fix_3,4,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_004.npz,40.0,ok,209,289,314,434,2.6666666666666665,0.8333333333333334,4.0,0.08410580598796966,0.5166415043138483,0.10967487950958946,0.1390915105919873,,
real,upright,insert_jc_fix_3,5,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_005.npz,40.0,ok,200,295,358,490,3.1666666666666665,2.1,4.4,0.07154230637460046,0.5168289225198266,0.11485768044817876,0.14249969565971735,,
real,upright,insert_jc_fix_3,6,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_006.npz,40.0,ok,176,256,284,432,2.6666666666666665,0.9333333333333333,4.933333333333334,0.09060710667412519,0.5137858072650605,0.11632609011828375,0.13819842717065153,,
real,upright,insert_jc_fix_3,7,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_007.npz,40.0,ok,154,270,320,483,3.8666666666666667,1.6666666666666667,5.433333333333334,0.08913966245272956,0.5138923852406053,0.1227234012366309,0.13825521460870596,,
real,upright,insert_jc_fix_3,8,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_008.npz,40.0,ok,235,345,390,536,3.6666666666666665,1.5,4.866666666666666,0.08282084850794152,0.5138193669146306,0.12092221797335358,0.14005601876534665,,
real,upright,insert_jc_fix_3,9,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_009.npz,40.0,ok,256,337,364,483,2.7,0.9,3.966666666666667,0.0741924159134372,0.5229784603388704,0.1167203719223799,0.1399761545233336,,
real,upright,insert_jc_fix_3,10,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_010.npz,40.0,ok,170,277,309,491,3.566666666666667,1.0666666666666667,6.066666666666666,0.07067608854528284,0.5262849589124714,0.11457059582594266,0.14058064553605473,,
real,upright,insert_jc_fix_3,11,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_011.npz,40.0,ok,138,215,258,438,2.566666666666667,1.4333333333333333,6.0,0.07730120234885954,0.5136768779792873,0.11879734630407258,0.1397513055811257,,
real,upright,insert_jc_fix_3,12,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_012.npz,40.0,ok,222,311,339,510,2.966666666666667,0.9333333333333333,5.7,0.07478722376348548,0.5201140346740936,0.1157298763902015,0.13978241224470392,,
real,upright,insert_jc_fix_3,13,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_013.npz,40.0,ok,157,221,242,357,2.1333333333333333,0.7,3.8333333333333335,0.06673290523075645,0.5220831996887874,0.12015357104190037,0.14146063623507035,,
real,upright,insert_jc_fix_3,14,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_014.npz,40.0,ok,212,293,341,529,2.7,1.6,6.266666666666667,0.09467147582182059,0.5241115429644969,0.1152323091996775,0.1411917884728734,,
real,upright,insert_jc_fix_3,15,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_015.npz,40.0,ok,167,221,269,457,1.8,1.6,6.266666666666667,0.10038121989840623,0.5148951635370113,0.11389303849536532,0.14474232275909804,,
real,upright,insert_jc_fix_3,16,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_016.npz,40.0,ok,180,265,292,374,2.8333333333333335,0.9,2.7333333333333334,0.07332356463284645,0.5198046946857416,0.10150533451618284,0.13745907519314624,,
real,upright,insert_jc_fix_3,17,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_017.npz,40.0,ok,145,204,233,431,1.9666666666666666,0.9666666666666667,6.6,0.08423892098245167,0.5164961358636538,0.1107023246150251,0.14008700284435469,,
real,upright,insert_jc_fix_3,18,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_018.npz,40.0,ok,224,298,321,490,2.466666666666667,0.7666666666666667,5.633333333333334,0.06876647681736922,0.5229175415168039,0.11741228010045618,0.142304188426586,,
real,upright,insert_jc_fix_3,19,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_019.npz,40.0,ok,248,364,388,493,3.8666666666666667,0.8,3.5,0.08343853216320499,0.5195006861297,0.11114788586283546,0.13932780138100498,,
real,upright,insert_jc_fix_3,20,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_020.npz,40.0,ok,185,254,291,478,2.3,1.2333333333333334,6.233333333333333,0.06542515427377382,0.5205281940679592,0.11253515103032398,0.14515027474535006,,
real,upright,insert_jc_fix_3,21,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_021.npz,40.0,ok,202,275,324,516,2.433333333333333,1.6333333333333333,6.4,0.10603504563557978,0.5114297548065785,0.11050291119266516,0.13840002570376717,,
real,upright,insert_jc_fix_3,22,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_022.npz,40.0,ok,158,224,302,441,2.2,2.6,4.633333333333334,0.06766030500375705,0.5148793752045603,0.11736411023684144,0.14050772540244508,,
