task,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,alpha_pre,alpha_post,e_alpha,delta_others_max,m4_correct,switch_detected,switch_status,switch_location,alpha_pre_du,alpha_pre_dv,alpha_pre_dw,alpha_pre_roll,alpha_pre_pitch,alpha_pre_yaw,delta_du,delta_dv,delta_dw,delta_roll,delta_pitch,delta_yaw
keyed,20260818,4,qualified,8,1,Frame-weighted (SE(3)),True,,0.00665248600034829,0.7931936995536886,0.7510551690169919,0.16153951606114922,0.042138530536696805,False,False,right_censored,,0.7931936995536885,0.7931936995536885,0.7931936995536885,0.7931936995536885,0.7931936995536885,0.7931936995536885,0.042138530536696805,0.042138530536696805,0.042138530536696805,0.042138530536696805,0.042138530536696805,0.042138530536696805
keyed,20260818,4,qualified,8,1,Full operator (SE(3)),True,,0.0006865529999231512,0.8253620612886431,0.1953799931497534,0.09312602220109086,-0.17742610896439737,True,True,detected,0.5972889138503339,0.7928173169799689,0.7964342122095072,0.7430979547678305,0.8224995161669935,0.8237714606427626,0.825362061288643,-0.20578888846642096,-0.21484498168753552,-0.2600262868001295,-0.17925224314158394,-0.17742610896439737,0.6299820681388895
keyed,20260818,4,qualified,8,1,Pdiag pointwise (SE(3)),True,,0.01659870299999966,0.8162850328051537,0.20183993671081402,0.1963785222574837,-0.13935072235191814,True,True,detected,0.6004331045901043,0.2773631476684988,1.2418889770631498,0.5292501850758621,0.8366656729714999,0.8128310882570169,0.8162850328051537,-0.21438119315791265,-0.13935072235191814,-0.4056917664216726,-0.1661795090178404,-0.18859797575605275,0.6144450960943397
keyed,20260818,4,qualified,8,1,Pdiag finite (SE(3)),True,,9.559251996000057,0.7217310893007628,0.2968038045346672,0.11014017202863059,-0.015435983945087384,False,True,detected,0.6080269750253811,0.8637273525506722,0.7293178919987744,0.7418842935738624,0.8043170853461494,0.8215569748161644,0.7217310893007628,-0.015435983945087384,-0.21256380684332887,-0.26287686043752234,-0.21747816840607803,-0.19656292376320872,0.4249272847660956
keyed,20260818,2,random,8,2,Frame-weighted (SE(3)),True,,0.0027076589999524003,0.4109127200274767,0.38880322065647754,0.3661508079267895,0.022109499370999264,False,True,detected,0.6030700169223342,0.41091272002747664,0.41091272002747664,0.41091272002747664,0.41091272002747664,0.41091272002747664,0.41091272002747664,0.022109499370999264,0.022109499370999264,0.022109499370999264,0.022109499370999264,0.022109499370999264,0.022109499370999264
keyed,20260818,2,random,8,2,Full operator (SE(3)),True,,0.0003587650003282761,0.8441400176680502,0.22988407686140605,0.11056727545488494,-0.11501094459987338,True,True,detected,0.6142435498078234,0.7967669139291751,0.8854108488534688,0.4680428373698642,0.8404898105663521,0.8278091443184,0.8441400176680501,-0.20524336185967496,-0.11501094459987338,-0.38302902021613605,-0.1546176585112814,-0.17324140964789592,0.6142559408066439
keyed,20260818,2,random,8,2,Pdiag pointwise (SE(3)),True,,0.0059237350001239975,0.8269881406635795,0.22235800830816976,0.5902143683092934,-0.11107744069338588,True,True,detected,0.6099031289834549,-0.630633754277485,-0.16698522959604684,0.6823473729233673,0.81680408889698,0.8190306585493176,0.8269881406635797,-0.42625848498159025,-0.3823478145016277,-0.11107744069338588,-0.18322591710677794,-0.1813686503030275,0.6046301323554099
keyed,20260818,2,random,8,2,Pdiag finite (SE(3)),True,,18.685875269999997,0.7872049678462407,0.2786795087988522,0.09783695529272715,-0.10261793114953921,True,True,detected,0.6152309627287254,0.7950882478811226,0.7185675371681823,0.9096908093254392,0.8262847832422756,0.806185020555651,0.7872049678462409,-0.17704865195340336,-0.24410178155073314,-0.10261793114953921,-0.13855543569544304,-0.23906384414026205,0.5085254590473887
keyed,20260818,10,qualified,15,1,Frame-weighted (SE(3)),True,,0.002689332000045397,0.6366882980245725,0.6539299860942361,0.20491895153493908,-0.01724168806966353,False,False,right_censored,,0.6366882980245725,0.6366882980245725,0.6366882980245725,0.6366882980245725,0.6366882980245725,0.6366882980245725,-0.01724168806966353,-0.01724168806966353,-0.01724168806966353,-0.01724168806966353,-0.01724168806966353,-0.01724168806966353
keyed,20260818,10,qualified,15,1,Full operator (SE(3)),True,,0.0003259099999013415,0.824634046392091,0.20580924001512538,0.0854588972088185,-0.1675156588012281,True,True,detected,0.6036584542244624,0.8180725611174405,0.7747391025576421,0.8551899894943211,0.8363278007429513,0.8169126982119889,0.824634046392091,-0.18554886596899067,-0.23037240569994777,-0.18664983251418632,-0.1675156588012281,-0.18064721199265688,0.6188248063769656
