episode,dx,dy,final_translation_ratio
episode_7,-0.015,0.0,0.9933020839155329
episode_9,0.015,0.0,0.9988463479746641
episode_11,0.0,-0.015,0.9341971516304778
episode_12,0.0,0.015,1.0433320437799638
