phase,phase_code,phase_progress,global_bin,alpha_x,alpha_y,alpha_yaw,alpha_x_ci_low,alpha_x_ci_high,alpha_y_ci_low,alpha_y_ci_high,alpha_yaw_ci_low,alpha_yaw_ci_high,off_diagonal_fro
Align keyed,3,0.0,0,0.018567344944478037,0.031682868913234075,-0.006782047955454673,-0.031030955983047025,0.050621503028152555,-0.04554863250906739,0.11381187922154092,-0.02362099559330203,0.009962642503830891,0.5785413834001145
Align keyed,3,0.041666666666666664,1,0.020241305655769513,0.03556417856539886,-0.002815886669032319,-0.025464981660055,0.04977739006105425,-0.042811095871216495,0.1170616642897256,-0.019568130516411434,0.014222137635718371,0.5779943366913237
Align keyed,3,0.08333333333333333,2,0.03096662506826766,0.05312053436301251,0.013020319587706108,-0.010349584800297438,0.06815263835413592,-0.018823581282175553,0.1308938561173159,-0.003411268784736124,0.030124339145177023,0.5697611695464566
Align keyed,3,0.125,3,0.0438509009147402,0.08360621454358348,0.044691408693733004,-0.030516706863019702,0.11454953432782566,0.002925005495348577,0.17141482985033518,0.029159515773964854,0.06094570897314224,0.5419262417415378
Align keyed,3,0.16666666666666666,4,0.06264941325807476,0.1316729804326822,0.0890889406248474,-0.06612346652405895,0.19948878868155692,0.005626964769798781,0.2583222806254439,0.0740883902265014,0.10526717834536684,0.4528072769101038
Align keyed,3,0.20833333333333334,5,0.09457022770696172,0.1967314226333805,0.14979518756876234,-0.0997636915828211,0.3104868946552934,0.0009243956812603816,0.3902045523151563,0.13521405361138547,0.16699055576683888,0.4018018812658959
Align keyed,3,0.25,6,0.14801890046347918,0.27159271386656336,0.22575448551838243,-0.12132204279703895,0.43800598099569504,-0.0006948604493799838,0.5574735270600569,0.2118617284069904,0.24447353825522405,0.3133270325087528
Align keyed,3,0.2916666666666667,7,0.222110941117172,0.357750223133782,0.3166524166099934,-0.12247056394374489,0.5920980842010838,0.00903710732271756,0.7232844846664923,0.3013120625546881,0.33707521051521677,0.2783904443301055
Align keyed,3,0.3333333333333333,8,0.2835315631366605,0.4492362501231223,0.41684637048667184,-0.09484120781119741,0.7017552443237653,0.030387176592358907,0.8775252316938725,0.39935418917477467,0.43999347987210125,0.33972791327368534
Align keyed,3,0.375,9,0.33722124810976006,0.5318724249537425,0.5208776171882938,-0.06487114766281574,0.7740563449101039,0.05379280090851871,1.014883881403845,0.5023389420694555,0.5460953626353308,0.4873624394259602
Align keyed,3,0.4166666666666667,10,0.4278089940170161,0.6224957425197659,0.6215530800430347,0.01599806062139297,0.8779228050571997,0.12982352123800972,1.1292185064812832,0.6024491282042542,0.6471007315815861,0.5356546040288598
Align keyed,3,0.4583333333333333,11,0.5579437544710724,0.7319381703788493,0.7154982442852347,0.17798295227054822,0.9886415216178106,0.2614066787982014,1.2131826196713544,0.6979684543057454,0.7397910804913922,0.5399208644101989
Align keyed,3,0.5,12,0.6810238532887791,0.8293635656074655,0.7966057849873798,0.3500548817222844,1.043700906944831,0.42311775257881257,1.2514847678008472,0.7812261826158571,0.8180548113141863,0.5240538742448408
Align keyed,3,0.5416666666666666,13,0.7847829875221365,0.907688264611031,0.8620603847660544,0.514906513201059,1.0848778270943493,0.5916882847973725,1.256100404608999,0.8494186651307007,0.8801785248714341,0.4179136952415419
Align keyed,3,0.5833333333333334,14,0.8644903034052452,0.9685506537329026,0.9137973047930568,0.650442730950177,1.0988858275704054,0.7106254403854978,1.251643905814203,0.9038846959266262,0.9284867931396804,0.3530184552391124
Align keyed,3,0.625,15,0.9259056066650939,1.0118842337831,0.951743880922403,0.7645255016679917,1.0937960162679483,0.8254775982900158,1.2240610840157282,0.9445163015355725,0.9628106363503999,0.292996317633319
Align keyed,3,0.6666666666666666,16,0.9708303989940578,1.0410325165250278,0.9767372130326891,0.8614598731879078,1.0782370312527219,0.9180280585049265,1.1985598480445707,0.9717052336309939,0.9845087874525772,0.23095962954706886
Align keyed,3,0.7083333333333334,17,0.9999512708292732,1.0580152635663096,0.9892122369350562,0.9414244071686719,1.052640510692652,0.9814850123206131,1.1557502250286629,0.9854880599742928,0.994978955540715,0.17190681169682231
Align keyed,3,0.75,18,1.0001261789280986,1.0596344168551373,0.9925584979958837,0.9570711516774425,1.0343584445482077,0.9938907499479738,1.1535551232937677,0.9889576662512377,0.998634256567151,0.12496472238806507
Align keyed,3,0.7916666666666666,19,0.9987739073270667,1.0531723316093553,0.9932640649746062,0.9526945853337009,1.0360012059834514,0.9833647729016713,1.1471918657414935,0.9893706397305534,0.9996946612428989,0.11839589057316706
Align keyed,3,0.8333333333333334,20,0.9935030207298374,1.046666509524308,0.993014984951352,0.9484459975433531,1.0297925807100186,0.9867329916831329,1.1337420257438104,0.9891714752120083,0.9993186092940713,0.11332553915643866
Align keyed,3,0.875,21,0.9812495672890911,1.0278324146345412,0.9943672136809766,0.9313957344272711,1.022557389409695,0.9821861989098262,1.094934887897422,0.9913930440902223,0.9993601715799245,0.08488566132227915
Align keyed,3,0.9166666666666666,22,0.9918627187256318,1.0232067487079686,0.998538931645904,0.9712151034039953,1.00819464731953,0.9960598445186238,1.0559898711768536,0.9974748651041426,1.0007875375005013,0.0320108708533647
Align keyed,3,0.9583333333333334,23,1.0011267054545752,1.0272088825371921,1.0003177880948613,0.997309967415819,1.0043622858040957,1.0049533208554764,1.0512126713644607,0.9997454375327489,1.0015304030268313,0.041914278667137816
Align keyed,3,1.0,24,1.0010896967833125,1.0247572885806264,1.0001405054086643,0.9982198019140717,1.004974813829309,1.004333031577471,1.046833214119548,0.9993211339485122,1.0012893720325262,0.025847956013321204
Enter key,4,0.0,25,1.0011701516821667,1.0238197734051275,1.0001908805897854,0.9979116651813281,1.0049448090746462,1.0035989140447872,1.046321515047094,0.9995401600485911,1.0011672798508222,0.038487676354314715
