episode,condition_id,attempt_id,generator,steps,success,complete,max_contact_force_N,contact_frames,max_socket_drift_m,final_distance_m,final_axis_error_rad,final_key_clearance_m,dx,dy,dyaw,any_terminated,any_truncated,post_done_actions,stop_reason,solver_error
episode_0,0,0,yaw,396,True,True,0.0,0,0.0,0.010362690314650536,0.0008163605234585702,0.011641014367341995,0.0,0.0,-0.5235987755982988,True,False,0,terminated,
episode_1,1,0,yaw,381,True,True,0.0,0,0.0,0.011556277051568031,0.0007828915258869529,0.010444384068250656,0.0,0.0,-0.2617993877991494,True,False,0,terminated,
episode_2,2,0,yaw,485,True,True,0.0,0,0.0,0.011815138161182404,0.004349522292613983,0.010207217186689377,0.0,0.0,0.0,True,False,0,terminated,
episode_3,3,0,yaw,157,False,False,0.0,0,0.0,0.3532288372516632,1.5843065977096558,0.06839302182197571,0.0,0.0,0.2617993877991494,False,False,0,solver_exception,RuntimeError('motion planning failed')
episode_4,3,1,yaw,384,True,True,0.0,0,0.0,0.01156096812337637,0.00045389204751700163,0.010439645498991013,0.0,0.0,0.2617993877991494,True,False,0,terminated,
episode_5,4,0,yaw,382,True,True,0.0,0,0.0,0.011786529794335365,0.0009928796207532287,0.01021650806069374,0.0,0.0,0.5235987755982988,True,False,0,terminated,
episode_6,5,0,translation,700,False,False,60.25498955270026,45,0.0,0.051892414689064026,0.005799582228064537,-0.02805725857615471,-0.015,0.0,0.0,False,True,0,truncated,
episode_7,5,1,translation,314,True,True,0.0,0,0.0,0.011445976793766022,0.0048497142270207405,0.01056644693017006,-0.015,0.0,0.0,True,False,0,terminated,
episode_8,6,0,translation,150,False,False,0.0,0,0.0,0.3953045606613159,1.5843024253845215,0.06839288026094437,0.015,0.0,0.0,False,False,0,solver_exception,RuntimeError('motion planning failed')
episode_9,6,1,translation,483,True,True,0.0,0,0.0,0.011970833875238895,0.004120058845728636,0.010047700256109238,0.015,0.0,0.0,True,False,0,terminated,
episode_10,7,0,translation,163,False,False,0.0,0,0.0,0.29232150316238403,1.584307074546814,0.0683930516242981,0.0,-0.015,0.0,False,False,0,solver_exception,RuntimeError('motion planning failed')
episode_11,7,1,translation,397,True,True,31.37927428621001,75,0.0,0.010226582176983356,0.0025324467569589615,0.011781100183725357,0.0,-0.015,0.0,True,False,0,terminated,
episode_12,8,0,translation,336,True,True,0.0,0,0.0,0.009928072802722454,0.0005697666783817112,0.0120728500187397,0.0,0.015,0.0,True,False,0,terminated,
episode_13,9,0,mixed,157,False,False,0.0,0,3.725290298461914e-09,0.31817904114723206,1.5843065977096558,0.06839301437139511,-0.0023931185865242923,-0.0010791215800725062,-0.18657306469668755,False,False,0,solver_exception,RuntimeError('motion planning failed')
episode_14,9,1,mixed,363,True,True,0.0,0,3.725290298461914e-09,0.010069575160741806,0.0006820820854045451,0.01193201169371605,-0.0023931185865242923,-0.0010791215800725062,-0.18657306469668755,True,False,0,terminated,
episode_15,10,0,mixed,390,True,True,0.0,0,3.725290298461914e-09,0.011534842662513256,0.0005321230855770409,0.010465789586305618,-0.0022283235571025524,-0.010246784663665433,-0.27645951677924374,True,False,0,terminated,
episode_16,11,0,mixed,318,True,True,0.0,0,0.0,0.011738702654838562,0.002124501159414649,0.010263334959745407,0.0038875386126535627,0.011759554302412916,-0.03424688094341882,True,False,0,terminated,
episode_17,12,0,mixed,382,True,True,0.0,0,0.0,0.010261340998113155,0.0007205638103187084,0.01174214854836464,0.008713388927921128,-0.003174494924091142,-0.4797539782073512,True,False,0,terminated,
episode_18,13,0,mixed,395,True,True,0.0,0,3.725290298461914e-09,0.011615080758929253,0.000630649330560118,0.010385718196630478,0.0029496725821234956,-0.011109129942626405,-0.31578453071810775,True,False,0,terminated,
episode_19,14,0,mixed,371,True,True,0.0,0,0.0,0.011471322737634182,0.0002566161856520921,0.010529238730669022,-0.01132050548199724,0.0031447275593994104,0.18656551070753769,True,False,0,terminated,
episode_20,15,0,mixed,369,True,True,0.0,0,3.725290298461914e-09,0.011422257870435715,0.0002920998667832464,0.010578569024801254,-0.005542401259478868,0.00032293439542781417,0.1333377524075764,True,False,0,terminated,
episode_21,16,0,mixed,360,True,True,0.0,0,7.450580596923828e-09,0.010068998672068119,0.0009248779970221221,0.011933144181966782,-0.0022334160048983077,-0.0012357486408763746,-0.2752020212045151,True,False,0,terminated,
episode_22,17,0,mixed,343,True,True,0.0,0,0.0,0.011327737011015415,0.0003837952099274844,0.010672826319932938,0.0022465624784044486,-0.006905244765118781,-0.003963456565738155,True,False,0,terminated,
episode_23,18,0,mixed,373,True,True,0.0,0,0.0,0.011458252556622028,0.0006023054011166096,0.01054234430193901,0.0015680678224564305,0.011519377382340677,-0.14347506968843726,True,False,0,terminated,
episode_24,19,0,mixed,354,True,True,0.0,0,3.725290298461914e-09,0.011818957515060902,0.0011734348954632878,0.010183911770582199,0.010362728597275557,-0.0007917488497382989,-0.39507205299764264,True,False,0,terminated,
episode_25,20,0,mixed,336,True,True,0.0,0,0.0,0.011786804534494877,0.001004461431875825,0.010215383023023605,0.001202303376842826,-0.002872683158953766,-0.1610041259052088,True,False,0,terminated,
episode_26,21,0,mixed,700,False,False,0.0,0,7.450580596923828e-09,0.24245204031467438,1.5843024253845215,0.06839295476675034,0.005460533610843841,-0.009176065566340208,-0.36630729949089225,False,True,0,truncated,
episode_27,21,1,mixed,370,True,True,0.0,0,7.450580596923828e-09,0.010217631235718727,0.0010054399026557803,0.011784832924604416,0.005460533610843841,-0.009176065566340208,-0.36630729949089225,True,False,0,terminated,
episode_28,22,0,mixed,378,True,True,0.0,0,3.725290298461914e-09,0.011623959988355637,0.0006893841782584786,0.010377403348684311,-0.01019785503635493,0.011887546132995197,0.33840644592155844,True,False,0,terminated,
episode_29,23,0,mixed,384,True,True,0.0,0,7.450580596923828e-09,0.010311528109014034,0.005380470771342516,0.011689353734254837,0.003583363549875037,-0.0038229538769398493,0.3152581491511527,True,False,0,terminated,
episode_30,24,0,mixed,183,False,False,0.0,0,3.725290298461914e-09,0.309604674577713,1.5843065977096558,0.06839300692081451,0.006914381992931009,-0.0015510412992135268,-0.3045332339783158,False,False,0,solver_exception,RuntimeError('motion planning failed')
episode_31,24,1,mixed,388,True,True,0.0,0,3.725290298461914e-09,0.011618006974458694,0.0006907946662977338,0.010382931679487228,0.006914381992931009,-0.0015510412992135268,-0.3045332339783158,True,False,0,terminated,
episode_32,25,0,mixed,352,True,True,19.858832850488902,12,7.450580596923828e-09,0.01134990993887186,0.0002987281186506152,0.010650794953107834,-0.010535570229681426,-0.006097956751513089,-0.021991373126857727,True,False,0,terminated,
episode_33,26,0,mixed,317,True,True,0.0,0,3.725290298461914e-09,0.011714975349605083,0.0006549369427375495,0.010287176817655563,-0.0008629709010328137,-0.0005531067163298594,0.06367738146914015,True,False,0,terminated,
episode_34,27,0,mixed,157,False,False,0.0,0,0.0,0.339071661233902,1.5843061208724976,0.06839302182197571,0.008541769008218795,0.004022032916112337,0.03196049633811415,False,False,0,solver_exception,RuntimeError('motion planning failed')
episode_35,27,1,mixed,335,True,True,0.0,0,0.0,0.011760443449020386,0.0006173538859002292,0.010241586714982986,0.008541769008218795,0.004022032916112337,0.03196049633811415,True,False,0,terminated,
episode_36,28,0,mixed,353,True,True,0.0,0,3.725290298461914e-09,0.011748164892196655,0.0004975793417543173,0.010255333036184311,0.002939942549023515,-0.009348660801151388,0.3077043496696418,True,False,0,terminated,
episode_37,29,0,mixed,344,True,True,0.0,0,0.0,0.009930319152772427,0.00036256821476854384,0.012072701007127762,-0.006089367938036382,-0.010627967707550005,0.38299308163426515,True,False,0,terminated,
episode_38,30,0,mixed,330,True,True,0.0,0,0.0,0.01177266426384449,0.0013450864935293794,0.010229814797639847,0.009080504039630437,0.0012646056698357323,0.01733541423828555,True,False,0,terminated,
episode_39,31,0,mixed,370,True,True,0.0,0,3.725290298461914e-09,0.010215414687991142,0.00036592045216821134,0.01179460808634758,0.011910616875627975,0.00261372197217654,0.510092460033387,True,False,0,terminated,
episode_40,32,0,mixed,351,True,True,0.0,0,3.725290298461914e-09,0.011797602288424969,0.01052503939718008,0.010203082114458084,-0.005195427073254344,0.0013924329836661215,-0.346447262945213,True,False,0,terminated,
episode_41,33,0,mixed,347,True,True,0.0,0,0.0,0.009992516599595547,0.000901856692507863,0.012008760124444962,0.00038940294977674907,0.009918567515302294,-0.16978677020606076,True,False,0,terminated,
episode_42,34,0,mixed,150,False,False,0.0,0,0.0,0.38732120394706726,1.5843054056167603,0.0683930292725563,0.0019049604993052333,0.011545663344423165,-0.32687843647994297,False,False,0,solver_exception,RuntimeError('motion planning failed')
episode_43,34,1,mixed,383,True,True,0.0,0,0.0,0.010183987207710743,0.0008808443672023714,0.011818092316389084,0.0019049604993052333,0.011545663344423165,-0.32687843647994297,True,False,0,terminated,
episode_44,35,0,mixed,348,True,True,0.0,0,0.0,0.011755862273275852,0.0011185865150764585,0.010246973484754562,-0.003747792048091088,0.010245802483035374,-0.4766883462474212,True,False,0,terminated,
episode_45,36,0,mixed,368,True,True,0.0,0,0.0,0.009951980784535408,0.0002883185225073248,0.012050878256559372,-0.011241414553279885,-0.0008387961906365701,0.23442581763406956,True,False,0,terminated,
episode_46,37,0,mixed,523,False,False,0.0,0,3.725290298461914e-09,0.21278463304042816,1.5843061208724976,0.0683930516242981,-0.0024197706407490596,-0.009121479235809632,0.370931685048412,False,False,0,solver_exception,RuntimeError('motion planning failed')
episode_47,37,1,mixed,367,True,True,0.0,0,3.725290298461914e-09,0.010150727815926075,0.0003073809202760458,0.011854398995637894,-0.0024197706407490596,-0.009121479235809632,0.370931685048412,True,False,0,terminated,
episode_48,38,0,mixed,325,True,True,0.0,0,3.725290298461914e-09,0.01169825904071331,0.0005261640762910247,0.010303709656000137,0.0008451924919283486,0.008550435502034787,0.1446787842603401,True,False,0,terminated,
