pair_key,family,claim,source_task,target_task,seed,sample_size,repeat,method,target_nominal_trajectories,target_interventions_for_fit,target_interventions_for_validation,source_sample_size,fit_success,fit_error,fit_seconds,m_transfer_correct,e_alpha,e_task,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
knob_to_microwave_door,revolute_yaw,yaw-only relevance transfers across knob and hinged door,stove_knob_turn,microwave_door_revolute,20260818,8,0,Frame-weighted target scratch,0,8,0,0,True,,0.002342234132811427,False,0.09973652294558417,5.385108674120187e-06,0.3443761423512062,0.3443761423512062,0.3443761423512062,0.3443761423512062,0.3443761423512062,0.3443761423512062
knob_to_microwave_door,revolute_yaw,yaw-only relevance transfers across knob and hinged door,stove_knob_turn,microwave_door_revolute,20260818,8,0,Phase scalar GP target scratch,0,8,0,0,True,,0.0932769039645791,False,0.09973592323336505,5.385136896677401e-06,0.34699486714477684,0.34699486714477684,0.34699486714477684,0.34699486714477684,0.34699486714477684,0.34699486714477684
knob_to_microwave_door,revolute_yaw,yaw-only relevance transfers across knob and hinged door,stove_knob_turn,microwave_door_revolute,20260818,8,0,Pdiag finite target scratch,0,8,0,0,True,,0.7580002900213003,True,1.3586358955452801e-05,1.2184817131189663e-09,1.7616167366467176e-06,1.75625777583865e-06,1.7845611592704786e-06,1.838649305517105e-06,1.962193888465047e-06,1.0113256728228952
knob_to_microwave_door,revolute_yaw,yaw-only relevance transfers across knob and hinged door,stove_knob_turn,microwave_door_revolute,20260818,8,0,TP-GMM SE(3) target scratch,0,8,0,0,True,,2.3444373530801386,True,0.03298547555790629,3.2897314568028587e-06,0.0028328008423783293,0.0012353916344948611,0.00948378144937992,0.002028187637734824,0.007445257017409279,0.6825271278806517
knob_to_microwave_door,revolute_yaw,yaw-only relevance transfers across knob and hinged door,stove_knob_turn,microwave_door_revolute,20270818,8,0,Ours transfer: source Pdiag N=30 + target nominal N=1,1,0,8,30,True,,0.0,True,1.3555074041710173e-05,1.0716000452505497e-09,1.7448790736482108e-06,1.751271503292076e-06,1.7461801265889494e-06,1.9371891965932213e-06,1.889449346944202e-06,1.011146546230142
knob_to_microwave_door,revolute_yaw,yaw-only relevance transfers across knob and hinged door,stove_knob_turn,microwave_door_revolute,20270818,8,0,Frame-weighted target scratch,0,8,0,0,True,,0.0023306538350880146,False,0.08170528786643289,5.977096562345391e-06,0.19426543752422562,0.19426543752422562,0.19426543752422562,0.19426543752422562,0.19426543752422562,0.19426543752422562
knob_to_microwave_door,revolute_yaw,yaw-only relevance transfers across knob and hinged door,stove_knob_turn,microwave_door_revolute,20270818,8,0,Phase scalar GP target scratch,0,8,0,0,True,,0.0936827810946852,False,0.08170560810553065,5.977149591902531e-06,0.19574268189648322,0.19574268189648322,0.19574268189648322,0.19574268189648322,0.19574268189648322,0.19574268189648322
knob_to_microwave_door,revolute_yaw,yaw-only relevance transfers across knob and hinged door,stove_knob_turn,microwave_door_revolute,20270818,8,0,Pdiag finite target scratch,0,8,0,0,True,,0.6537510440684855,True,1.381072575840034e-05,1.1843001467023872e-09,4.424192721149319e-06,4.479724590258026e-06,4.572571121535785e-06,4.762643838423606e-06,5.321793607479224e-06,1.008488654724519
knob_to_microwave_door,revolute_yaw,yaw-only relevance transfers across knob and hinged door,stove_knob_turn,microwave_door_revolute,20270818,8,0,TP-GMM SE(3) target scratch,0,8,0,0,True,,2.226577981840819,True,0.032972574887599915,3.4394833190792327e-06,-5.3782594056745684e-05,0.018939955005456893,0.007395068766401149,0.008384217436214758,0.008038083175982536,0.6783168563200785
knob_to_microwave_door,revolute_yaw,yaw-only relevance transfers across knob and hinged door,stove_knob_turn,microwave_door_revolute,20280818,8,0,Ours transfer: source Pdiag N=30 + target nominal N=1,1,0,8,30,True,,0.0,True,1.3555074041710173e-05,9.657455828966581e-10,1.7448790736482108e-06,1.751271503292076e-06,1.7461801265889494e-06,1.9371891965932213e-06,1.889449346944202e-06,1.011146546230142
knob_to_microwave_door,revolute_yaw,yaw-only relevance transfers across knob and hinged door,stove_knob_turn,microwave_door_revolute,20280818,8,0,Frame-weighted target scratch,0,8,0,0,True,,0.002299496904015541,False,0.09196683382969137,5.703068406355099e-06,0.30194679947770775,0.30194679947770775,0.30194679947770775,0.30194679947770775,0.30194679947770775,0.30194679947770775
knob_to_microwave_door,revolute_yaw,yaw-only relevance transfers across knob and hinged door,stove_knob_turn,microwave_door_revolute,20280818,8,0,Phase scalar GP target scratch,0,8,0,0,True,,0.09597474313341081,False,0.09196659732210956,5.703131733644756e-06,0.3042428806311039,0.3042428806311039,0.3042428806311039,0.3042428806311039,0.3042428806311039,0.3042428806311039
knob_to_microwave_door,revolute_yaw,yaw-only relevance transfers across knob and hinged door,stove_knob_turn,microwave_door_revolute,20280818,8,0,Pdiag finite target scratch,0,8,0,0,True,,0.7468638659920543,True,1.555365532659892e-05,3.053498121421527e-09,1.736511680434197e-06,1.7850556767034598e-06,1.7494129282669876e-06,1.7916398948865077e-06,1.9561177826691574e-06,1.005696754906265
knob_to_microwave_door,revolute_yaw,yaw-only relevance transfers across knob and hinged door,stove_knob_turn,microwave_door_revolute,20280818,8,0,TP-GMM SE(3) target scratch,0,8,0,0,True,,2.392394860042259,True,0.03270684899900863,3.5644395710683795e-06,0.005543417156504033,0.00223959503039105,0.012056850745057192,0.013164162114824407,0.013407545072738891,0.6605313834658371
bowl_stove_to_bowl_plate,support_to_stacking,upright xyz placement transfers across support surfaces,bowl_on_stove,bowl_on_plate,20260818,8,0,Ours transfer: source Pdiag N=30 + target nominal N=1,1,0,8,30,True,,0.0,True,4.334104309708051e-05,1.985076685826914e-09,1.0060832723265658,1.0111814912015857,1.008568674881298,0.0028783115682674953,0.0005921973347770994,0.0005131797385333902
bowl_stove_to_bowl_plate,support_to_stacking,upright xyz placement transfers across support surfaces,bowl_on_stove,bowl_on_plate,20260818,8,0,Frame-weighted target scratch,0,8,0,0,True,,0.0024151159450411797,False,0.16528822416632274,7.977146429344277e-06,0.6803065072516121,0.6803065072516121,0.6803065072516121,0.6803065072516121,0.6803065072516121,0.6803065072516121
bowl_stove_to_bowl_plate,support_to_stacking,upright xyz placement transfers across support surfaces,bowl_on_stove,bowl_on_plate,20260818,8,0,Phase scalar GP target scratch,0,8,0,0,True,,0.09880316304042935,False,0.1652900904782231,7.977270798454653e-06,0.6854797329785296,0.6854797329785296,0.6854797329785296,0.6854797329785296,0.6854797329785296,0.6854797329785296
bowl_stove_to_bowl_plate,support_to_stacking,upright xyz placement transfers across support surfaces,bowl_on_stove,bowl_on_plate,20260818,8,0,Pdiag finite target scratch,0,8,0,0,True,,1.0658397900406271,True,0.00014648008958894213,5.6858445477898144e-08,1.0382135069380685,1.0034954044058653,1.0026653993054684,0.008084061220107137,0.012027796652279514,0.005235769652215396
