method,sample_size,m_transfer_accuracy,e_alpha_mean,e_task_mean,count
Ours transfer: source Pdiag N=30 + target nominal N=1,8,1.0,3.175859547156625e-05,1.5157776431861758e-09,15
Frame-weighted target scratch,8,0.0,0.128015586940169,6.395902037037788e-06,15
Phase scalar GP target scratch,8,0.0,0.1280173160743459,6.396018916369922e-06,15
Pdiag finite target scratch,8,1.0,0.0001372738052925099,3.963998664281007e-08,15
TP-GMM SE(3) target scratch,8,0.9333333333333333,0.07385128269501909,7.115780107599403e-06,15
