seed,subset_id,protocol,sample_size,repeat,rank,augmented_intercept_rank,condition_number,optimization_success,optimization_nfev,lambda_min_post,lambda_max_post,lambda_ratio_post,log_det_post,trace_inv_post,ridge_post,lambda_min_design,lambda_max_design,lambda_ratio_design,log_det_design,trace_inv_design,ridge_design,fit_seconds,task_error_mean_mm_equiv,generator_rmse,switch_absolute_error
20260818,0,random,3,0,3,3,5.842135179342804,True,12,0.0,5.663246258574873e-05,0.0,-750.0109138445882,1780953785.275393,1e-08,8.908237147886969e-15,0.0012998689625179,6.853180901120073e-12,-731.2178403398214,1123441120.262076,1e-08,0.4969052183441818,2.923525162327228,0.2193380163535749,0.0101572197729933
20260818,1,random,3,1,3,3,2.4630107919009743,True,23,6.014124697740754e-21,9.045832575582464e-05,6.648503216801471e-17,-680.6964087195021,1397883797.1494088,1e-08,1.7776212054167849e-13,0.0019155846375588,9.279784200410469e-11,-678.1211784501256,930614349.120623,1e-08,2.19950701482594,5.365674917293667,0.2361565365798782,0.0188846963262357
20260818,2,random,3,2,3,3,26.6799837737238,True,11,6.969615859243205e-18,0.000259998519136,2.6806367522408328e-14,-737.273252373543,1382208587.3300817,1e-08,2.3118176990717944e-14,0.003334397704089,6.933239236089793e-12,-751.8451991576719,1191774285.7590306,1e-08,0.8718357677571476,2.471974700653414,0.2019504731655981,0.0045520350234556
20260818,3,random,3,3,3,3,2.3641634164455234,True,14,2.6375054041797507e-21,3.0125258392097653e-05,8.755129565532994e-17,-610.3353778989647,1138581590.6272013,1e-08,1.534110093947731e-13,0.0021763188547266,7.049105376337135e-11,-696.2490794843047,989357699.979714,1e-08,8.812472264282405,5.392067587400051,0.265226099634745,0.0021676223510522
20260818,4,random,3,4,3,3,8.187990437428704,True,22,1.5344943895234269e-21,0.0002605002711785,5.89056734022188e-18,-709.3427835102354,1313991902.2864866,1e-08,1.6161570230816378e-13,0.0026116340879574,6.188298087139952e-11,-694.8995887412121,985469049.7611388,1e-08,1.528452453203499,5.036837599225491,0.238605300422012,0.0078390158040668
20260818,5,random,3,5,3,3,8.659779477170954,True,15,1.4625298092224117e-15,0.0001296523922586,1.128039200622375e-11,-688.3179617815306,1074917652.8579316,1e-08,9.585152222575503e-14,0.0010321723800426,9.2863870492053e-11,-684.056997773047,949574772.9324312,1e-08,1.862406233791262,2.5203586482404905,0.1971630504431402,0.0077620021654466
20260818,6,random,3,6,3,3,5.343911493942582,True,11,8.427553305885193e-17,8.041413284253638e-05,1.048018925029967e-12,-706.4241558702022,1257137983.6294634,1e-08,4.0451353222529965e-14,0.0016779809528241,2.4107158757938718e-11,-724.063991320435,1085535245.457132,1e-08,2.4330155928619206,2.7589316502957053,0.235041650082262,0.0030357627693
20260818,7,random,3,7,3,3,2.930181440921983,True,12,8.664704138845954e-19,1.528706603482261e-05,5.6679968014192583e-14,-625.269171997121,1070709499.0457556,1e-08,4.274045392053712e-14,0.0003345297502531,1.2776278907390583e-10,-644.4797398661665,826517467.9676647,1e-08,9.46902977861464,2.848675730908608,0.2106160643157171,0.0003654739121207
20260818,8,random,3,8,3,3,5.970420695789112,True,19,5.317383363567827e-16,0.0002917786686534,1.822403052323236e-12,-697.6405237569597,1115120662.2925675,1e-08,1.7796466103461256e-14,0.0042940228881709,4.144473973924649e-12,-753.1975099710091,1203597307.142314,1e-08,4.122303917072713,3.291583121288536,0.2598337807425451,0.0156162397814088
20260818,9,random,3,9,3,3,4.071466494423975,True,13,2.5617102918128312e-18,0.0003080539996847,8.315783253697684e-15,-754.3447304546039,1535445858.110741,1e-08,6.983279327040926e-14,0.0028281598177125,2.46919544054939e-11,-735.8448616480019,1127153391.4668064,1e-08,0.4911054647527635,2.5201565049613204,0.2387987945418491,0.0075917246385238
20260818,10,qualified,3,0,3,3,6.736311708665926,True,325,2.8339436552141302e-21,0.0002240966818059,1.2646075936404408e-17,-722.6402938037834,1417951680.4363575,1e-08,1.2262115576927604e-13,0.0032656174088821,3.754914933873138e-11,-719.5061934575931,1068903755.243096,1e-08,10.796211171429604,4.848008971942992,0.2229518695859643,0.0119186192223276
20260818,11,qualified,3,1,3,3,4.169871687984874,True,11,1.1300726719780953e-18,5.544179439519627e-05,2.0383046477947505e-14,-647.8468910732261,1036465078.164688,1e-08,6.216088199758143e-14,0.0013854472771664,4.486701372333345e-11,-701.1208662868701,1006693377.25455,1e-08,0.4536011917516589,2.5235241480553308,0.2135674733396806,0.0101936458499553
20260818,12,qualified,3,2,3,3,5.153658116036859,True,9,5.162003948817526e-15,0.0001001133211081,5.156160930114416e-11,-614.7308473328827,879191225.4602655,1e-08,1.6681936065516638e-13,0.0040519318584698,4.1170327261664066e-11,-713.2199058889685,1047014531.5686804,1e-08,1.0263259182684124,2.5764373397427724,0.1681319042072816,0.0145898476905628
20260818,13,qualified,3,3,3,3,3.5783659660661766,True,7,1.9253504686287294e-14,0.0001051755318031,1.830606829952971e-10,-608.9898115586542,775917831.40008,1e-08,1.1682206232732885e-13,0.0049819370322429,2.3449124621860748e-11,-741.1658912274245,1146167163.366897,1e-08,0.5205202200450003,2.596735875847409,0.132157693955551,0.0354159341720394
20260818,14,qualified,3,4,3,3,5.545363694438096,True,13,6.1613534372877156e-15,0.0002339856886876,2.6332180706622398e-11,-685.6303167571446,1027065198.1221508,1e-08,3.9040582743837546e-14,0.0023461931070856,1.6639969926572763e-11,-713.4141793765565,1054058038.4556,1e-08,0.5701893498189747,2.509455788976099,0.2039140563526036,0.0124448177156913
20260818,15,qualified,3,5,3,3,4.881403000837172,True,12,4.653415684785891e-14,0.0002572262059129,1.8090752721986202e-10,-632.0303435479925,811884905.1508651,1e-08,2.0541622180813422e-13,0.0045473592447338,4.5172639932949886e-11,-706.2854902452043,1023361867.7195096,1e-08,0.4322339310310781,2.6160121082988583,0.1124047545664737,0.0173843651837992
20260818,16,qualified,3,6,3,3,6.347940661960726,True,13,3.011202311305038e-14,0.0006486709217171,4.6421108307642325e-11,-697.0297019560187,1048185804.9090016,1e-08,2.052309786944739e-13,0.0060387289404881,3.398579083728239e-11,-722.2580192559374,1078204896.502205,1e-08,0.9732908341102302,3.0567458651150528,0.1690906070017677,0.0089592992140494
