sample_size,protocol,metric,recovery,spearman_rho,pvalue_descriptive,subset_count,expected_sign
5,random,log_det_post,task_error_mean_mm_equiv,0.06666666666666665,0.8548130882487426,10,-1
5,random,log_det_post,generator_rmse,-0.13939393939393938,0.7009318849100584,10,-1
5,random,log_det_post,switch_absolute_error,-0.04242424242424241,0.907363817812816,10,-1
5,random,trace_inv_post,task_error_mean_mm_equiv,0.24848484848484845,0.48877630451924314,10,1
5,random,trace_inv_post,generator_rmse,0.28484848484848485,0.42503815489214547,10,1
5,random,trace_inv_post,switch_absolute_error,-0.09090909090909088,0.8027717312071619,10,1
5,random,lambda_min_design,task_error_mean_mm_equiv,-0.5515151515151515,0.09840117666963498,10,-1
5,random,lambda_min_design,generator_rmse,-0.5272727272727272,0.11730806555020223,10,-1
5,random,lambda_min_design,switch_absolute_error,0.33333333333333326,0.34659350708733405,10,-1
5,random,lambda_ratio_design,task_error_mean_mm_equiv,-0.4787878787878787,0.1615229280174558,10,-1
5,random,lambda_ratio_design,generator_rmse,-0.4424242424242424,0.20042268671194224,10,-1
5,random,lambda_ratio_design,switch_absolute_error,0.23636363636363633,0.5108853175152002,10,-1
5,random,log_det_design,task_error_mean_mm_equiv,-0.41818181818181815,0.22911284098281892,10,-1
5,random,log_det_design,generator_rmse,-0.11515151515151514,0.7514196523258483,10,-1
5,random,log_det_design,switch_absolute_error,-0.09090909090909088,0.8027717312071619,10,-1
5,random,trace_inv_design,task_error_mean_mm_equiv,0.41818181818181815,0.22911284098281892,10,1
5,random,trace_inv_design,generator_rmse,0.11515151515151514,0.7514196523258483,10,1
5,random,trace_inv_design,switch_absolute_error,0.09090909090909088,0.8027717312071619,10,1
5,random,condition_number,task_error_mean_mm_equiv,0.18787878787878787,0.603217610029209,10,1
5,random,condition_number,generator_rmse,0.6969696969696969,0.02509667588225183,10,1
5,random,condition_number,switch_absolute_error,0.29696969696969694,0.4047016712701569,10,1
5,qualified,lambda_min_post,task_error_mean_mm_equiv,-0.12727272727272726,0.7260570147627894,10,-1
5,qualified,lambda_min_post,generator_rmse,-0.5878787878787878,0.07387770688865801,10,-1
5,qualified,lambda_min_post,switch_absolute_error,-0.12727272727272726,0.7260570147627894,10,-1
5,qualified,lambda_ratio_post,task_error_mean_mm_equiv,-0.13939393939393938,0.7009318849100584,10,-1
5,qualified,lambda_ratio_post,generator_rmse,-0.38181818181818183,0.27625533338543595,10,-1
5,qualified,lambda_ratio_post,switch_absolute_error,-0.4787878787878787,0.1615229280174558,10,-1
5,qualified,log_det_post,task_error_mean_mm_equiv,0.12727272727272726,0.7260570147627894,10,-1
5,qualified,log_det_post,generator_rmse,0.0303030303030303,0.9337729580941466,10,-1
5,qualified,log_det_post,switch_absolute_error,0.0303030303030303,0.9337729580941466,10,-1
5,qualified,trace_inv_post,task_error_mean_mm_equiv,0.34545454545454546,0.32822651147136733,10,1
5,qualified,trace_inv_post,generator_rmse,0.4424242424242424,0.20042268671194224,10,1
5,qualified,trace_inv_post,switch_absolute_error,-0.16363636363636364,0.6514773427962428,10,1
5,qualified,lambda_min_design,task_error_mean_mm_equiv,0.4545454545454545,0.186904810349332,10,-1
5,qualified,lambda_min_design,generator_rmse,0.33333333333333326,0.34659350708733405,10,-1
5,qualified,lambda_min_design,switch_absolute_error,0.5030303030303029,0.13833369839449197,10,-1
5,qualified,lambda_ratio_design,task_error_mean_mm_equiv,0.28484848484848485,0.42503815489214547,10,-1
5,qualified,lambda_ratio_design,generator_rmse,0.6727272727272726,0.0330412225454377,10,-1
5,qualified,lambda_ratio_design,switch_absolute_error,0.12727272727272726,0.7260570147627894,10,-1
5,qualified,log_det_design,task_error_mean_mm_equiv,0.23636363636363633,0.5108853175152002,10,-1
5,qualified,log_det_design,generator_rmse,0.33333333333333326,0.34659350708733405,10,-1
5,qualified,log_det_design,switch_absolute_error,-0.28484848484848485,0.42503815489214547,10,-1
5,qualified,trace_inv_design,task_error_mean_mm_equiv,-0.23636363636363633,0.5108853175152002,10,1
5,qualified,trace_inv_design,generator_rmse,-0.33333333333333326,0.34659350708733405,10,1
5,qualified,trace_inv_design,switch_absolute_error,0.28484848484848485,0.42503815489214547,10,1
5,qualified,condition_number,task_error_mean_mm_equiv,0.6,0.06668799999999996,10,1
5,qualified,condition_number,generator_rmse,0.38181818181818183,0.27625533338543595,10,1
5,qualified,condition_number,switch_absolute_error,0.23636363636363633,0.5108853175152002,10,1
8,random,lambda_min_post,task_error_mean_mm_equiv,0.5272727272727272,0.11730806555020223,10,-1
8,random,lambda_min_post,generator_rmse,0.5757575757575757,0.08155281477260236,10,-1
8,random,lambda_min_post,switch_absolute_error,0.17575757575757575,0.6271883447764844,10,-1
8,random,lambda_ratio_post,task_error_mean_mm_equiv,0.32121212121212117,0.3654683104386702,10,-1
8,random,lambda_ratio_post,generator_rmse,0.3939393939393939,0.25999776683488757,10,-1
8,random,lambda_ratio_post,switch_absolute_error,0.04242424242424241,0.907363817812816,10,-1
8,random,log_det_post,task_error_mean_mm_equiv,0.04242424242424241,0.907363817812816,10,-1
8,random,log_det_post,generator_rmse,0.12727272727272726,0.7260570147627894,10,-1
8,random,log_det_post,switch_absolute_error,-0.006060606060606061,0.9867429111949892,10,-1
8,random,trace_inv_post,task_error_mean_mm_equiv,-0.04242424242424241,0.907363817812816,10,1
8,random,trace_inv_post,generator_rmse,-0.12727272727272726,0.7260570147627894,10,1
8,random,trace_inv_post,switch_absolute_error,0.006060606060606061,0.9867429111949892,10,1
8,random,lambda_min_design,task_error_mean_mm_equiv,0.16363636363636364,0.6514773427962428,10,-1
8,random,lambda_min_design,generator_rmse,0.18787878787878787,0.603217610029209,10,-1
8,random,lambda_min_design,switch_absolute_error,0.19999999999999998,0.5795840000000001,10,-1
8,random,lambda_ratio_design,task_error_mean_mm_equiv,-0.09090909090909088,0.8027717312071619,10,-1
8,random,lambda_ratio_design,generator_rmse,0.19999999999999998,0.5795840000000001,10,-1
8,random,lambda_ratio_design,switch_absolute_error,0.12727272727272726,0.7260570147627894,10,-1
8,random,log_det_design,task_error_mean_mm_equiv,-0.13939393939393938,0.7009318849100584,10,-1
8,random,log_det_design,generator_rmse,0.22424242424242422,0.5334005612725947,10,-1
8,random,log_det_design,switch_absolute_error,0.0303030303030303,0.9337729580941466,10,-1
8,random,trace_inv_design,task_error_mean_mm_equiv,0.13939393939393938,0.7009318849100584,10,1
8,random,trace_inv_design,generator_rmse,-0.22424242424242422,0.5334005612725947,10,1
8,random,trace_inv_design,switch_absolute_error,-0.0303030303030303,0.9337729580941466,10,1
8,random,condition_number,task_error_mean_mm_equiv,-0.49090909090909085,0.14965567342083677,10,1
8,random,condition_number,generator_rmse,-0.1515151515151515,0.6760651759978538,10,1
8,random,condition_number,switch_absolute_error,-0.006060606060606061,0.9867429111949892,10,1
8,qualified,lambda_min_post,task_error_mean_mm_equiv,-0.04242424242424241,0.907363817812816,10,-1
8,qualified,lambda_min_post,generator_rmse,-0.2727272727272727,0.44583834154275137,10,-1
8,qualified,lambda_min_post,switch_absolute_error,0.309090909090909,0.3848412302612835,10,-1
8,qualified,lambda_ratio_post,task_error_mean_mm_equiv,-0.24848484848484845,0.48877630451924314,10,-1
8,qualified,lambda_ratio_post,generator_rmse,-0.32121212121212117,0.3654683104386702,10,-1
8,qualified,lambda_ratio_post,switch_absolute_error,0.33333333333333326,0.34659350708733405,10,-1
8,qualified,log_det_post,task_error_mean_mm_equiv,-0.2606060606060606,0.4670890543863402,10,-1
8,qualified,log_det_post,generator_rmse,-0.35757575757575755,0.3103760917056799,10,-1
8,qualified,log_det_post,switch_absolute_error,0.2606060606060606,0.4670890543863402,10,-1
8,qualified,trace_inv_post,task_error_mean_mm_equiv,0.7333333333333332,0.01580059625057158,10,1
8,qualified,trace_inv_post,generator_rmse,0.3696969696969697,0.2930500752928223,10,1
8,qualified,trace_inv_post,switch_absolute_error,-0.04242424242424241,0.907363817812816,10,1
8,qualified,lambda_min_design,task_error_mean_mm_equiv,-0.1515151515151515,0.6760651759978538,10,-1
8,qualified,lambda_min_design,generator_rmse,-0.23636363636363633,0.5108853175152002,10,-1
8,qualified,lambda_min_design,switch_absolute_error,-0.28484848484848485,0.42503815489214547,10,-1
8,qualified,lambda_ratio_design,task_error_mean_mm_equiv,-0.32121212121212117,0.3654683104386702,10,-1
8,qualified,lambda_ratio_design,generator_rmse,-0.2606060606060606,0.4670890543863402,10,-1
8,qualified,lambda_ratio_design,switch_absolute_error,-0.24848484848484845,0.48877630451924314,10,-1
8,qualified,log_det_design,task_error_mean_mm_equiv,-0.28484848484848485,0.42503815489214547,10,-1
8,qualified,log_det_design,generator_rmse,-0.01818181818181818,0.9602404181286243,10,-1
8,qualified,log_det_design,switch_absolute_error,0.12727272727272726,0.7260570147627894,10,-1
8,qualified,trace_inv_design,task_error_mean_mm_equiv,0.28484848484848485,0.42503815489214547,10,1
8,qualified,trace_inv_design,generator_rmse,0.01818181818181818,0.9602404181286243,10,1
8,qualified,trace_inv_design,switch_absolute_error,-0.12727272727272726,0.7260570147627894,10,1
8,qualified,condition_number,task_error_mean_mm_equiv,0.18787878787878787,0.603217610029209,10,1
8,qualified,condition_number,generator_rmse,0.309090909090909,0.3848412302612835,10,1
8,qualified,condition_number,switch_absolute_error,-0.38181818181818183,0.27625533338543595,10,1
10,random,lambda_min_post,task_error_mean_mm_equiv,-0.2727272727272727,0.44583834154275137,10,-1
10,random,lambda_min_post,generator_rmse,-0.5030303030303029,0.13833369839449197,10,-1
10,random,lambda_min_post,switch_absolute_error,0.04242424242424241,0.907363817812816,10,-1
10,random,lambda_ratio_post,task_error_mean_mm_equiv,-0.07878787878787878,0.8287173946974606,10,-1
10,random,lambda_ratio_post,generator_rmse,-0.3939393939393939,0.25999776683488757,10,-1
10,random,lambda_ratio_post,switch_absolute_error,0.12727272727272726,0.7260570147627894,10,-1
10,random,log_det_post,task_error_mean_mm_equiv,0.406060606060606,0.24428229408662638,10,-1
10,random,log_det_post,generator_rmse,0.24848484848484845,0.48877630451924314,10,-1
10,random,log_det_post,switch_absolute_error,0.19999999999999998,0.5795840000000001,10,-1
10,random,trace_inv_post,task_error_mean_mm_equiv,-0.24848484848484845,0.48877630451924314,10,1
10,random,trace_inv_post,generator_rmse,0.2121212121212121,0.5563057751029299,10,1
10,random,trace_inv_post,switch_absolute_error,-0.32121212121212117,0.3654683104386702,10,1
10,random,lambda_min_design,task_error_mean_mm_equiv,0.07878787878787878,0.8287173946974606,10,-1
10,random,lambda_min_design,generator_rmse,0.41818181818181815,0.22911284098281892,10,-1
10,random,lambda_min_design,switch_absolute_error,-0.35757575757575755,0.3103760917056799,10,-1
10,random,lambda_ratio_design,task_error_mean_mm_equiv,0.309090909090909,0.3848412302612835,10,-1
