episode,source_file,source_episode,dx,dy,dyaw_rad,dyaw_deg,steps,max_contact_force_N,final_dist_m,final_yaw_err_rad
episode_14,square_vertical_peg_physics.h5,episode_14,0.008577702638101665,-0.011193946192668856,0.24049462112039888,13.779326785796645,298,76.23641181489815,0.008594715036451817,6.337463855743408e-05
episode_17,square_vertical_peg_physics.h5,episode_17,-0.009017201364010467,0.004094985952647127,0.154136496082378,8.831370694455007,291,72.32715459778154,0.0022031529806554317,0.001611664891242981
episode_18,square_vertical_peg_physics.h5,episode_18,0.002769242675550093,-0.0027917386977147976,0.5206770271890794,29.83259614735266,368,2.4230863149943342,0.001073708408512175,0.0019788742065429688
episode_22,square_vertical_peg_physics.h5,episode_22,-0.00033995138803706235,0.009347708024376008,0.454529307022146,26.04261095737498,263,70.74360286757401,0.007990377023816109,0.00010767579078674316
episode_26,square_vertical_peg_physics.h5,episode_26,-0.009983631754022764,0.007983459543681546,0.3006486445548371,17.225898449321004,289,40.70461378106531,0.0017063396517187357,0.0012038350105285645
episode_32,square_mixed_targeted_physics.h5,episode_2,0.011520420216921262,-0.007955605249217547,-0.28363976125017154,-16.25136122173314,430,72.46259419597976,0.0017075961222872138,0.002870321273803711
episode_34,square_mixed_targeted_physics.h5,episode_4,0.0020275988295592826,0.01043624207624265,-0.4279760345345346,-24.521220511574,424,3.595342709385072,0.0015587081434205174,0.006264001131057739
episode_36,square_mixed_targeted_physics.h5,episode_6,-0.011281457332954915,0.008271976211530346,-0.4243872856498201,-24.315600346747576,426,77.18495006844236,0.0016747803892940283,0.0028912127017974854
episode_37,square_mixed_targeted_physics.h5,episode_7,-0.0029976967155852657,0.007824021287763966,-0.17438563209802355,-9.991560726937848,427,2.2964423130182183,0.0019227106822654605,0.003239870071411133
episode_39,square_mixed_targeted_physics.h5,episode_9,0.00558517572313786,0.006209306988454868,-0.2924912944513094,-16.758516716378264,430,75.13724661329525,0.0017802476650103927,0.003052055835723877
episode_73,square_mixed_targeted_physics.h5,episode_43,-0.010207866768497727,0.004192355852917207,-0.14712722169123743,-8.429768854393522,437,3.9637776968979073,0.0016331627266481519,0.0035487711429595947
episode_82,square_mixed_targeted_physics.h5,episode_52,0.003688566528934699,0.006546124493757594,-0.32820174904897215,-18.804575049317883,427,77.28786267219999,0.001639562426134944,0.002450227737426758
episode_83,square_mixed_targeted_physics.h5,episode_53,-0.002936439044403459,0.0028226084397645138,-0.25727030372431436,-14.740502597452037,423,1.9641431612863336,0.0018239511409774423,0.003072202205657959
episode_90,square_mixed_targeted_physics.h5,episode_60,0.002461242362338875,-0.008124865940601918,-0.4257242881807253,-24.392204948966754,425,76.90566397522315,0.0014546748716384172,0.004215121269226074
episode_96,square_mixed_targeted_physics.h5,episode_66,0.00860779083699962,0.0016206807701239691,-0.3684225664778381,-21.109058136558126,425,4.193693889699604,0.001662802416831255,0.002875596284866333
episode_99,square_mixed_targeted_physics.h5,episode_69,0.005192338536792945,0.007517247355179637,-0.46916311637170394,-26.881066471303733,422,86.09729886652501,0.001503425999544561,0.006933808326721191
episode_114,square_mixed_targeted_physics.h5,episode_84,0.010480999569477314,0.011304879516070863,-0.35401752984112345,-20.283710333543052,426,86.70924422219542,0.0016509577399119735,0.002774864435195923
episode_117,square_mixed_targeted_physics.h5,episode_87,-0.010252363168574797,0.0057644780840490455,-0.04940016006703013,-2.8304206791115325,441,67.91328336626475,0.0015083421021699905,0.00022443383932113647
episode_123,square_mixed_targeted_physics.h5,episode_93,0.010280418862468596,0.006022740388454188,-0.2640089679622061,-15.126599617838973,431,2.7917064016734416,0.0017241030000150204,0.0025568008422851562
episode_152,square_mixed_negative_yaw_topup_physics.h5,episode_2,-0.00337866963537861,0.00359536627188322,-0.41817915954807633,-23.959900922432656,425,80.65521279833689,0.0016021891497075558,0.0028055012226104736
episode_154,square_mixed_negative_yaw_topup_physics.h5,episode_4,0.00045621815912787536,0.0027985257061828002,-0.2959676388953703,-16.957696581156704,430,1.398814281094061,0.0017894781194627285,0.002973705530166626
episode_156,square_mixed_negative_yaw_topup_physics.h5,episode_6,0.0008108941293210516,0.009882915126800377,-0.15193775945647298,-8.705392365529814,436,71.34600721393963,0.0018883701413869858,0.003187507390975952
episode_157,square_mixed_negative_yaw_topup_physics.h5,episode_7,-0.004363892826594699,0.003058651531254613,-0.2682010034053527,-15.36678555630053,423,3.3096892986384945,0.0018480311846360564,0.0030850768089294434
episode_159,square_mixed_negative_yaw_topup_physics.h5,episode_9,0.002063603667633359,0.004807998862959356,-0.4498114433635929,-25.772297281421736,423,80.89889938332496,0.0016539422795176506,0.002795487642288208
episode_189,square_mixed_negative_yaw_topup_physics.h5,episode_39,0.010536554340210207,0.005527433254831418,-0.3833107550528154,-21.962088506499217,426,2.8439094470610353,0.001686401548795402,0.0013941526412963867
episode_192,square_mixed_negative_yaw_topup2_physics.h5,episode_2,-0.0017089287925397493,0.006826499501238181,-0.3402099356183116,-19.492593459346715,428,71.89694519700181,0.0015288259601220489,0.005593746900558472
episode_194,square_mixed_negative_yaw_topup2_physics.h5,episode_4,-0.0006706454269802351,0.006479120796455892,-0.23519518911413903,-13.475691698021409,432,2.6713814325912484,0.0017241730820387602,0.006021216511726379
episode_196,square_mixed_negative_yaw_topup2_physics.h5,episode_6,0.0009736090258035523,0.005085687275792769,-0.3674283405987565,-21.05209318980407,427,75.83189888303063,0.0016864013159647584,0.002874135971069336
