frame_index,time_s,stage,contact_state,tcp_x_m,tcp_y_m,tcp_z_m,speed_m_s,angular_speed_deg_s,gripper_state,aux_action_tail_norm,aux_action_tail_robust_z,reference_distance_m,reference_axis_error_deg,axial_distance_proxy_m,lateral_distance_proxy_m,axial_velocity_m_s,lateral_speed_m_s
0,0.0,approach,unknown_no_ground_truth,0.5054330217634861,-0.11703289133924728,0.30876331625080805,0.15741428266940846,8.39531539663747,0.8714831,1.7733576,-2.7648356,0.2845073841280538,4.176559219909617,0.16834389608436878,0.22935732880054918,-0.12536437914277218,0.09519994133649293
1,0.033333335,approach,unknown_no_ground_truth,0.5022982375249977,-0.11620776711332019,0.30463720333913014,0.14323404367758408,8.39531539663747,0.8714831,1.1047497,-7.3211527,0.28160928485809383,4.418343121095633,0.16416508322833429,0.22880912299757875,-0.1139500058639164,0.0867835666001662
2,0.06666667,approach,unknown_no_ground_truth,0.4997180834916651,-0.11552861109818113,0.30126272850621144,0.11487500374283585,6.59411745945684,0.8714831,1.1954817,-6.7028475,0.27928756818624734,4.562273432707372,0.16074722854379125,0.2283897420176263,-0.09112142197690862,0.06995107534429121
3,0.1,approach,unknown_no_ground_truth,0.49769255966348813,-0.11499542329383011,0.29863989175205197,0.08651817780604143,6.59411745945684,0.8714831,1.7369735,-3.01278,0.2775127413231928,4.910043099253436,0.15809033203073955,0.22808061845567645,-0.06829250970119898,0.053118059166251945
4,0.13333334,approach,unknown_no_ground_truth,0.49622166604046636,-0.114608203700267,0.2967686930766512,0.05567186613313258,6.59411745945684,0.8714831,1.4191206,-5.1788306,0.27626089275066373,5.045475386922329,0.15619439368917873,0.22786704949040698,-0.043869813071655925,0.03427529984994152
5,0.16666667,approach,unknown_no_ground_truth,0.49543575289905306,-0.11440514237644427,0.2957531450400913,0.026326022680120152,1.018080050527668,0.8714831,1.411015,-5.234067,0.2755927897503918,5.045475386922329,0.15516567795997294,0.22776083540772676,-0.020044908324766665,0.017066373967715015
6,0.2,approach,unknown_no_ground_truth,0.4950998721956201,-0.11431471879002841,0.29545122979863403,0.0035668166872143497,1.018080050527668,0.8714831,1.5896748,-4.0165663,0.27537867314458186,5.045475386922329,0.15485806646752764,0.22771120497860714,0.0029923594745527656,0.001941124945809785
7,0.23333333,approach,unknown_no_ground_truth,0.4953156944649729,-0.11436687752194907,0.2959548001943241,0.014599361676619082,1.018080050527668,0.8714831,1.5708605,-4.1447787,0.2756827620385856,5.045475386922329,0.15536516859160981,0.22773372537620354,0.013690229298124149,0.005071388678608363
8,0.26666668,approach,unknown_no_ground_truth,0.49544282427368624,-0.11439759142517524,0.29635831724274,0.010873282400980833,1.018080050527668,0.8714831,1.6751233,-3.434266,0.2759215821989566,5.029296049529899,0.15577074734117338,0.2277458974294551,0.010485405125914823,0.002878289338638257
9,0.3,approach,unknown_no_ground_truth,0.49551298733695126,-0.11441544076730423,0.2966506298084696,0.008648827754347672,1.2807017507827307,0.8714831,1.681887,-3.388174,0.27609302420366194,5.005585278664236,0.1560641969933073,0.22775277041291508,0.008061505576527229,0.003132786198257869
