frame_index,time_s,stage,contact_state,tcp_x_m,tcp_y_m,tcp_z_m,speed_m_s,angular_speed_deg_s,gripper_state,aux_action_tail_norm,aux_action_tail_robust_z,reference_distance_m,reference_axis_error_deg,axial_distance_proxy_m,lateral_distance_proxy_m,axial_velocity_m_s,lateral_speed_m_s
0,0.0,approach,unknown_no_ground_truth,0.5211587519201554,-0.06187026424655775,0.33259087247255964,0.09358628685191937,5.869572245552276,0.8714905,1.7240877,-3.856424,0.2584843664409347,4.3158510585585415,0.19168931917171952,0.1734052265932433,-0.044766664068783706,0.08218478493542711
1,0.033333335,approach,unknown_no_ground_truth,0.5201949299380555,-0.06442337268385721,0.3310795044222704,0.08550603212423197,5.869572245552276,0.8714905,1.4034883,-6.143502,0.2591198773822325,4.245826507139143,0.19019709695826797,0.17597776894605305,-0.0407670718362152,0.07516200758049944
2,0.06666667,approach,unknown_no_ground_truth,0.5194048926403048,-0.06654355145152292,0.3298378826370489,0.06934772483325363,3.016274580456035,0.8714905,1.3432771,-6.5730343,0.25968465648396294,4.261306099179719,0.18897151420984512,0.1781176230203855,-0.0327680572213279,0.06111760274657739
3,0.1,approach,unknown_no_ground_truth,0.5187886400269032,-0.06823080054955488,0.3288660071168951,0.05319398768615009,3.016274580456035,0.8714905,1.3247393,-6.705278,0.2601631352154124,4.301465073218415,0.18801257092645104,0.1798224960863884,-0.024768695017470966,0.047075599550996654
4,0.13333334,approach,unknown_no_ground_truth,0.5183461720978497,-0.069485119977953,0.3281638778618088,0.0321847634045859,3.016274580456035,0.8714905,1.450386,-5.808945,0.26054312675414676,4.31778658518803,0.1873202671080854,0.1810906911726357,-0.016756060221564843,0.027478963613289054
5,0.16666667,approach,unknown_no_ground_truth,0.5179985128397957,-0.06987673809609725,0.3277388844890582,0.01281088509743355,3.016274580456035,0.8714905,1.5055587,-5.4153566,0.2605176196813779,4.31778658518803,0.18689550074669245,0.181492429498021,-0.007040725184999927,0.010702661624519048
6,0.2,approach,unknown_no_ground_truth,0.5179181324649484,-0.0700548479256062,0.32769312429049485,0.011431596395109888,3.016274580456035,0.8714905,1.5137842,-5.356678,0.2606109714723374,4.31778658518803,0.1868508854290854,0.18167230131784606,0.0017063801010746677,0.011303524365937633
7,0.23333333,approach,unknown_no_ground_truth,0.51812213308763,-0.07062170469105393,0.3278415928713538,0.027652026353219113,3.016274580456035,0.8714905,1.5608232,-5.0211134,0.26111636177036157,4.29144433938678,0.18700925942009747,0.1822341660483484,0.00607187847830376,0.026977154282537583
8,0.26666668,approach,unknown_no_ground_truth,0.5185798303223624,-0.07173418381069702,0.3280677713290474,0.04089442583500956,12.049700484046205,0.8714905,1.5543724,-5.0671315,0.2620637146121463,3.9972352781109537,0.18725567610983734,0.18333767283611996,0.005312610916770812,0.04054787577200691
9,0.3,approach,unknown_no_ground_truth,0.5191690099544402,-0.07312002671527942,0.3281500232629035,0.044475211165928355,12.049700484046205,0.87149787,1.4952447,-5.488934,0.263106780350638,3.394494636514851,0.18736343494565014,0.1847163260565941,-0.0010584936427688089,0.04446261350238126
10,0.33333334,approach,unknown_no_ground_truth,0.5198485989589645,-0.07441125841323856,0.3279460905979088,0.040296631056202764,13.887235548289649,0.87149787,1.5071822,-5.4037747,0.2638868910443641,2.8558810441787896,0.18718510986698608,0.18600544591259802,-0.01278456916785692,0.03821483044149231
11,0.36666667,approach,unknown_no_ground_truth,0.520485067530542,-0.07528313341983321,0.32725228564043973,0.03949991379771805,16.36245640893911,0.87149787,1.5442265,-5.1395097,0.2640303583207122,2.5054801031499814,0.1865111303344597,0.18688399711137887,-0.028071544118111375,0.027789055414894605
12,0.4,approach,unknown_no_ground_truth,0.5212392037428605,-0.07558147450493904,0.32604051278222423,0.04639234223281932,20.117131531621638,0.8714757,1.463422,-5.71595,0.2634089883979531,2.291697790236566,0.18531367359244533,0.1871981237846834,-0.040131395430168436,0.023274890304241774
13,0.43333334,approach,unknown_no_ground_truth,0.521987185542954,-0.07544705644704663,0.3245537075544571,0.053252405978905605,18.191044435353955,0.8714757,1.4695697,-5.6720934,0.26229142528391425,1.9989946057826342,0.18383570397244853,0.18708614519098266,-0.04739308917748642,0.02428402439376558
14,0.46666667,approach,unknown_no_ground_truth,0.5227888035306771,-0.07525355337994402,0.3228632738725538,0.05404108086691022,18.191044435353955,0.8714757,1.4627532,-5.720721,0.2609976143864494,1.6649642769729789,0.18215413431394625,0.18692144357391044,-0.04805559324691715,0.024720404101688583
15,0.5,approach,unknown_no_ground_truth,0.5235770189561769,-0.07519169838879974,0.32133082867106466,0.05042632660223039,20.108833599992977,0.8714757,1.1162438,-8.192634,0.2599148153559653,1.1327879842967576,0.18063199775598734,0.18688978738338408,-0.042996884877640924,0.026345441833715778
16,0.53333336,approach,unknown_no_ground_truth,0.5245041232020726,-0.07528948174701024,0.3199722884936055,0.054204889803877894,22.460697792298678,0.8714757,1.142989,-8.001841,0.25907763924261207,0.9326992433662015,0.17928765091162643,0.18702182061491066,-0.04419233548185137,0.03138801623725281
17,0.56666666,approach,unknown_no_ground_truth,0.5256056518319322,-0.07546544382031353,0.31835286893268816,0.06664570836043376,28.00236246561943,0.8714757,1.3917722,-6.2270823,0.2581333723841609,0.7986216645633462,0.17768584791735514,0.18724469922620082,-0.05552078835288828,0.036865871799508225
18,0.6,approach,unknown_no_ground_truth,0.5268738646823888,-0.07566693934837768,0.3162329673458354,0.09132452466023515,30.89233932898787,0.8714757,0.9698542,-9.236942,0.2568875468776609,0.7268355807384451,0.17558625918154283,0.18751180583487131,-0.07938818625961104,0.045140720938274786
19,0.6333333,approach,unknown_no_ground_truth,0.5285052111452189,-0.07586807960551112,0.3130145336445713,0.12474596439643545,34.26985159243746,0.8714757,0.9941287,-9.063773,0.25494045474332905,0.48713752508359137,0.1723933096052896,0.1878168849386822,-0.1093891204767187,0.059963121620931856
20,0.6666667,approach,unknown_no_ground_truth,0.5307341235294707,-0.07611553665847787,0.3088804397359438,0.14993811365209134,34.26985159243746,0.8714757,1.0187755,-8.88795,0.25249166468814715,0.2956044855951532,0.16829364489434534,0.1882266979606446,-0.13109000517841352,0.07277945086266441
21,0.7,approach,unknown_no_ground_truth,0.5331947599297658,-0.0763942224817156,0.30420267981339083,0.16410732578243892,34.26985159243746,0.8714757,1.267454,-7.1139374,0.24979398708473413,0.16301052405537483,0.16365398248343738,0.18871780520395814,-0.1468743402651048,0.07320616467998962
