frame_index,time_s,stage,contact_state,tcp_x_m,tcp_y_m,tcp_z_m,speed_m_s,angular_speed_deg_s,gripper_state,aux_action_tail_norm,aux_action_tail_robust_z,reference_distance_m,reference_axis_error_deg,axial_distance_proxy_m,lateral_distance_proxy_m,axial_velocity_m_s,lateral_speed_m_s
0,0.0,approach,unknown_no_ground_truth,0.534021701170509,-0.10731532634115583,0.3872046830137453,0.013329359245846394,0.4514702190990363,0.87332237,1.9411787,-0.9897416,0.3204009467355673,9.988260151923903,0.26981907735157706,0.17278435162418937,-0.007354415449662223,0.011116851681056123
1,0.033333335,approach,unknown_no_ground_truth,0.5338092220033802,-0.10760204371801776,0.3869399965937331,0.012448912599255544,0.4514702190990363,0.87332237,1.9091674,-1.0542982,0.3203795723855191,9.985184228629072,0.26957393015713627,0.17312702441145206,-0.0069152451341121446,0.010351560734451678
2,0.06666667,approach,unknown_no_ground_truth,0.5336239268001894,-0.10784781560132393,0.3867076815127968,0.010689373955616381,0.9101910080457483,0.87332237,1.8140216,-1.2461771,0.3203575155177359,9.977178931288186,0.26935806097999226,0.17342194997691374,-0.00603713324074805,0.008821322905123968
3,0.1,approach,unknown_no_ground_truth,0.5334658155609365,-0.10805264199107437,0.38650773777093606,0.008931682850062123,0.9101910080457483,0.87332237,1.6238511,-1.6296906,0.3203345641441086,9.965831390729596,0.26917146982014495,0.17366908999663364,-0.005158550327368748,0.00729138649737467
4,0.13333334,approach,unknown_no_ground_truth,0.5333348882856208,-0.1082165228872689,0.3863401653681507,0.008011775011180432,0.9101910080457483,0.87332237,1.528263,-1.8224615,0.320310538647263,9.956379621335415,0.269014156677594,0.17386841195439343,-0.004826833507854735,0.006394545888272753
5,0.16666667,approach,unknown_no_ground_truth,0.5332033967347303,-0.10836937500927582,0.38616700611451044,0.0062192473995753336,0.9101910080457483,0.87332237,1.430638,-2.0193403,0.3202752621004578,9.949858275044729,0.2688496818111725,0.1740577263540699,-0.003944970250098894,0.004807935933741132
6,0.2,approach,unknown_no_ground_truth,0.5331280380885425,-0.10844742837157023,0.3860648428485327,0.0029207912752669276,0.2663098951628336,0.87332237,1.4343334,-2.0118876,0.3202466662241979,9.947674799711589,0.26875115866092075,0.17415723340167485,-0.0020175621463128833,0.0021119812166401374
7,0.23333333,approach,unknown_no_ground_truth,0.5331033526048333,-0.10846351872846424,0.38602900689678243,0.0006785439974511878,0.10641090586715166,0.87332237,1.4880902,-1.9034773,0.32022929947263584,9.94762552120932,0.268715177668085,0.17418081849487513,-0.0006102968956600434,0.0002965799312575815
8,0.26666668,approach,unknown_no_ground_truth,0.5331043769028181,-0.10844853998531523,0.3860263013256189,0.0005887917351531511,0.03854160771792436,0.87332237,1.4822507,-1.9152536,0.3202174573490886,9.947625409365918,0.2687104703673487,0.17416630875710024,1.648923040109406e-05,0.0005885607977647154
9,0.3,approach,unknown_no_ground_truth,0.5331135513016593,-0.10842599528937119,0.38603437220690634,0.0004745446248449796,0.02695176742476609,0.87332237,1.5293806,-1.8202077,0.3202090740915042,9.947615517057109,0.268716278785642,0.17414193247502316,0.00015392350657921668,0.00044888768650033187
10,0.33333334,approach,unknown_no_ground_truth,0.5331173489703602,-0.10842259104226806,0.38603892011409974,0.0001197337334448217,0.0152248391741007,0.87332237,1.5843096,-1.7094333,0.3202104091964421,9.947618296629706,0.26872073193445395,0.1741375157350197,0.00010296818208307821,6.110417664236762e-05
11,0.36666667,approach,unknown_no_ground_truth,0.5331170260420712,-0.10843003846953751,0.38604031318078735,8.068771692625917e-05,0.0152248391741007,0.87332237,1.5814372,-1.7152259,0.3202163399945765,9.947627079953218,0.26872314333111424,0.17414470028619206,3.203332842315279e-05,7.40565563127706e-05
12,0.4,approach,unknown_no_ground_truth,0.5331176022244213,-0.10842778635067457,0.38604029132617457,0.00030872765034084044,0.02695176742476609,0.87332237,1.5990216,-1.6797639,0.3202148659922103,9.947667782911529,0.2687228674896822,0.17414241554122278,-2.7629491282681423e-05,0.000307488818164883
13,0.43333334,approach,unknown_no_ground_truth,0.5331218149495573,-0.10841002703240807,0.38604078331378666,0.000874164836321766,0.02695176742476609,0.87332237,1.6354022,-1.6063957,0.3202037298683636,9.947732644498675,0.2687213013650287,0.17412435445479008,-7.372031498454538e-05,0.0008710507885422293
14,0.46666667,approach,unknown_no_ground_truth,0.5331306892800638,-0.1083710230422957,0.3860420062479717,0.0014260757924036938,0.07721671628094366,0.87332237,1.594073,-1.6897435,0.3201793666446938,9.947929243127462,0.2687179528020166,0.17408471692509508,-0.0001433005685218067,0.0014188576788181223
15,0.5,approach,unknown_no_ground_truth,0.5331418281734125,-0.10831709704741635,0.38604223954447847,0.0017415293943842563,0.15030115703149696,0.873315,1.6552814,-1.5663056,0.3201445459073641,9.948774018701547,0.26871174799379394,0.17403024669393588,-0.0001899238762546177,0.0017311422681954292
16,0.53333336,approach,unknown_no_ground_truth,0.5331541111477416,-0.10825731195883045,0.3860429035038848,0.0019887078783985693,0.19807583942670745,0.873315,1.6354498,-1.6062998,0.320106251045482,9.949806099021153,0.2687052580835767,0.17396981415358131,-0.00012211151444081606,0.001984955365655739
17,0.56666666,approach,unknown_no_ground_truth,0.5331717131107502,-0.10818811627511547,0.3860492100082346,0.0021704369620576245,0.2357409803977407,0.873315,1.6652957,-1.5461099,0.3200662414074348,9.950767641972892,0.2687036145786463,0.17389872455269087,0.00011134490593614564,0.002167579045430178
18,0.6,approach,unknown_no_ground_truth,0.5331951781263533,-0.10812041008192115,0.3860654368030545,0.00230905236983901,0.26038274743314527,0.873315,1.6728451,-1.5308852,0.32003492492633906,9.951286387308668,0.26871267373532104,0.1738270754129586,0.0004235044890927992,0.002269882550789224
19,0.6333333,approach,unknown_no_ground_truth,0.5332247682293019,-0.108049961383995,0.38609158764198237,0.0028547962495516304,0.27903371106660907,0.873315,1.7282724,-1.4191059,0.32000954081472854,9.952647201711969,0.2687318555521467,0.17375067201007763,0.0006050258484664684,0.002789947194686933
20,0.6666667,approach,unknown_no_ground_truth,0.5332626373736136,-0.107951934321695,0.3861227562753804,0.0039536348911600495,0.3948984713920439,0.873315,1.7724756,-1.3299621,0.3199701856312013,9.955209827638543,0.26875300143180303,0.1736454546317372,0.0005526868015303887,0.003914813680370018
