frame_index,time_s,stage,contact_state,tcp_x_m,tcp_y_m,tcp_z_m,speed_m_s,angular_speed_deg_s,gripper_state,aux_action_tail_norm,aux_action_tail_robust_z,reference_distance_m,reference_axis_error_deg,axial_distance_proxy_m,lateral_distance_proxy_m,axial_velocity_m_s,lateral_speed_m_s
0,0.0,approach,unknown_no_ground_truth,0.5146782043408781,-0.11508904877773289,0.4011392585585163,0.2510530342066675,21.096862100727623,0.87330014,1.8979675,-2.4477952,0.3358053309472147,6.331898550446663,0.2821318584170609,0.1821176398889024,-0.016794292696691727,0.25049067391260704
1,0.033333335,approach,unknown_no_ground_truth,0.5074871294424838,-0.11936107673029887,0.40087672890087267,0.23788428646555349,21.096862100727623,0.87330014,2.857635,2.0548291,0.3385843554020214,5.694178474238345,0.28157204863130814,0.1880333671255466,-0.011366597295979917,0.23761257166475122
2,0.06666667,approach,unknown_no_ground_truth,0.5011814744968357,-0.12341294688079513,0.4008996587309773,0.21200337091681065,21.096862100727623,0.87330014,3.2964368,4.1136246,0.34156301407647577,4.2909214394649435,0.28137408521581764,0.19363345979961363,-0.000511440353999873,0.21200275401243046
3,0.1,approach,unknown_no_ground_truth,0.4957612395039339,-0.12724465922922165,0.40120804804883026,0.1869407082650833,21.096862100727623,0.8733076,3.045048,2.9341443,0.34467983539891534,3.302005705135106,0.2815379681705894,0.19884808625933412,0.010344196185698292,0.18665429545532233
4,0.13333334,approach,unknown_no_ground_truth,0.49122642446377773,-0.1308562137755783,0.401801896854431,0.1792705753624748,21.096862100727623,0.8733076,1.8701218,-2.5784428,0.34788320793380006,3.0361043706461657,0.28206369749562277,0.2036241560262666,0.027359350340397735,0.17717055381677885
5,0.16666667,approach,unknown_no_ground_truth,0.48709853261990355,-0.1352788635393225,0.4030092619179646,0.15809353474723145,17.969970348870525,0.8733076,1.46039,-4.500847,0.3521112593469562,2.8524807959756395,0.28336192580856767,0.20901760203619024,0.042278700605030285,0.15233541021057542
6,0.2,approach,unknown_no_ground_truth,0.48461451683274714,-0.13864703133374562,0.4043842124053703,0.10821343865263576,12.190500606818677,0.8733076,2.44143,0.10205451,0.35563412895374075,2.7455725572083622,0.2848822775359581,0.21287959419026348,0.04102997031703076,0.10013336027923629
7,0.23333333,approach,unknown_no_ground_truth,0.4830465287766107,-0.1406918170926208,0.4055244760761778,0.06241131737825011,8.235749129860368,0.8733076,2.0369968,-1.795489,0.3580108805435486,2.769096767667917,0.2860972571630364,0.21522116538889588,0.029309233406452338,0.05510119212879847
8,0.26666668,approach,unknown_no_ground_truth,0.48213262832385495,-0.14138618950748627,0.4062944797730258,0.02742619864918013,4.935390991314535,0.8733076,1.627724,-3.715739,0.35913834581128096,2.831697264988727,0.2868362246814753,0.21611416344733508,0.01586492091578577,0.022371871997670493
9,0.3,approach,unknown_no_ground_truth,0.4817150300147087,-0.1410571421503552,0.4067231192161429,0.021091527518944712,4.243351455690462,0.8733076,1.8074787,-2.8723557,0.35927232151143756,2.824165500229001,0.2871549208582164,0.21591352998626384,0.005022707177777433,0.020484749099969595
10,0.33333334,approach,unknown_no_ground_truth,0.48161414626754884,-0.14021657935513654,0.4068778414259172,0.027971301399774672,3.5871897087786895,0.8733076,1.8502012,-2.6719074,0.35882788074341043,2.824114962708017,0.28717107182666046,0.2151516291008139,-0.00253959986567796,0.027855773809378998
11,0.36666667,approach,unknown_no_ground_truth,0.4817381659317504,-0.13919528482220217,0.40682439784742563,0.03108669667131013,2.602986479382977,0.8733076,1.8848603,-2.5092921,0.35808663662988793,2.8240682330835383,0.2869856142005045,0.21416184668344776,-0.006943460098502438,0.03030133778885924
12,0.4,approach,unknown_no_ground_truth,0.48197835238086295,-0.13818806627535013,0.40665984404397515,0.029129116030203007,2.537662514666144,0.8733076,1.6215911,-3.744514,0.35726238333311156,2.803939391845751,0.28670817448676034,0.21315448207186385,-0.007916864123775468,0.028032635679627178
13,0.43333334,approach,unknown_no_ground_truth,0.4822076661148,-0.1373389439566977,0.4065008189800666,0.02242075986562681,2.5296758118550304,0.8733076,1.4241347,-4.6709514,0.3565506559678033,2.7765749655592082,0.28645782325891944,0.21229763485454206,-0.006345118708037615,0.021504184279646902
14,0.46666667,approach,unknown_no_ground_truth,0.48234676763840706,-0.13676444185969422,0.40639199408421367,0.013490115524673121,1.9376782775221124,0.8733076,1.1164275,-6.11467,0.35607039307774163,2.7634215276340828,0.2862851665728911,0.2117237072858622,-0.0039019531221027547,0.012913480503022387
