frame_index,time_s,stage,contact_state,tcp_x_m,tcp_y_m,tcp_z_m,speed_m_s,angular_speed_deg_s,gripper_state,aux_action_tail_norm,aux_action_tail_robust_z,reference_distance_m,reference_axis_error_deg,axial_distance_proxy_m,lateral_distance_proxy_m,axial_velocity_m_s,lateral_speed_m_s
0,0.0,approach,unknown_no_ground_truth,0.48064965624219713,-0.13233725463145682,0.40383434075258573,0.009494784495602659,0.39651598388417636,0.8733076,1.8335766,-1.7207834,0.3514159511572787,12.362610110707966,0.28291206634154875,0.20845607078262324,0.0007040507428590765,0.009468645371404306
1,0.033333335,approach,unknown_no_ground_truth,0.48056729022466943,-0.1326426548274145,0.403823650905872,0.00892802428798176,0.39651598388417636,0.8733076,1.725271,-2.113326,0.3516211887450198,12.35993768223134,0.28293553470086796,0.20877007347317475,0.000646913789432506,0.00890455615041167
2,0.06666667,approach,unknown_no_ground_truth,0.4804949491919338,-0.1329116091305353,0.40381318299913416,0.00779461662432691,0.7285852126906993,0.8733076,1.5642549,-2.6969125,0.35180127297090624,12.35282948604772,0.28295519393025287,0.20904663090287554,0.0005324052219275744,0.007776412604787486
3,0.1,approach,unknown_no_ground_truth,0.4804326331439904,-0.1331441175408192,0.403802937032372,0.006661395933509531,0.7285852126906993,0.8733076,1.4595542,-3.0763896,0.35195615269138036,12.344725778520935,0.28297104402970324,0.2092857416501612,0.0004183802329219995,0.00664824441214953
4,0.13333334,approach,unknown_no_ground_truth,0.48038034208083824,-0.13334018005826603,0.4037929130055853,0.0061241729355096045,0.7285852126906993,0.8733076,1.4176084,-3.228418,0.3520857836220557,12.33690103760662,0.28298308499921865,0.2094874044735913,0.00034373274450696196,0.006114518946277134
5,0.16666667,approach,unknown_no_ground_truth,0.4803276178244962,-0.13353807526208059,0.4037814850648672,0.004957307366040729,0.7285852126906993,0.8733076,1.3457135,-3.4889936,0.3522157279147925,12.330827528939967,0.28299396049684716,0.20969105205720168,0.00022113793301148127,0.0049523725966434595
6,0.2,approach,unknown_no_ground_truth,0.48029605625557376,-0.13365902569782742,0.4037715794821858,0.0027411138330433516,0.37206980459102046,0.873315,1.3367404,-3.5215158,0.35229296224601586,12.327482590097173,0.2829978275280861,0.20981554008808878,3.358609192279685e-05,0.0027409080648812304
7,0.23333333,approach,unknown_no_ground_truth,0.4802823653029821,-0.13371420958942015,0.40376350861703103,0.0009317304686742063,0.0596762970598193,0.873315,1.3655449,-3.4171169,0.35232552102099285,12.327224519483408,0.28299619956964195,0.20987239883284664,-0.00010060474833008774,0.000926283083549136
8,0.26666668,approach,unknown_no_ground_truth,0.48028264463155024,-0.13371807086065526,0.40375771776869335,0.00023085998378275676,0.016211048860948745,0.873315,1.4071714,-3.2662458,0.35232382072265944,12.327210184885297,0.2829911186452855,0.20987639556773088,-0.0001272860924580144,0.00019259953992402092
9,0.3,approach,unknown_no_ground_truth,0.4802880817374655,-0.13370210882949402,0.4037559092078135,0.0002887157920264704,0.016211048860948745,0.873315,1.4024614,-3.2833166,0.35231119130661215,12.327088115649314,0.282987715724522,0.2098597823998238,-7.366014170661565e-05,0.0002791612295596102
10,0.33333334,approach,unknown_no_ground_truth,0.4802893261099771,-0.1337003135433722,0.4037544758196385,0.00027581523436224933,0.016211048860948745,0.873315,1.4461663,-3.1249127,0.35230879548708793,12.327046410491818,0.28298620796917173,0.20985779346212388,-2.610689933783484e-05,0.0002745768987246864
11,0.36666667,approach,unknown_no_ground_truth,0.4802847889591848,-0.13371975886877224,0.4037519417672406,0.0008096831226911652,0.016211048860948745,0.873315,1.4162788,-3.2332368,0.3523204643976675,12.327047500111965,0.28298597526456615,0.20987769637803455,1.5678565013467648e-05,0.0008095313099380622
12,0.4,approach,unknown_no_ground_truth,0.48027643267196574,-0.13375249062520023,0.40374947278877643,0.0015624746499070885,0.14727371934273542,0.873315,1.395527,-3.3084497,0.3523415091684978,12.326489924062978,0.28298725320683926,0.2099112993756717,9.814117517312573e-05,0.0015593894129876335
13,0.43333334,approach,unknown_no_ground_truth,0.4802584163892616,-0.13382041374571702,0.4037471017604688,0.0030381732218711767,0.29817629331696593,0.873315,1.3688753,-3.4050462,0.3523872842855442,12.323622452287415,0.2829925180095777,0.20998102980207475,0.00024039281727583674,0.0030286478533327822
14,0.46666667,approach,unknown_no_ground_truth,0.4802235855802476,-0.13394793376058572,0.40374367669246236,0.004918397687517881,0.360825610923051,0.873315,1.3663377,-3.4142435,0.35247411333319556,12.321251920485373,0.28300327939465764,0.21011221864016322,0.0004283688757930172,0.0048997077381036785
15,0.5,approach,unknown_no_ground_truth,0.4801713153855117,-0.1341364605419088,0.4037406384248374,0.00684889247426534,0.5055286393757659,0.873315,1.3732306,-3.3892608,0.3526041085451134,12.317492201986658,0.28302107593463055,0.21030627175549993,0.0006492762443105508,0.006818047263155514
16,0.53333336,approach,unknown_no_ground_truth,0.48010125573009277,-0.13438780308932358,0.4037383986899655,0.008783945393345332,1.0231511682742198,0.873315,1.3696611,-3.402198,0.3527788821392001,12.310035571722528,0.28304653035383903,0.21056495752626303,0.0009277351244302949,0.008734815636988053
17,0.56666666,approach,unknown_no_ground_truth,0.4800142443279303,-0.13470059843067725,0.40374040422692004,0.010310138064657583,1.0539229699357686,0.873315,1.3439335,-3.4954453,0.3530000281418409,12.300547171600169,0.28308293250804817,0.21088639878091792,0.0011287233323914359,0.010248167180096955
18,0.6,approach,unknown_no_ground_truth,0.4799055630707358,-0.13504668475136639,0.40374278549435916,0.010514585896260809,1.0539229699357686,0.873315,1.3638071,-3.4234154,0.3532464410147259,12.291081358443428,0.2831217709864293,0.211246564192363,0.0006818794094505685,0.010492452384491152
19,0.6333333,approach,unknown_no_ground_truth,0.47979847214827465,-0.13536708580912737,0.4037159401873851,0.009090013021421223,1.0539229699357686,0.873315,1.3514328,-3.4682648,0.3534542296651371,12.281295906291218,0.28312839877953533,0.21158497648158275,-0.0006320343140837296,0.00906801352863063
20,0.6666667,approach,unknown_no_ground_truth,0.47970311939468135,-0.1356090431928666,0.4036427437562392,0.007267639898294698,1.1178749375719008,0.873315,1.344884,-3.492,0.35357424010171934,12.280279649237785,0.2830796276797038,0.21185057860725462,-0.002755131749546006,0.006725164587869098
21,0.7,approach,unknown_no_ground_truth,0.4797188981892968,-0.135781301579967,0.4034775285539595,0.008953163300304167,1.1178749375719008,0.87332237,1.2558103,-3.814839,0.3535674506709842,12.280265494476206,0.28294473108363283,0.21201938903314851,-0.005332592280763621,0.007191842090108325
22,0.73333335,approach,unknown_no_ground_truth,0.4799674728169584,-0.13591073613380983,0.4032007459167857,0.017060523611908244,1.1178749375719008,0.87332237,1.3268229,-3.5574608,0.35342374528529663,12.280259216585899,0.28272411381073065,0.21207408894398969,-0.007949006258711066,0.015095521369315173
23,0.76666665,approach,unknown_no_ground_truth,0.48058681818676796,-0.13603117060788902,0.4027862321759431,0.027987795195330248,1.1178749375719008,0.87332237,1.301076,-3.6507776,0.35313175721914863,12.280108211667063,0.282414805108051,0.21199980144440062,-0.010416226043459193,0.025977276895535324
24,0.8,approach,unknown_no_ground_truth,0.4815499004783277,-0.1361696276627481,0.4022466525274689,0.03870002064184561,4.427536283115281,0.8733076,1.3540224,-3.458879,0.35272401548082877,12.317972228976148,0.28202969107186604,0.21183362445756276,-0.013367213895541526,0.0363181661204158
25,0.8333333,approach,unknown_no_ground_truth,0.48281839716756636,-0.1363651144491481,0.40153524881534475,0.04747666748747415,4.427536283115281,0.8733076,1.3617957,-3.4307055,0.35219997713442036,12.375053529539278,0.28152366535929957,0.21163470825020958,-0.01723359714597077,0.04423841187391986
26,0.8666667,approach,unknown_no_ground_truth,0.48424835395095733,-0.13661841244068307,0.4006545319100214,0.052392026046584814,4.427536283115281,0.8733076,1.3013226,-3.6498842,0.35158072578731814,12.441779808546535,0.28088077686053364,0.21145920631497817,-0.021166693922485814,0.047925937253827634
27,0.9,approach,unknown_no_ground_truth,0.485697934174372,-0.13691641048948866,0.39963682234885506,0.05312764869190266,4.559749459895405,0.8733076,1.2749001,-3.7456498,0.3508976803406841,12.49083978535261,0.2801125602980773,0.2113436434618484,-0.023553729395372903,0.04762109707996838
28,0.93333334,approach,unknown_no_ground_truth,0.4870576844956437,-0.13724772736832397,0.39859146233510645,0.05084040996827014,4.637439069473053,0.8733076,1.3877277,-3.3367174,0.3502338182168806,12.537093385793817,0.27931052073188906,0.21130395271091346,-0.023141074215187376,0.045268509693924895
29,0.96666664,approach,unknown_no_ground_truth,0.488328246354157,-0.13761171807156936,0.3976154889132799,0.04710642785173757,4.637439069473053,0.8733076,1.5830386,-2.628833,0.3496581286234138,12.576422565348743,0.2785698295350979,0.21132831562574436,-0.020289922993107508,0.04251275773088267
30,1.0,approach,unknown_no_ground_truth,0.48951369385154164,-0.13798857732194342,0.39677999073444903,0.04322041960810505,4.559749459895405,0.8733076,1.4768916,-3.013552,0.34920685962389486,12.624691166165453,0.277957851996763,0.21138794507191794,-0.016826843289417946,0.039810325494952205
31,1.0333333,approach,unknown_no_ground_truth,0.4906379687717225,-0.13834982465807139,0.3960590045175856,0.04000407662689739,4.037373891924076,0.8733076,1.2910924,-3.6869624,0.34883830129707716,12.687128296497344,0.2774480473795641,0.2114491462671287,-0.01520917629882191,0.03700009598747052
