frame_index,time_s,stage,contact_state,tcp_x_m,tcp_y_m,tcp_z_m,speed_m_s,angular_speed_deg_s,gripper_state,aux_action_tail_norm,aux_action_tail_robust_z,reference_distance_m,reference_axis_error_deg,axial_distance_proxy_m,lateral_distance_proxy_m,axial_velocity_m_s,lateral_speed_m_s
0,0.0,approach,unknown_no_ground_truth,0.5214740023935812,-0.13819959639306498,0.404761421487273,0.03990904300378367,1.3035857081691435,0.8740093,1.9169044,-1.7575498,0.35379560142489197,6.112253282961502,0.28993109861933014,0.20275918139751228,0.005193065465089204,0.03956973318779332
1,0.033333335,approach,unknown_no_ground_truth,0.5211203719637394,-0.1394816303511436,0.40479361679565334,0.03812462081784157,1.3035857081691435,0.8740093,2.0363839,-1.342594,0.35469017694225646,6.113331816072093,0.2901042008105278,0.20407026802406614,0.005024397804259239,0.037792090961056304
2,0.06666667,approach,unknown_no_ground_truth,0.5207974473864735,-0.1406486489623622,0.4048274260406253,0.03455620905283704,3.025156704638865,0.8740093,2.0756009,-1.2063923,0.355510157177328,6.117478383874278,0.2902660584942436,0.2052634578839225,0.004686824715042231,0.03423689907386248
3,0.1,approach,unknown_no_ground_truth,0.5205052286617836,-0.1417006522267208,0.4048628492221889,0.030988542382259742,3.025156704638865,0.8740093,1.9708503,-1.570194,0.3562548438707967,6.125401568439674,0.2904166716704775,0.206338727817266,0.0043497417450043775,0.03068174548047869
4,0.13333334,approach,unknown_no_ground_truth,0.5202437157896691,-0.1426376401442192,0.4048998863403437,0.030711988057386373,3.025156704638865,0.8740093,2.033147,-1.3538355,0.3569236163687586,6.136124557194741,0.29055604033922916,0.20729605723250263,0.0045287184103885315,0.030376255858753413
5,0.16666667,approach,unknown_no_ground_truth,0.5199529276408247,-0.14367028581887997,0.4049501670831324,0.027320841629689247,3.025156704638865,0.8740093,1.9956186,-1.4841732,0.35766916480827304,6.139769422732615,0.2907185872182495,0.2083505087598124,0.0042414022603469055,0.02698960715202215
6,0.2,approach,unknown_no_ground_truth,0.5197493121090484,-0.14438818772080222,0.4049926639349536,0.017637013281392677,2.147841678674562,0.87400186,2.0639865,-1.2467291,0.35819393376660513,6.1418141120033845,0.29083880048991895,0.20908296515206642,0.002956690239823692,0.0173874155731596
7,0.23333333,approach,unknown_no_ground_truth,0.519632161509089,-0.1447989871797213,0.4050253338905357,0.008786106729594196,0.796130888805002,0.87400186,2.032652,-1.3555553,0.3585006321033931,6.144073521129516,0.29091569990090443,0.2095012142439737,0.0016482923301113146,0.008630110303948415
8,0.26666668,approach,unknown_no_ground_truth,0.5195886768205504,-0.14494927854450113,0.40504231383172073,0.0023083217596014736,0.31619488888067776,0.87400186,2.0058722,-1.4485619,0.3586165468476781,6.144075062662659,0.29094868471844515,0.20965373961262812,0.0005303584230613909,0.002246568336137915
9,0.3,approach,unknown_no_ground_truth,0.5195881132266408,-0.14494506009361277,0.40504543581629177,0.00026423142234253245,0.17199316021704333,0.87400186,1.9641336,-1.5935214,0.35861590626118617,6.144076568075451,0.29095105907783614,0.20964934878271713,-4.6510281618084836e-05,0.0002601058212669686
10,0.33333334,approach,unknown_no_ground_truth,0.5195862314823734,-0.14493183540299887,0.4050420679763623,0.00026653134493896934,0.17199316021704333,0.87400186,1.9300594,-1.7118621,0.35860436094977716,6.144076568075451,0.2909455840330039,0.20963719809206643,-0.0001746634654400039,0.0002013246921653289
11,0.36666667,approach,unknown_no_ground_truth,0.5195765465995031,-0.14493487010610176,0.40503659805680914,0.00045180451555557684,0.13115816080910953,0.87400186,1.912477,-1.7729263,0.35860250936751686,6.145617387799607,0.29093941484680685,0.2096425925552288,-0.00015604653488887518,0.00042400094248195316
12,0.4,approach,unknown_no_ground_truth,0.5195620123375496,-0.14494690741383898,0.4050323984340875,0.0007019621072083804,0.08914139972550524,0.8739945,1.8792527,-1.8883154,0.35860779196343084,6.14429769633017,0.290935180930678,0.2096575039289578,-8.867555252527935e-05,0.000696338600352419
13,0.43333334,approach,unknown_no_ground_truth,0.51954424582885,-0.14496805809614988,0.4050298733942054,0.0008319215479613635,0.08914139972550524,0.8739945,1.8903794,-1.849672,0.35862057506355804,6.142087990428251,0.2909335031433051,0.20968169592904756,1.952989724682512e-05,0.000831692277874431
