frame_index,time_s,stage,contact_state,tcp_x_m,tcp_y_m,tcp_z_m,speed_m_s,angular_speed_deg_s,gripper_state,aux_action_tail_norm,aux_action_tail_robust_z,reference_distance_m,reference_axis_error_deg,axial_distance_proxy_m,lateral_distance_proxy_m,axial_velocity_m_s,lateral_speed_m_s
0,0.0,approach,unknown_no_ground_truth,0.5173841386108983,-0.10878849146721292,0.3790856564265503,0.08560392717343672,3.6561285013231655,0.8733076,1.7760869,-3.6505578,0.3150167207546577,5.4571272772873085,0.2599287249568895,0.17796795300644347,0.0849959910550535,0.010183999807753578
1,0.033333335,approach,unknown_no_ground_truth,0.5178057341424586,-0.10953167716146911,0.3818081904015138,0.08442627787497911,3.6561285013231655,0.8733076,3.1154351,2.3814356,0.3175355274011163,5.446964255893591,0.2627619248064875,0.1782834317425343,0.08389850051643544,0.009425391605491548
2,0.06666667,approach,unknown_no_ground_truth,0.5180909627651084,-0.11022612832163324,0.38448127492775946,0.08221254451658769,8.26121190906335,0.8733076,2.8905392,1.3685765,0.31999160788342856,5.419812166997586,0.26552195868026013,0.17858532575332198,0.08170330291892133,0.009136343252685615
3,0.1,approach,unknown_no_ground_truth,0.5182398244788474,-0.11087184494770531,0.3871049100052872,0.08020117163834439,8.26121190906335,0.8733076,2.5660224,-0.092942566,0.3223844889017384,5.400373980206402,0.2682088265782072,0.17887365381736975,0.07950855374839687,0.010517500320963352
4,0.13333334,approach,unknown_no_ground_truth,0.5182523192836752,-0.11146882703968518,0.3896790956340964,0.087206326192138,8.26121190906335,0.8733076,2.047581,-2.427836,0.3247138907297175,5.4011056590392394,0.27082252850032823,0.17914873398804648,0.08597776078175354,0.014586568441039805
5,0.16666667,approach,unknown_no_ground_truth,0.518084955552293,-0.11208917701868344,0.3927876804967224,0.08731551234404904,8.26121190906335,0.8733076,2.484041,-0.4621605,0.32746872109866865,5.415465702415387,0.2739406786556094,0.17942203843369356,0.08530158804085057,0.018645046892212382
6,0.2,approach,unknown_no_ground_truth,0.517779306588918,-0.11258075756870879,0.3953733302742992,0.06874772660961685,7.790960330518745,0.8733076,2.342619,-1.0990798,0.32975129966768785,5.429927567033221,0.27650930103638494,0.17966225555997875,0.06614675787716068,0.01873115950310878
7,0.23333333,approach,unknown_no_ground_truth,0.5174347197919512,-0.11297985570728865,0.39723621285053634,0.04812864158619001,6.570067492556348,0.8733076,1.9675562,-2.7882416,0.3314294795486829,5.451325549219972,0.2783504625140868,0.17990697577388381,0.04540641743214331,0.01595692316550689
8,0.26666668,approach,unknown_no_ground_truth,0.5171477029685596,-0.11330584743708436,0.39843442101056503,0.028727409737340972,3.756091319763628,0.8733076,2.2734592,-1.4105531,0.3325558823667656,5.466910869486603,0.2795363939393212,0.18014666069660754,0.026297704022717437,0.011562648197996166
9,0.3,approach,unknown_no_ground_truth,0.5169531565664641,-0.11353856517812377,0.3990036368217263,0.012730938967038837,1.6289930106123691,0.8733076,2.3310575,-1.1511487,0.3331423465255602,5.466071233381652,0.28010364527501874,0.18034902537081507,0.01038901639190215,0.00735833849393029
10,0.33333334,approach,unknown_no_ground_truth,0.5168418129261105,-0.11369761499130593,0.3991223823683143,0.004560528258452606,0.8226339092128301,0.8733076,2.1251123,-2.0786598,0.33333699040176007,5.462822106407958,0.28022899503211474,0.18051387623502557,-0.0008462916893737302,0.004481317704943683
11,0.36666667,approach,unknown_no_ground_truth,0.5167849981661242,-0.11378153605627271,0.3989320454948574,0.006820123090528826,0.8030445186832622,0.8733076,2.0142405,-2.5779908,0.333246904441892,5.457729964340092,0.28004722582906044,0.18062959509878418,-0.006223670350747527,0.0027892662718339793
12,0.4,approach,unknown_no_ground_truth,0.5167315118028738,-0.11381312300802077,0.39869668200402764,0.006555627549724549,0.6497515655296494,0.8733076,1.7469901,-3.7816005,0.333088692472522,5.452388590700912,0.27981408367539823,0.1806990747899711,-0.00628278270436976,0.0018716020037336195
13,0.43333334,approach,unknown_no_ground_truth,0.516676576108227,-0.11383226368450633,0.3985117159431054,0.004671102538578661,0.5423092519971683,0.8733076,1.6518713,-4.209985,0.33296089235110354,5.446197093699952,0.2796283736487692,0.18075101240598213,-0.004408462657751797,0.0015442331174806386
14,0.46666667,approach,unknown_no_ground_truth,0.5166314826505979,-0.11385217986415956,0.3984043757465988,0.0026349284135583147,0.2938327835796932,0.8733076,1.5222571,-4.7937255,0.33289262111128287,5.4426617962443995,0.27952018616488145,0.1807925958569381,-0.002235589148386342,0.001394628590053341
15,0.5,approach,unknown_no_ground_truth,0.5165992029109576,-0.113882965924593,0.39836238486033454,0.001366610420088023,0.2190157212231647,0.873315,1.5846604,-4.512681,0.3328810071507603,5.44246972086557,0.27947933437221006,0.18083436227822122,-0.000731230259963438,0.0011545242947668818
16,0.53333336,approach,unknown_no_ground_truth,0.5165781519754151,-0.11390592828781113,0.39835364653877936,0.0008255374650399858,0.2190157212231647,0.873315,1.5872886,-4.5008445,0.33288949895216224,5.44246972086557,0.2794714035999327,0.18086224891476146,-0.00012049942925757306,0.0008166957779572789
