episode,nominal_episode,radius_mm,method,segment,axis_rmse_deg,position_rmse_mm
12,45,20.0,Event ramp,Apex to end,2.7934230757052525,18.123055369130284
12,45,20.0,Event ramp,Near to end,2.6254197991426382,14.437958677949362
12,45,20.0,Frozen law,Whole,3.2256590540563956,21.401212366551693
12,45,20.0,Frozen law,Apex to end,2.707382246750842,19.456078942075877
12,45,20.0,Frozen law,Near to end,2.5898597653942836,14.460566173125711
13,40,20.0,No adaptation,Whole,9.16646226479572,20.79202376001431
13,40,20.0,No adaptation,Apex to end,10.241727173258589,21.384001013775336
13,40,20.0,No adaptation,Near to end,9.397936996017865,12.870933741382482
13,40,20.0,Identity,Whole,8.07643031972168,25.082307206225117
13,40,20.0,Identity,Apex to end,5.451512264894555,13.620742524355457
13,40,20.0,Identity,Near to end,0.9724662733925111,6.645271381205895
13,40,20.0,Event ramp,Whole,5.859154043541192,17.84173976499797
13,40,20.0,Event ramp,Apex to end,5.28556098130622,14.363417872409693
13,40,20.0,Event ramp,Near to end,0.9724662733925111,6.645271381205895
13,40,20.0,Frozen law,Whole,5.879417260079462,16.655216069283266
13,40,20.0,Frozen law,Apex to end,5.563549664169247,15.02246138319757
13,40,20.0,Frozen law,Near to end,1.0457010820202155,6.675168418786305
14,6,20.0,No adaptation,Whole,8.592140467834962,33.66843322162161
14,6,20.0,No adaptation,Apex to end,9.844877960883604,23.680347399572263
14,6,20.0,No adaptation,Near to end,9.145941664440809,17.351126363464996
14,6,20.0,Identity,Whole,6.4254485701695865,29.922576496840406
14,6,20.0,Identity,Apex to end,3.344568979705188,20.162815870603612
14,6,20.0,Identity,Near to end,2.1561948373947364,9.462306015790013
14,6,20.0,Event ramp,Whole,4.550314738618952,29.35044610882186
14,6,20.0,Event ramp,Apex to end,3.9399547984394236,19.788540352215783
14,6,20.0,Event ramp,Near to end,2.1561948373947364,9.462306015790013
14,6,20.0,Frozen law,Whole,4.542278489957934,32.82786788337132
14,6,20.0,Frozen law,Apex to end,4.170860316546394,21.844766640862996
14,6,20.0,Frozen law,Near to end,2.2249581359854314,9.444567083817152
16,33,20.0,No adaptation,Whole,11.40239802499197,36.59708893305194
16,33,20.0,No adaptation,Apex to end,12.889559269798376,25.522248992350114
16,33,20.0,No adaptation,Near to end,11.627578552313894,15.337488190562164
16,33,20.0,Identity,Whole,6.957683239647928,43.688146027777975
16,33,20.0,Identity,Apex to end,6.389430001863162,17.993253581132137
16,33,20.0,Identity,Near to end,5.916805071291167,5.507902221576101
16,33,20.0,Event ramp,Whole,6.730903533451438,36.30225128858488
16,33,20.0,Event ramp,Apex to end,7.133011209929883,18.591308908916105
16,33,20.0,Event ramp,Near to end,5.916805071291167,5.507902221576101
16,33,20.0,Frozen law,Whole,7.229876813994076,33.05750544451565
16,33,20.0,Frozen law,Apex to end,7.064719691970449,16.816163393889802
16,33,20.0,Frozen law,Near to end,5.912840597545043,5.459134298776006
17,40,20.0,No adaptation,Whole,9.006471960288597,29.255372860238314
17,40,20.0,No adaptation,Apex to end,9.414837716471485,26.851570633311354
17,40,20.0,No adaptation,Near to end,9.977279542354143,13.26381924037856
17,40,20.0,Identity,Whole,6.270456358567028,33.001736071631974
17,40,20.0,Identity,Apex to end,4.5061283744412055,20.75674662313754
17,40,20.0,Identity,Near to end,0.6836899411312942,9.536486553087295
17,40,20.0,Event ramp,Whole,5.046787489058494,27.650277625133473
17,40,20.0,Event ramp,Apex to end,3.8351634346237837,21.781530128963627
17,40,20.0,Event ramp,Near to end,0.6836899411312942,9.536486553087295
17,40,20.0,Frozen law,Whole,6.105256059318014,26.394909905300235
17,40,20.0,Frozen law,Apex to end,4.80547940459995,21.97763714413514
17,40,20.0,Frozen law,Near to end,0.6740479184059328,9.577886110801744
18,21,20.0,No adaptation,Whole,10.009537640964899,27.42482996709519
18,21,20.0,No adaptation,Apex to end,11.556169376405256,31.60359222702433
18,21,20.0,No adaptation,Near to end,11.000214058716757,18.33239269154524
18,21,20.0,Identity,Whole,5.942893253009299,27.13134970040576
18,21,20.0,Identity,Apex to end,4.585060204296638,20.20777496421477
18,21,20.0,Identity,Near to end,3.2523083912969826,10.07921109552046
18,21,20.0,Event ramp,Whole,4.7673224748148915,21.81218612111361
18,21,20.0,Event ramp,Apex to end,5.011858395449953,23.129801207065235
18,21,20.0,Event ramp,Near to end,3.2523083912969826,10.07921109552046
18,21,20.0,Frozen law,Whole,5.197543749552579,21.203744928667405
18,21,20.0,Frozen law,Apex to end,4.913525805435193,23.377359307739205
18,21,20.0,Frozen law,Near to end,3.2260243097539534,10.021844948811149
19,40,20.0,No adaptation,Whole,7.605266202500434,24.75361038940054
19,40,20.0,No adaptation,Apex to end,8.158683607777009,22.12464356143055
19,40,20.0,No adaptation,Near to end,8.114530804384767,14.489328488177303
19,40,20.0,Identity,Whole,7.089025154291357,32.811892618270015
19,40,20.0,Identity,Apex to end,5.520094620910435,23.74599895479144
19,40,20.0,Identity,Near to end,3.2276769000579444,13.410595785645251
19,40,20.0,Event ramp,Whole,5.252194548509032,26.493114084845327
19,40,20.0,Event ramp,Apex to end,4.920887718607102,22.282870685518528
19,40,20.0,Event ramp,Near to end,3.2276769000579444,13.410595785645251
19,40,20.0,Frozen law,Whole,6.0353052423373725,25.09723602859004
19,40,20.0,Frozen law,Apex to end,5.877702520057623,22.696036967795568
19,40,20.0,Frozen law,Near to end,3.3085665148250616,13.474780101407035
21,0,20.0,No adaptation,Whole,11.465070409953281,33.40960961038987
21,0,20.0,No adaptation,Apex to end,12.542749041148888,28.08256224287617
21,0,20.0,No adaptation,Near to end,12.044916557406863,22.657833550330857
21,0,20.0,Identity,Whole,5.013492124975912,39.82345348393288
21,0,20.0,Identity,Apex to end,3.6134137050289548,20.41058016608399
21,0,20.0,Identity,Near to end,2.8764515918638973,14.23533413891792
21,0,20.0,Event ramp,Whole,5.494931949452941,32.10705753987608
21,0,20.0,Event ramp,Apex to end,4.945167315404076,20.631355861517278
21,0,20.0,Event ramp,Near to end,2.8764515918638973,14.23533413891792
21,0,20.0,Frozen law,Whole,6.704767259720878,29.172350740118844
21,0,20.0,Frozen law,Apex to end,5.292243197500969,19.80351242870242
21,0,20.0,Frozen law,Near to end,2.8016898852594494,14.169399059935397
22,0,20.0,No adaptation,Whole,11.85314773119161,24.02825627175184
22,0,20.0,No adaptation,Apex to end,13.458493521748762,28.715909238753667
22,0,20.0,No adaptation,Near to end,12.90264401010945,19.307820839147222
22,0,20.0,Identity,Whole,6.197274162921556,24.800618574794953
22,0,20.0,Identity,Apex to end,4.560555327379,19.324504883624247
22,0,20.0,Identity,Near to end,3.1872404561215917,11.704700539479877
22,0,20.0,Event ramp,Whole,5.755741602940261,18.89704400273656
22,0,20.0,Event ramp,Apex to end,5.675727086863356,20.75517903270627
22,0,20.0,Event ramp,Near to end,3.1872404561215917,11.704700539479877
22,0,20.0,Frozen law,Whole,6.37502277952449,17.245976246552086
22,0,20.0,Frozen law,Apex to end,5.642791147156139,20.15165373328948
22,0,20.0,Frozen law,Near to end,3.077743173672769,11.659353861147032
23,40,20.0,No adaptation,Whole,7.93649853492388,52.16903300745411
23,40,20.0,No adaptation,Apex to end,8.071833479630898,30.698718395997197
23,40,20.0,No adaptation,Near to end,8.361976159545911,10.865569710081143
23,40,20.0,Identity,Whole,5.67267194141425,59.299479092267106
23,40,20.0,Identity,Apex to end,3.744483010516801,33.01662858425445
23,40,20.0,Identity,Near to end,1.7722490145331704,7.132322500974919
23,40,20.0,Event ramp,Whole,4.4428456351246135,54.06102520423805
23,40,20.0,Event ramp,Apex to end,3.1027558397993364,31.128005098667913
23,40,20.0,Event ramp,Near to end,1.7722490145331704,7.132322500974919
23,40,20.0,Frozen law,Whole,5.627273208993181,52.07390195462982
23,40,20.0,Frozen law,Apex to end,4.28098660653235,30.456284962239113
23,40,20.0,Frozen law,Near to end,1.8677902685258496,7.205454989770511
24,0,20.0,No adaptation,Whole,12.036665982916189,25.232152892086997
24,0,20.0,No adaptation,Apex to end,13.881049823100215,23.566126861576187
24,0,20.0,No adaptation,Near to end,14.686893556687805,16.701125261300778
24,0,20.0,Identity,Whole,5.389318263206899,33.639243027412
24,0,20.0,Identity,Apex to end,4.81866310034615,16.659589822010393
24,0,20.0,Identity,Near to end,4.712124863188571,8.764511741669276
24,0,20.0,Event ramp,Whole,5.302186018779756,24.586828887847307
24,0,20.0,Event ramp,Apex to end,5.514832563361134,16.71628916667109
24,0,20.0,Event ramp,Near to end,4.712124863188571,8.764511741669276
24,0,20.0,Frozen law,Whole,5.951739537422808,20.775251985766424
24,0,20.0,Frozen law,Apex to end,5.388713148815559,15.77345142066071
24,0,20.0,Frozen law,Near to end,4.604749187132202,8.732138185198641
26,15,20.0,No adaptation,Whole,13.513646110851477,28.998974685662734
26,15,20.0,No adaptation,Apex to end,15.958491936254777,30.362688501583637
26,15,20.0,No adaptation,Near to end,16.264049770522025,19.534970629472063
26,15,20.0,Identity,Whole,6.4391476414959,33.568642006749606
26,15,20.0,Identity,Apex to end,6.462960475929806,18.674188994653317
26,15,20.0,Identity,Near to end,6.383884819856171,7.730006659026015
26,15,20.0,Event ramp,Whole,6.524553305598612,25.075725696497624
26,15,20.0,Event ramp,Apex to end,7.434461832847527,20.321473003769547
26,15,20.0,Event ramp,Near to end,6.383884819856171,7.730006659026015
26,15,20.0,Frozen law,Whole,6.58481222037712,21.92474270112344
26,15,20.0,Frozen law,Apex to end,6.817224246288941,19.57822679820785
26,15,20.0,Frozen law,Near to end,6.271024760118408,7.658947983312522
27,21,20.0,No adaptation,Whole,11.42695320987388,48.579309429415254
27,21,20.0,No adaptation,Apex to end,13.711880165646637,53.772574090286646
27,21,20.0,No adaptation,Near to end,14.256951487761098,20.549299238794177
27,21,20.0,Identity,Whole,6.2673108102278094,41.9023969171847
27,21,20.0,Identity,Apex to end,4.802459074415839,43.36699774316323
27,21,20.0,Identity,Near to end,4.387271216028501,10.60907110636857
27,21,20.0,Event ramp,Whole,4.813375498989769,42.025661758217026
27,21,20.0,Event ramp,Apex to end,5.257048687406845,46.39214465516444
27,21,20.0,Event ramp,Near to end,4.387271216028501,10.60907110636857
27,21,20.0,Frozen law,Whole,4.302984162126267,43.48008544541313
27,21,20.0,Frozen law,Apex to end,4.525596940277395,46.79387172523015
27,21,20.0,Frozen law,Near to end,4.282261906947435,10.512994822554376
28,33,20.0,No adaptation,Whole,10.667669286216004,47.543225289642706
28,33,20.0,No adaptation,Apex to end,11.83011508429199,28.274596523693486
28,33,20.0,No adaptation,Near to end,11.016282676764842,19.435685657164637
28,33,20.0,Identity,Whole,5.430921926571542,53.5351656760622
28,33,20.0,Identity,Apex to end,3.758509497002622,21.31509740262964
28,33,20.0,Identity,Near to end,2.9064734115827577,9.676655976623374
28,33,20.0,Event ramp,Whole,5.136166970128512,47.376182983521296
28,33,20.0,Event ramp,Apex to end,4.777101814368542,21.25664608337957
28,33,20.0,Event ramp,Near to end,2.9064734115827577,9.676655976623374
28,33,20.0,Frozen law,Whole,6.006567642448449,44.3213188560502
28,33,20.0,Frozen law,Apex to end,4.874003200447259,18.893109915510042
28,33,20.0,Frozen law,Near to end,2.8727963775590664,9.602316169758495
29,10,20.0,No adaptation,Whole,8.136039923256819,61.01483829242172
29,10,20.0,No adaptation,Apex to end,9.456893980801343,50.35113244147808
29,10,20.0,No adaptation,Near to end,10.257082992540537,25.281506105951962
29,10,20.0,Identity,Whole,8.529816556933126,55.45684644735757
29,10,20.0,Identity,Apex to end,6.495145218195251,46.990490059281974
29,10,20.0,Identity,Near to end,5.866652138650092,23.372672533376026
29,10,20.0,Event ramp,Whole,5.987696680617923,57.865164945122096
29,10,20.0,Event ramp,Apex to end,6.006784213314347,47.99905534488822
29,10,20.0,Event ramp,Near to end,5.866652138650092,23.372672533376026
29,10,20.0,Frozen law,Whole,5.810961655712693,60.31513837539732
29,10,20.0,Frozen law,Apex to end,6.399341557718987,49.07458554486244
29,10,20.0,Frozen law,Near to end,5.894628287600123,23.38137197048586
31,0,20.0,No adaptation,Whole,13.56299534347682,39.23916824839661
31,0,20.0,No adaptation,Apex to end,15.672893167360117,27.689860493854457
31,0,20.0,No adaptation,Near to end,15.980248760058464,24.24904293406273
31,0,20.0,Identity,Whole,6.257969315508676,47.119301253445684
31,0,20.0,Identity,Apex to end,5.876946914842523,22.18451195946071
31,0,20.0,Identity,Near to end,5.998329196413251,15.323687199936055
31,0,20.0,Event ramp,Whole,6.57191792980186,39.18137049549537
31,0,20.0,Event ramp,Apex to end,7.102480958052263,21.135074062155972
31,0,20.0,Event ramp,Near to end,5.998329196413251,15.323687199936055
31,0,20.0,Frozen law,Whole,7.243281781540792,35.712146576926
31,0,20.0,Frozen law,Apex to end,7.003995418463401,19.274457043184967
31,0,20.0,Frozen law,Near to end,5.890338165005715,15.245242385360363
32,6,20.0,No adaptation,Whole,9.115867329594519,29.39537753668733
32,6,20.0,No adaptation,Apex to end,10.588078280667874,27.619049772162843
32,6,20.0,No adaptation,Near to end,10.660486695817813,27.02924390945287
32,6,20.0,Identity,Whole,6.2324897436534075,26.001088806199597
32,6,20.0,Identity,Apex to end,2.4921133834587295,22.093071121494518
32,6,20.0,Identity,Near to end,1.5307242513324892,17.562548508094906
32,6,20.0,Event ramp,Whole,4.2113668600938,23.577433138167578
32,6,20.0,Event ramp,Apex to end,3.292916892552629,21.201206231389325
32,6,20.0,Event ramp,Near to end,1.5307242513324892,17.562548508094906
32,6,20.0,Frozen law,Whole,3.938506714137798,25.715270651519027
32,6,20.0,Frozen law,Apex to end,3.325836546861099,21.438197724619645
32,6,20.0,Frozen law,Near to end,1.5219553254354263,17.48141607237885
33,21,20.0,No adaptation,Whole,10.38888399288368,30.593424898829177
33,21,20.0,No adaptation,Apex to end,12.443954378726085,35.079136646317885
33,21,20.0,No adaptation,Near to end,12.289969104283765,22.078957976068747
33,21,20.0,Identity,Whole,5.782761497591828,32.54685254030949
33,21,20.0,Identity,Apex to end,4.017760716885045,24.62110518631671
33,21,20.0,Identity,Near to end,3.227059396778033,13.696749245921493
33,21,20.0,Event ramp,Whole,4.182080049987722,25.92146049588299
33,21,20.0,Event ramp,Apex to end,4.7800791619902885,26.85889375997725
33,21,20.0,Event ramp,Near to end,3.227059396778033,13.696749245921493
33,21,20.0,Frozen law,Whole,4.191452643147002,24.381649418421908
33,21,20.0,Frozen law,Apex to end,4.44503964223595,26.832762778796102
33,21,20.0,Frozen law,Near to end,3.1574684644212496,13.62707763962782
34,48,20.0,No adaptation,Whole,11.361908759554078,25.99177440539376
34,48,20.0,No adaptation,Apex to end,13.173377942716584,15.771806526861392
34,48,20.0,No adaptation,Near to end,13.808926237088556,12.179326318924563
34,48,20.0,Identity,Whole,8.511688919487685,30.58970285810417
34,48,20.0,Identity,Apex to end,5.790376190570641,16.23974615182428
34,48,20.0,Identity,Near to end,6.033645294500682,8.186109864139022
34,48,20.0,Event ramp,Whole,6.387350609603815,25.944157004664234
34,48,20.0,Event ramp,Apex to end,6.2312755166596565,14.031471606404692
34,48,20.0,Event ramp,Near to end,6.033645294500682,8.186109864139022
34,48,20.0,Frozen law,Whole,6.151436927825859,24.947467793183392
34,48,20.0,Frozen law,Apex to end,6.0918339893157265,13.008418328525847
34,48,20.0,Frozen law,Near to end,5.9882995848129195,8.251335461072648
36,0,20.0,No adaptation,Whole,13.812375910752582,28.667199597626837
36,0,20.0,No adaptation,Apex to end,16.154126290359528,20.047001604972092
36,0,20.0,No adaptation,Near to end,16.17542637550817,14.85559082287236
36,0,20.0,Identity,Whole,6.444854242906236,39.36548814831644
36,0,20.0,Identity,Apex to end,6.278374112463473,20.479654139443227
36,0,20.0,Identity,Near to end,6.216987513400241,9.687756982482314
36,0,20.0,Event ramp,Whole,6.816767210130679,30.632063334567526
36,0,20.0,Event ramp,Apex to end,7.631902452889675,18.21539684729838
36,0,20.0,Event ramp,Near to end,6.216987513400241,9.687756982482314
36,0,20.0,Frozen law,Whole,7.323994928462683,27.41786602179105
36,0,20.0,Frozen law,Apex to end,7.4781997369892474,17.23733494469329
36,0,20.0,Frozen law,Near to end,6.106950115216113,9.689134687758038
37,40,20.0,No adaptation,Whole,9.954466180493393,21.303959551250017
37,40,20.0,No adaptation,Apex to end,11.517947419826164,21.497999411180395
37,40,20.0,No adaptation,Near to end,12.3134487615633,16.329146643093306
37,40,20.0,Identity,Whole,5.808577054262035,26.555498176361354
37,40,20.0,Identity,Apex to end,3.088936345896151,19.90753517743401
37,40,20.0,Identity,Near to end,2.719899528461169,7.8061363114816675
37,40,20.0,Event ramp,Whole,4.143130129588934,19.525369834593704
37,40,20.0,Event ramp,Apex to end,3.626320095463513,18.04104727372607
37,40,20.0,Event ramp,Near to end,2.719899528461169,7.8061363114816675
37,40,20.0,Frozen law,Whole,4.688350600324757,19.262665359025014
37,40,20.0,Frozen law,Apex to end,4.168776900800818,18.39459968562655
37,40,20.0,Frozen law,Near to end,2.6275529626422545,7.75588238113382
38,40,20.0,No adaptation,Whole,6.580858873921793,27.486731617286118
38,40,20.0,No adaptation,Apex to end,7.4410864785207185,30.31441423040017
38,40,20.0,No adaptation,Near to end,8.8163817630508,16.65763523630072
38,40,20.0,Identity,Whole,7.6781232768961685,31.50022977068991
38,40,20.0,Identity,Apex to end,4.8626167630266455,27.633918628448054
38,40,20.0,Identity,Near to end,4.481965300247927,12.591895233508572
38,40,20.0,Event ramp,Whole,4.414076283708919,26.280363118225935
38,40,20.0,Event ramp,Apex to end,3.7586976852042207,26.80240458665325
38,40,20.0,Event ramp,Near to end,4.481965300247927,12.591895233508572
38,40,20.0,Frozen law,Whole,4.485807536788054,24.256561256695672
38,40,20.0,Frozen law,Apex to end,4.550460963045429,25.866612798080347
38,40,20.0,Frozen law,Near to end,4.529669368453993,12.597209189122804
39,40,20.0,No adaptation,Whole,6.814818587580658,27.958289918144438
39,40,20.0,No adaptation,Apex to end,7.265020265078801,21.162347186201576
39,40,20.0,No adaptation,Near to end,8.14629590059208,8.873754541064939
39,40,20.0,Identity,Whole,6.640629153091318,37.064851601570936
39,40,20.0,Identity,Apex to end,4.002970092015051,24.931185262962824
39,40,20.0,Identity,Near to end,3.7169776268461896,10.435486249280505
39,40,20.0,Event ramp,Whole,4.135212515098121,30.57717595050018
39,40,20.0,Event ramp,Apex to end,3.067485726750874,22.590067873662022
39,40,20.0,Event ramp,Near to end,3.7169776268461896,10.435486249280505
39,40,20.0,Frozen law,Whole,4.7125150539927985,28.509135736063406
39,40,20.0,Frozen law,Apex to end,4.068114815396543,22.233943014054297
39,40,20.0,Frozen law,Near to end,3.7863993933783684,10.526733387873154
41,40,20.0,No adaptation,Whole,6.590154536142178,23.42266173361899
41,40,20.0,No adaptation,Apex to end,7.590930875024432,24.047285902825532
41,40,20.0,No adaptation,Near to end,7.955240472364238,10.966993181662508
41,40,20.0,Identity,Whole,6.744014776199365,34.30693083085599
41,40,20.0,Identity,Apex to end,4.76158718989145,30.06688980920673
41,40,20.0,Identity,Near to end,2.25498766990488,12.698671746657507
41,40,20.0,Event ramp,Whole,3.8891991411623184,27.33075796001351
41,40,20.0,Event ramp,Apex to end,3.8439207124459718,27.2617538124048
41,40,20.0,Event ramp,Near to end,2.25498766990488,12.698671746657507
41,40,20.0,Frozen law,Whole,4.53269664275486,25.42610299832385
41,40,20.0,Frozen law,Apex to end,4.838215135346205,26.918133710590542
41,40,20.0,Frozen law,Near to end,2.356171930007179,12.78553898086891
42,40,20.0,No adaptation,Whole,9.04770905140992,36.090304921839845
42,40,20.0,No adaptation,Apex to end,10.318625357425152,29.194638099631476
42,40,20.0,No adaptation,Near to end,9.95047753073428,14.68541607936022
42,40,20.0,Identity,Whole,6.42880924465044,42.84795461781394
42,40,20.0,Identity,Apex to end,3.493376479392996,31.61787441855676
