episode,method,progress,axis_error_deg,position_error_mm
1,No adaptation,0.0,4.21476421882159,10.43696864557398
1,No adaptation,0.02,4.207362629265849,10.406454009295153
1,No adaptation,0.04,4.2045090605126525,10.410741718334023
1,No adaptation,0.06,4.203745982255688,10.440435495098818
1,No adaptation,0.08,4.2036545172198565,10.45549236022425
1,No adaptation,0.1,4.202840214043724,10.458095657994562
1,No adaptation,0.12,4.192270587448081,10.454562145952812
1,No adaptation,0.14,4.156346077269543,10.44917954449434
1,No adaptation,0.16,4.120476809922698,10.448009480121206
1,No adaptation,0.18,4.0995234176550435,10.446783921939636
1,No adaptation,0.2,4.088216401607858,10.446925451995803
1,No adaptation,0.22,4.082284905598186,10.443369805193907
1,No adaptation,0.24,4.069560645883601,10.432835513289893
1,No adaptation,0.26,4.053034901397332,10.423667052136413
1,No adaptation,0.28,4.030874023571069,10.405193048136915
1,No adaptation,0.3,3.9930277487969725,10.379284508466096
1,No adaptation,0.32,3.8977678303622914,10.302236953113066
1,No adaptation,0.34,3.67815054305898,10.156313424512764
1,No adaptation,0.36,3.2849298070454798,9.876370085886876
1,No adaptation,0.38,2.865452591576384,9.46985664814634
1,No adaptation,0.4,2.353280113567182,9.280882989598025
1,No adaptation,0.42,1.7857891258658056,9.583913969156859
1,No adaptation,0.44,1.3168098096101903,10.359028425455254
1,No adaptation,0.46,1.0621431818291378,11.424859588826779
1,No adaptation,0.48,1.1540669186278192,12.413895720475624
1,No adaptation,0.5,1.4300398561853158,13.025295526898788
1,No adaptation,0.52,1.9420043077362936,13.11534905169193
1,No adaptation,0.54,2.5837829599777153,13.53967881979271
1,No adaptation,0.56,3.596933521781356,15.309847356697503
1,No adaptation,0.58,4.325187449984816,17.22954025861646
1,No adaptation,0.6,4.7334823755583955,18.920249915562344
1,No adaptation,0.62,5.289882015693974,20.632292891687598
1,No adaptation,0.64,5.9216341854638275,21.98094503631198
1,No adaptation,0.66,6.2512602306187635,22.80937321159153
1,No adaptation,0.68,6.455870842051983,24.062728328729555
1,No adaptation,0.7000000000000001,6.6729975686808425,25.373263961463252
1,No adaptation,0.72,6.981856507778608,26.621589265908167
1,No adaptation,0.74,7.3869177847119385,27.783066209582888
1,No adaptation,0.76,7.79718556241552,29.386751951804253
1,No adaptation,0.78,8.07153445085429,29.70935981953376
1,No adaptation,0.8,8.44964830848172,30.588819486909234
1,No adaptation,0.8200000000000001,8.945357654863889,31.984230599745505
1,No adaptation,0.84,9.435155736945514,34.34148827136228
1,No adaptation,0.86,9.687884433774027,36.53986869400188
1,No adaptation,0.88,9.949001599077814,38.99859501455157
1,No adaptation,0.9,10.254581815189269,39.391825501983774
1,No adaptation,0.92,10.518872676209785,38.85167884299171
1,No adaptation,0.9400000000000001,10.808262504171958,38.218249207962856
1,No adaptation,0.96,11.064704918680278,38.911883398354796
1,No adaptation,0.98,11.337128723800289,40.64185658220016
1,No adaptation,1.0,11.682231232289027,41.62905589702227
1,No adaptation,1.02,12.200595583864807,41.535794007393136
1,No adaptation,1.04,12.519052271000419,42.49675757592935
1,No adaptation,1.06,12.855515257751424,44.8457038684885
1,No adaptation,1.08,13.203871753100591,47.29855693694886
1,No adaptation,1.1,13.588826531816256,48.365077408844
1,No adaptation,1.12,13.550782350202857,49.48095527243768
1,No adaptation,1.1400000000000001,13.175553677157493,51.55535080498054
1,No adaptation,1.16,12.626874075585075,54.03848997706094
1,No adaptation,1.18,12.3753135827688,54.87929331389695
1,No adaptation,1.2,12.484696195741702,56.468554727663935
1,No adaptation,1.22,12.903941980403019,58.23081449412293
1,No adaptation,1.24,13.216045491054981,60.46215154676139
1,No adaptation,1.26,13.375356436072568,62.67955328712359
1,No adaptation,1.28,13.56264766144127,62.49540450593973
1,No adaptation,1.3,13.723850254626084,61.47760849671475
1,No adaptation,1.32,13.836603797961638,62.0180332682528
1,No adaptation,1.34,13.940600194457366,61.66577812680117
1,No adaptation,1.36,14.224118142056751,59.98816113511014
1,No adaptation,1.3800000000000001,14.539323102508922,58.650689151386814
1,No adaptation,1.4000000000000001,14.703131726571007,58.08103017492829
1,No adaptation,1.42,14.811512310361227,58.933985355520974
1,No adaptation,1.44,14.838751738613999,60.02779341424014
1,No adaptation,1.46,14.686851220664572,61.49008046466316
1,No adaptation,1.48,14.246439191686594,64.5782117009467
1,No adaptation,1.5,13.923460355064284,67.63665910708218
