task,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,e_alpha,m_multi_correct,du_switch_detected,du_switch_location,yaw_switch_detected,yaw_switch_location,alpha_pre_du,alpha_pre_dv,alpha_pre_dw,alpha_pre_roll,alpha_pre_pitch,alpha_pre_yaw,delta_du,delta_dv,delta_dw,delta_roll,delta_pitch,delta_yaw
multigen,20260818,0,random,8,0,Frame-weighted (SE(3)),True,,0.048784477010485716,0.34356491799616423,False,True,0.5955694564491198,True,0.5955694564491198,0.4642355311986411,0.4642355311986411,0.4642355311986411,0.4642355311986411,0.4642355311986411,0.4642355311986411,0.12998850169592896,0.12998850169592896,0.12998850169592896,0.12998850169592896,0.12998850169592896,0.12998850169592896
multigen,20260818,0,random,8,0,Full operator (SE(3)),True,,0.02895910899678711,0.1218623706327459,True,True,0.6747499421825076,True,0.5768916161326373,0.8281694836630358,0.7587537042868793,1.2163071776139358,0.7811776141590516,0.8158887019941383,0.8185272679219292,0.4491082094418435,-0.2390114062856583,-0.008518368846008872,-0.2212898058782382,-0.1821464318176662,0.6577811718748479
multigen,20260818,0,random,8,0,Pdiag pointwise (SE(3)),True,,0.16764777699427214,0.25913460074625244,True,False,,True,0.5742369378625397,0.08775944515728666,0.04795682855424859,0.8118217184775842,0.8078478806946177,0.8307240938819731,0.8205282663261501,0.26771599447618655,-0.3293529226394614,-0.05804480555594427,-0.1912939769744385,-0.17106480267607793,0.6662961682328774
multigen,20260818,0,random,8,0,Pdiag finite (SE(3)),True,,50.162088968994794,0.1345459223550346,True,True,0.6852688801867335,True,0.5777614006713454,0.830002496946692,0.5912103993386828,0.839857208788398,0.6581718850814886,0.8321138075953338,0.7056836004527988,0.4171223136704029,-0.24915295505213297,-0.06341878454382244,-0.1303361765738248,-0.17988201562633988,0.4704629550355257
multigen,20260818,5,qualified,8,2,Frame-weighted (SE(3)),True,,0.013570638999226503,0.21835987040250443,False,False,,False,,0.9500023650842923,0.9500023650842923,0.9500023650842923,0.9500023650842923,0.9500023650842923,0.9500023650842923,0.2165809251427051,0.2165809251427051,0.2165809251427051,0.2165809251427051,0.2165809251427051,0.2165809251427051
multigen,20260818,5,qualified,8,2,Full operator (SE(3)),True,,0.02224610598932486,1.9563264605036124,True,True,0.7062311081430713,True,0.5755137286694888,0.8413602330769726,-1.3067491734030703,0.8035036244125249,0.8128440490466471,0.8387089655542964,0.8012532360616248,0.42706603129555165,-2.3538470293884624,-0.08553372901780443,-0.19530856502957228,-0.12979200515023215,0.6378635363689208
multigen,20260818,5,qualified,8,2,Pdiag pointwise (SE(3)),True,,0.03754891200514976,0.20214235551442206,True,True,0.7286712782239972,True,0.5721428317982021,1.3315028445760222,0.6646064033257341,0.8306172202096667,0.8031366657140443,0.8207176410486161,0.8188383030209242,0.4768072454115312,-0.32164970237602086,-0.18615085930513753,-0.20358826221523307,-0.17894400079017903,0.6655417760253429
multigen,20260818,5,qualified,8,2,Pdiag finite (SE(3)),True,,95.7343210500112,0.13809365026514275,True,True,0.6960865320893375,True,0.5759930737214939,0.7767224655390548,0.694978873193455,0.8549637139083991,0.827989338055405,0.8287267165691694,0.7903542239790555,0.3547851173449808,-0.20320949479930472,-0.11898717670341552,-0.2343013403581552,-0.15154013783053522,0.5800650638631903
multigen,20260818,4,qualified,8,1,Frame-weighted (SE(3)),True,,0.08786831000179518,0.2044063019495195,False,False,,False,,0.7980404229001162,0.7980404229001162,0.7980404229001162,0.7980404229001162,0.7980404229001162,0.7980404229001162,0.1645104892942877,0.1645104892942877,0.1645104892942877,0.1645104892942877,0.1645104892942877,0.1645104892942877
multigen,20260818,4,qualified,8,1,Full operator (SE(3)),True,,0.026524132990743965,0.11740312792232412,True,True,0.6843438736406765,True,0.5738453595669178,0.7934191642182342,0.8097420292749262,0.7551202547737356,0.816415530438984,0.8235764281083169,0.8227082612157635,0.41687761014670977,-0.22438111404241412,-0.2414540830206613,-0.18637994081677234,-0.1768214509035968,0.6716014683572042
