model,sample_size,du_switch_fraction,du_switch_location_mean,yaw_switch_fraction,yaw_switch_location_mean
Pdiag finite (SE(3)),8,1.0,0.6861503468379174,1.0,0.5805718269437643
Pdiag finite (SE(3)),15,1.0,0.691497431986993,1.0,0.5793024245545697
Pdiag finite (SE(3)),30,1.0,0.6960873113097845,1.0,0.5809489388958755
