model,sample_size,m_multi_accuracy,delta_du_mean,delta_dv_mean,delta_dw_mean,delta_roll_mean,delta_pitch_mean,delta_yaw_mean
Pdiag finite (SE(3)),8,0.0,-0.22061350698330506,-0.15556904514390582,-0.11409972007488937,-0.1670656334675016,-0.20469107312109414,0.47433319056196105
Pdiag finite (SE(3)),15,0.0,-0.18572882597042695,-0.14418334575371036,-0.15612900445484026,-0.15640032112723995,-0.17023798822461553,0.49268880872426657
Pdiag finite (SE(3)),30,0.0,-0.20104770684540005,-0.13890469385860643,-0.1281773701336557,-0.14600161192906005,-0.1925131002974566,0.4804238673954981
