seed,subset_id,tpgmm_minus_pdiag_mm_equiv,sample_size,protocol,repeat
20260818,20,1.0640838384304225,5,random,0
20260818,21,5.156236171405051,5,random,1
20260818,22,8.671389959646712,5,random,2
20260818,23,2.122011551851574,5,random,3
20260818,24,7.381632587355179,5,random,4
20260818,60,1.2067966073116354,10,random,0
20260818,61,0.9213484835948571,10,random,1
20260818,62,0.9182622276892778,10,random,2
20260818,63,3.102305603117995,10,random,3
20260818,64,1.5010842122166101,10,random,4
20260818,100,2.1497965654540874,20,random,0
20260818,101,3.0250252967004423,20,random,1
20260818,102,0.4515825585234483,20,random,2
20260818,103,2.0752323102443646,20,random,3
20260818,104,2.8464335847693025,20,random,4
20260818,120,2.409496742768829,30,all,0
20270818,20,0.521911005492548,5,random,0
20270818,21,2.998547719506322,5,random,1
20270818,22,8.329191021572676,5,random,2
20270818,23,2.3196316057751396,5,random,3
20270818,24,3.6960604558049006,5,random,4
20270818,60,0.7939844957474715,10,random,0
20270818,61,0.6565535542170382,10,random,1
20270818,62,2.1775797657336033,10,random,2
20270818,63,1.9754944206462417,10,random,3
20270818,64,1.8230380405832993,10,random,4
20270818,100,0.16307887769974805,20,random,0
20270818,101,0.1204565404640543,20,random,1
20270818,102,0.24299745312146026,20,random,2
20270818,103,0.5162451336146021,20,random,3
20270818,104,2.3033463501328075,20,random,4
20270818,120,0.6568902079080523,30,all,0
20280818,20,0.49648048324626126,5,random,0
20280818,21,3.392977596057487,5,random,1
20280818,22,10.481342663126702,5,random,2
20280818,23,2.127079882974834,5,random,3
20280818,24,6.890222934387154,5,random,4
20280818,60,4.306115369163095,10,random,0
20280818,61,0.5692167489180946,10,random,1
20280818,62,2.8972024968084504,10,random,2
20280818,63,0.8761602197847225,10,random,3
20280818,64,1.4140238989726055,10,random,4
20280818,100,1.0887413538816135,20,random,0
20280818,101,0.18955432252493765,20,random,1
20280818,102,1.9541759575102442,20,random,2
20280818,103,0.3110574649391462,20,random,3
20280818,104,1.0154501251030186,20,random,4
20280818,120,0.8363437420962931,30,all,0
20290818,20,1.4368917293715127,5,random,0
20290818,21,6.697599603277106,5,random,1
20290818,22,8.340950362755976,5,random,2
20290818,23,2.3550349084965334,5,random,3
20290818,24,15.534905816079014,5,random,4
20290818,60,1.0892131246460561,10,random,0
20290818,61,2.620380598433267,10,random,1
20290818,62,3.195838636859447,10,random,2
20290818,63,4.252927277077102,10,random,3
20290818,64,3.024765212953909,10,random,4
20290818,100,2.7862816589837616,20,random,0
20290818,101,1.8788709221413789,20,random,1
20290818,102,1.3917084813717837,20,random,2
20290818,103,3.064756231127724,20,random,3
20290818,104,2.090751180807827,20,random,4
20290818,120,0.8827749393085984,30,all,0
20300818,20,7.539263301075676,5,random,0
20300818,21,2.9058236865924227,5,random,1
20300818,22,0.8521842186809714,5,random,2
20300818,23,2.1981357356679254,5,random,3
20300818,24,8.347558001632628,5,random,4
20300818,60,0.8956085656884416,10,random,0
20300818,61,1.2312708101052956,10,random,1
20300818,62,0.36766538137186755,10,random,2
20300818,63,0.45587430009740726,10,random,3
20300818,64,1.6800146777137543,10,random,4
20300818,100,0.9009787342826634,20,random,0
20300818,101,1.018563893204082,20,random,1
20300818,102,0.6658405080030354,20,random,2
20300818,103,0.847060660673596,20,random,3
20300818,104,0.6371137389535186,20,random,4
20300818,120,0.5649455024738976,30,all,0
