episode,steps,states,dx_m,dy_m,dyaw_rad,success,ever_success,max_contact_force_N,contact_frames,receptacle_max_position_drift_m
episode_0,152,153,0.002739233746429086,-0.004604265724722594,-0.12017285041710514,True,True,27.48478783585841,7,0.0
episode_1,162,163,-0.009669447289429419,0.006265404784005448,0.10805915744199204,True,True,0.2938811182975769,1,0.0
episode_2,158,159,0.002132715515343598,0.004589931219679969,0.011420996058390837,False,False,33.80887589213591,9,0.0
episode_3,150,151,0.008701448475755364,0.006317071082430644,-0.13018275623154207,True,True,26.67936186965505,4,0.0
episode_4,161,162,0.007148085531751386,-0.009328288493890714,0.06012365528009972,True,True,0.0,0,0.0
episode_5,157,158,-0.00648688758794882,0.007263578446997732,0.010854522078617895,True,True,0.1397157874999257,5,3.725290298461914e-09
episode_6,155,156,-0.004005762189252304,-0.0015462555760468316,-0.12348562133101926,True,True,0.0,0,0.0
episode_7,156,157,-0.007514334470008721,0.003412488293872607,0.0385341240205945,True,True,0.0,0,0.0
episode_8,163,164,0.0023077022296250777,-0.002326448914762331,0.13016925679726984,True,True,0.0,0,3.725290298461914e-09
episode_9,162,163,0.0096167067755246,0.0037108396896138943,0.03939014641561739,True,True,0.025073790922760963,5,0.0
episode_10,151,152,0.003768934611418801,-0.0022215715204179243,-0.09553151159090273,True,True,25.539647782335262,9,0.0
episode_11,152,153,0.004429766803881635,0.000507086449514518,-0.04967856080858021,False,False,24.591250691660708,10,0.0
episode_12,168,169,-0.00028329282336421804,0.007789756686980004,0.1136323267555365,True,True,4.310250610072966,1,3.725290298461914e-09
episode_13,152,153,-0.0028440960658185953,0.0014305966145952195,-0.04663448436460804,True,True,28.53363782610082,8,3.725290298461914e-09
episode_14,157,158,0.0018860006039939353,-0.003241775489857335,-0.028374079310787323,False,False,34.28485171107541,10,3.725290298461914e-09
episode_15,156,157,0.007805487040095848,-0.005456848129332405,0.03225031906353115,False,False,25.415131670612162,10,0.0
episode_16,161,162,-0.008319693128352304,0.006652882953067955,0.07516216113870927,True,True,6.4622703201450316,1,0.0
episode_17,148,149,-0.005212611140140957,0.007529684616214076,-0.11556661824297555,True,True,0.0,0,0.0
episode_18,159,160,-0.0032776587890867926,-0.006994410662103219,-0.013001123408934695,False,False,33.55394958695641,9,0.0
episode_19,154,155,0.005926485405745885,-0.0053871558201250514,-0.11728054912839703,True,True,30.703534660676503,7,0.0
episode_20,152,153,-0.0019089632035694352,-0.006029739109814893,-0.10714060211558031,True,True,28.604022360858618,9,3.725290298461914e-09
episode_21,162,163,0.001606647719737014,-0.004026077343621548,0.04502815375356431,True,True,0.5021406412124634,1,0.0
episode_22,151,152,-0.006009691120635734,0.008842262210129957,-0.035314075373834145,False,False,36.68895501976015,9,3.725290298461914e-09
episode_23,168,169,-0.00789009440859541,0.002582163030794185,0.11182880048878696,True,True,22.340596568267852,1,0.0
episode_24,152,153,-0.0011924569056843207,0.009091809873814744,-2.7275912791058232e-05,True,True,23.725829749538082,9,0.0
episode_25,163,164,-0.0014954275030184885,0.0024042690403075564,0.1296159619721062,True,True,1.2709712409122633,1,3.725290298461914e-09
episode_26,162,163,0.008978873498755308,-0.0007990972138180782,0.06747325391989237,True,True,0.0010833354899659753,1,7.450580596923828e-09
episode_27,160,161,-5.154609024762141e-05,0.0005862432039354087,0.07481852148862575,True,True,0.0010833354899659753,1,3.725290298461914e-09
episode_28,156,157,-0.0017068830128865835,0.004689671435774588,0.055277076195867,True,True,0.0,0,0.0
episode_29,161,162,0.008641193732267566,-0.007701347334381896,0.059956017447328314,True,True,0.0,0,0.0
episode_30,154,155,0.008548478572491197,0.009358523798492927,-0.12704959226285342,True,True,0.06191562327214809,1,0.0
episode_31,159,160,0.0072728018049115165,0.009623900801326886,0.1196973451176894,True,True,0.0,0,0.0
episode_32,161,162,-0.007024719755350042,0.009452576276459101,0.1020848897687534,True,True,0.0,0,3.725290298461914e-09
episode_33,152,153,0.006447476550861407,-0.0004002415238433567,-0.07006460579690402,True,True,22.96547095020512,8,0.0
episode_34,151,152,0.006037611574366159,0.008470603195669392,-0.06122695153863157,True,True,21.935014277068248,10,0.0
episode_35,161,162,0.0007786881524437378,-0.0011449434205093693,0.1128400694546989,True,True,2.058828592300415,1,3.725290298461914e-09
episode_36,157,158,-0.009189785776231307,0.004640123913131216,0.02994284603184824,True,True,0.07436724235190005,5,0.0
