method,metric,source,target,mean,std,n
no_adapt,terminal__axis_rmse_deg,diagonal_late,lift_late,7.39657318998807,2.6198116571662258,20
no_adapt,terminal__axis_rmse_deg,lift_early,diagonal_early,7.71696707085521,2.7384900480314927,20
no_adapt,terminal__axis_rmse_deg,lift_early,diagonal_late,7.612361808002703,2.5718505884247875,20
no_adapt,terminal__axis_rmse_deg,lift_early,lift_early,7.559725139686217,3.585966295840533,20
no_adapt,terminal__axis_rmse_deg,lift_early,lift_late,7.39657318998807,2.6198116571662258,20
no_adapt,terminal__axis_rmse_deg,lift_late,diagonal_early,7.71696707085521,2.7384900480314927,20
no_adapt,terminal__axis_rmse_deg,lift_late,diagonal_late,7.612361808002703,2.5718505884247875,20
no_adapt,terminal__axis_rmse_deg,lift_late,lift_early,7.559725139686217,3.585966295840533,20
no_adapt,terminal__axis_rmse_deg,lift_late,lift_late,7.39657318998807,2.6198116571662258,20
no_adapt,seg0__pos_rmse_mm,diagonal_early,diagonal_early,16.282111334092043,5.758983031280605,20
no_adapt,seg0__pos_rmse_mm,diagonal_early,diagonal_late,16.282111334092043,5.758983031280605,20
no_adapt,seg0__pos_rmse_mm,diagonal_early,lift_early,10.759632928760253,3.5633205165318134,20
no_adapt,seg0__pos_rmse_mm,diagonal_early,lift_late,10.587797514643182,3.623956138738274,20
no_adapt,seg0__pos_rmse_mm,diagonal_late,diagonal_early,16.282111334092043,5.758983031280605,20
no_adapt,seg0__pos_rmse_mm,diagonal_late,diagonal_late,16.282111334092043,5.758983031280605,20
no_adapt,seg0__pos_rmse_mm,diagonal_late,lift_early,10.759632928760253,3.5633205165318134,20
no_adapt,seg0__pos_rmse_mm,diagonal_late,lift_late,10.587797514643182,3.623956138738274,20
no_adapt,seg0__pos_rmse_mm,lift_early,diagonal_early,16.282111334092043,5.758983031280605,20
no_adapt,seg0__pos_rmse_mm,lift_early,diagonal_late,16.282111334092043,5.758983031280605,20
no_adapt,seg0__pos_rmse_mm,lift_early,lift_early,10.759632928760253,3.5633205165318134,20
no_adapt,seg0__pos_rmse_mm,lift_early,lift_late,10.587797514643182,3.623956138738274,20
no_adapt,seg0__pos_rmse_mm,lift_late,diagonal_early,16.282111334092043,5.758983031280605,20
no_adapt,seg0__pos_rmse_mm,lift_late,diagonal_late,16.282111334092043,5.758983031280605,20
no_adapt,seg0__pos_rmse_mm,lift_late,lift_early,10.759632928760253,3.5633205165318134,20
no_adapt,seg0__pos_rmse_mm,lift_late,lift_late,10.587797514643182,3.623956138738274,20
no_adapt,seg2__pos_rmse_mm,diagonal_early,diagonal_early,11.796447849658433,3.9549546004255416,20
no_adapt,seg2__pos_rmse_mm,diagonal_early,diagonal_late,11.881771233678478,4.0710992572431115,20
no_adapt,seg2__pos_rmse_mm,diagonal_early,lift_early,12.102882995274358,4.016466766521834,20
no_adapt,seg2__pos_rmse_mm,diagonal_early,lift_late,11.618397733439128,3.8175653126544438,20
no_adapt,seg2__pos_rmse_mm,diagonal_late,diagonal_early,11.796447849658433,3.9549546004255416,20
no_adapt,seg2__pos_rmse_mm,diagonal_late,diagonal_late,11.881771233678478,4.0710992572431115,20
no_adapt,seg2__pos_rmse_mm,diagonal_late,lift_early,12.102882995274358,4.016466766521834,20
no_adapt,seg2__pos_rmse_mm,diagonal_late,lift_late,11.618397733439128,3.8175653126544438,20
no_adapt,seg2__pos_rmse_mm,lift_early,diagonal_early,11.796447849658433,3.9549546004255416,20
no_adapt,seg2__pos_rmse_mm,lift_early,diagonal_late,11.881771233678478,4.0710992572431115,20
no_adapt,seg2__pos_rmse_mm,lift_early,lift_early,12.102882995274358,4.016466766521834,20
no_adapt,seg2__pos_rmse_mm,lift_early,lift_late,11.618397733439128,3.8175653126544438,20
no_adapt,seg2__pos_rmse_mm,lift_late,diagonal_early,11.796447849658433,3.9549546004255416,20
no_adapt,seg2__pos_rmse_mm,lift_late,diagonal_late,11.881771233678478,4.0710992572431115,20
no_adapt,seg2__pos_rmse_mm,lift_late,lift_early,12.102882995274358,4.016466766521834,20
no_adapt,seg2__pos_rmse_mm,lift_late,lift_late,11.618397733439128,3.8175653126544438,20
ramp,overall__pos_rmse_mm,diagonal_early,diagonal_early,13.735085980814821,4.1131642272580375,20
ramp,overall__pos_rmse_mm,diagonal_early,diagonal_late,11.8483061246569,3.6766869984037434,20
ramp,overall__pos_rmse_mm,diagonal_early,lift_early,13.716018573364845,3.631977324020216,20
ramp,overall__pos_rmse_mm,diagonal_early,lift_late,10.782268835105253,3.4661007163796542,20
ramp,overall__pos_rmse_mm,diagonal_late,diagonal_early,13.735085980814821,4.1131642272580375,20
ramp,overall__pos_rmse_mm,diagonal_late,diagonal_late,11.8483061246569,3.6766869984037434,20
ramp,overall__pos_rmse_mm,diagonal_late,lift_early,13.716018573364845,3.631977324020216,20
ramp,overall__pos_rmse_mm,diagonal_late,lift_late,10.782268835105253,3.4661007163796542,20
ramp,overall__pos_rmse_mm,lift_early,diagonal_early,13.735085980814821,4.1131642272580375,20
ramp,overall__pos_rmse_mm,lift_early,diagonal_late,11.8483061246569,3.6766869984037434,20
ramp,overall__pos_rmse_mm,lift_early,lift_early,13.716018573364845,3.631977324020216,20
ramp,overall__pos_rmse_mm,lift_early,lift_late,10.782268835105253,3.4661007163796542,20
ramp,overall__pos_rmse_mm,lift_late,diagonal_early,13.735085980814821,4.1131642272580375,20
ramp,overall__pos_rmse_mm,lift_late,diagonal_late,11.8483061246569,3.6766869984037434,20
ramp,overall__pos_rmse_mm,lift_late,lift_early,13.716018573364845,3.631977324020216,20
ramp,overall__pos_rmse_mm,lift_late,lift_late,10.782268835105253,3.4661007163796542,20
ramp,overall__axis_rmse_deg,diagonal_early,diagonal_early,2.452950255988908,0.6799176329613569,20
ramp,overall__axis_rmse_deg,diagonal_early,diagonal_late,2.255613113932803,0.7254175560177782,20
ramp,overall__axis_rmse_deg,diagonal_early,lift_early,2.694632922718995,0.7479553690076883,20
ramp,overall__axis_rmse_deg,diagonal_early,lift_late,2.283124212209965,0.7392879570318414,20
ramp,overall__axis_rmse_deg,diagonal_late,diagonal_early,2.452950255988908,0.6799176329613569,20
ramp,overall__axis_rmse_deg,diagonal_late,diagonal_late,2.255613113932803,0.7254175560177782,20
ramp,overall__axis_rmse_deg,diagonal_late,lift_early,2.694632922718995,0.7479553690076883,20
ramp,overall__axis_rmse_deg,diagonal_late,lift_late,2.283124212209965,0.7392879570318414,20
ramp,overall__axis_rmse_deg,lift_early,diagonal_early,2.452950255988908,0.6799176329613569,20
ramp,overall__axis_rmse_deg,lift_early,diagonal_late,2.255613113932803,0.7254175560177782,20
ramp,overall__axis_rmse_deg,lift_early,lift_early,2.694632922718995,0.7479553690076883,20
ramp,overall__axis_rmse_deg,lift_early,lift_late,2.283124212209965,0.7392879570318414,20
ramp,overall__axis_rmse_deg,lift_late,diagonal_early,2.452950255988908,0.6799176329613569,20
ramp,overall__axis_rmse_deg,lift_late,diagonal_late,2.255613113932803,0.7254175560177782,20
ramp,overall__axis_rmse_deg,lift_late,lift_early,2.694632922718995,0.7479553690076883,20
ramp,overall__axis_rmse_deg,lift_late,lift_late,2.283124212209965,0.7392879570318414,20
ramp,terminal__pos_rmse_mm,diagonal_early,diagonal_early,1.495438388431776,0.5774281964223413,20
ramp,terminal__pos_rmse_mm,diagonal_early,diagonal_late,1.4023743895329275,0.7685780694031831,20
ramp,terminal__pos_rmse_mm,diagonal_early,lift_early,1.8910640859692154,1.1182466521552636,20
ramp,terminal__pos_rmse_mm,diagonal_early,lift_late,1.210087181003033,0.4424428718889333,20
ramp,terminal__pos_rmse_mm,diagonal_late,diagonal_early,1.495438388431776,0.5774281964223413,20
ramp,terminal__pos_rmse_mm,diagonal_late,diagonal_late,1.4023743895329275,0.7685780694031831,20
ramp,terminal__pos_rmse_mm,diagonal_late,lift_early,1.8910640859692154,1.1182466521552636,20
ramp,terminal__pos_rmse_mm,diagonal_late,lift_late,1.210087181003033,0.4424428718889333,20
ramp,terminal__pos_rmse_mm,lift_early,diagonal_early,1.495438388431776,0.5774281964223413,20
ramp,terminal__pos_rmse_mm,lift_early,diagonal_late,1.4023743895329275,0.7685780694031831,20
ramp,terminal__pos_rmse_mm,lift_early,lift_early,1.8910640859692154,1.1182466521552636,20
ramp,terminal__pos_rmse_mm,lift_early,lift_late,1.210087181003033,0.4424428718889333,20
ramp,terminal__pos_rmse_mm,lift_late,diagonal_early,1.495438388431776,0.5774281964223413,20
ramp,terminal__pos_rmse_mm,lift_late,diagonal_late,1.4023743895329275,0.7685780694031831,20
ramp,terminal__pos_rmse_mm,lift_late,lift_early,1.8910640859692154,1.1182466521552636,20
ramp,terminal__pos_rmse_mm,lift_late,lift_late,1.210087181003033,0.4424428718889333,20
ramp,terminal__axis_rmse_deg,diagonal_early,diagonal_early,1.716109091165159,0.9074940511217368,20
ramp,terminal__axis_rmse_deg,diagonal_early,diagonal_late,0.5582038026746217,0.5163503858800156,20
ramp,terminal__axis_rmse_deg,diagonal_early,lift_early,2.2553814267121473,1.5022692669909394,20
ramp,terminal__axis_rmse_deg,diagonal_early,lift_late,0.6121707880005914,0.7648228472740809,20
ramp,terminal__axis_rmse_deg,diagonal_late,diagonal_early,1.716109091165159,0.9074940511217368,20
ramp,terminal__axis_rmse_deg,diagonal_late,diagonal_late,0.5582038026746217,0.5163503858800156,20
ramp,terminal__axis_rmse_deg,diagonal_late,lift_early,2.2553814267121473,1.5022692669909394,20
ramp,terminal__axis_rmse_deg,diagonal_late,lift_late,0.6121707880005914,0.7648228472740809,20
ramp,terminal__axis_rmse_deg,lift_early,diagonal_early,1.716109091165159,0.9074940511217368,20
ramp,terminal__axis_rmse_deg,lift_early,diagonal_late,0.5582038026746217,0.5163503858800156,20
ramp,terminal__axis_rmse_deg,lift_early,lift_early,2.2553814267121473,1.5022692669909394,20
ramp,terminal__axis_rmse_deg,lift_early,lift_late,0.6121707880005914,0.7648228472740809,20
ramp,terminal__axis_rmse_deg,lift_late,diagonal_early,1.716109091165159,0.9074940511217368,20
ramp,terminal__axis_rmse_deg,lift_late,diagonal_late,0.5582038026746217,0.5163503858800156,20
ramp,terminal__axis_rmse_deg,lift_late,lift_early,2.2553814267121473,1.5022692669909394,20
ramp,terminal__axis_rmse_deg,lift_late,lift_late,0.6121707880005914,0.7648228472740809,20
ramp,seg0__pos_rmse_mm,diagonal_early,diagonal_early,10.783460861972983,4.1747451588930735,20
ramp,seg0__pos_rmse_mm,diagonal_early,diagonal_late,10.783460861972983,4.1747451588930735,20
ramp,seg0__pos_rmse_mm,diagonal_early,lift_early,7.652118522638415,2.4512722375301674,20
ramp,seg0__pos_rmse_mm,diagonal_early,lift_late,7.460361616392997,2.4947107580754393,20
ramp,seg0__pos_rmse_mm,diagonal_late,diagonal_early,10.783460861972983,4.1747451588930735,20
ramp,seg0__pos_rmse_mm,diagonal_late,diagonal_late,10.783460861972983,4.1747451588930735,20
ramp,seg0__pos_rmse_mm,diagonal_late,lift_early,7.652118522638415,2.4512722375301674,20
ramp,seg0__pos_rmse_mm,diagonal_late,lift_late,7.460361616392997,2.4947107580754393,20
ramp,seg0__pos_rmse_mm,lift_early,diagonal_early,10.783460861972983,4.1747451588930735,20
ramp,seg0__pos_rmse_mm,lift_early,diagonal_late,10.783460861972983,4.1747451588930735,20
ramp,seg0__pos_rmse_mm,lift_early,lift_early,7.652118522638415,2.4512722375301674,20
ramp,seg0__pos_rmse_mm,lift_early,lift_late,7.460361616392997,2.4947107580754393,20
