sample_size,protocol,spearman_rho,subset_count
3,qualified,-0.0303030303030303,10
5,qualified,0.38181818181818183,10
8,qualified,0.309090909090909,10
10,qualified,0.38181818181818183,10
15,qualified,0.24848484848484845,10
20,qualified,-0.01818181818181818,10
3,random,0.41818181818181815,10
5,random,0.6969696969696969,10
8,random,-0.1515151515151515,10
10,random,0.2121212121212121,10
15,random,0.8424242424242423,10
20,random,0.0303030303030303,10
