basis,phase,output,input,mean,sd_across_fits
local,unlock,yaw,roll,-0.03058549018449434,0.030950254952738215
local,unlock,yaw,pitch,-0.005895246653317183,0.01893644375170251
local,unlock,yaw,yaw,0.41423694940526334,0.030226685481225136
local,insert,du,du,0.979592085812457,0.01133951519385284
local,insert,du,dv,0.044855476787622174,0.046843318527567214
local,insert,du,dw,-0.02816712546547925,0.008252115022406633
local,insert,du,roll,-0.012729171297850644,0.048867617824811097
local,insert,du,pitch,0.055756569771063594,0.03248330152258419
local,insert,du,yaw,0.02415164184888034,0.021546531969785305
local,insert,dv,du,0.012975308393183919,0.01781246064711676
local,insert,dv,dv,0.9982556753498394,0.011386114191648184
local,insert,dv,dw,0.01356743760022811,0.028185373963878952
local,insert,dv,roll,-0.040768262500969724,0.038924808067405406
local,insert,dv,pitch,0.006082106206119366,0.028555148793558298
local,insert,dv,yaw,0.003979329240124171,0.01876661577124742
local,insert,dw,du,-0.004561429938589554,0.00659674978565395
local,insert,dw,dv,-0.0004277700662886913,0.005445056366711154
local,insert,dw,dw,1.0071361853479432,0.0065288231119844595
local,insert,dw,roll,-0.00032309205426396575,0.021474243152367314
local,insert,dw,pitch,-0.002739941691416194,0.010992134959889072
local,insert,dw,yaw,0.0011045315101411769,0.003219903980360033
local,insert,roll,du,-0.004360525348191277,0.017652294009634882
local,insert,roll,dv,0.015096260695559603,0.010720348455756422
local,insert,roll,dw,0.007246104384723233,0.012225819114410053
local,insert,roll,roll,0.9754366271317316,0.01749755522563177
local,insert,roll,pitch,0.015005932452316215,0.019951202550161806
local,insert,roll,yaw,0.03780067456841911,0.013834186258430931
local,insert,pitch,du,0.005834947922292145,0.01671446291462444
local,insert,pitch,dv,0.00976361072065173,0.017027774329740026
local,insert,pitch,dw,0.011925533121436968,0.016135233984758298
local,insert,pitch,roll,0.0074729154560578175,0.028655184817418584
local,insert,pitch,pitch,0.9943635870330034,0.019697161162544018
local,insert,pitch,yaw,-0.023633286685853752,0.014439206356959408
local,insert,yaw,du,0.005951533810687737,0.007905915924930406
local,insert,yaw,dv,-0.0021703118507936225,0.004321739087396532
local,insert,yaw,dw,0.000996599599848573,0.007119861315868344
local,insert,yaw,roll,-0.02489464486928558,0.01494661600018607
local,insert,yaw,pitch,-0.013428349437638772,0.027517414626455555
local,insert,yaw,yaw,0.005000223295883029,0.0076651025957303635
rotated-1,align,du,du,0.7833610772136255,0.14415898864462695
rotated-1,align,du,dv,-0.04040465578477843,0.05958980942425384
rotated-1,align,du,dw,-0.03804734516487254,0.08433952770004396
rotated-1,align,du,roll,0.2096918687874697,0.18903026924256883
rotated-1,align,du,pitch,-0.2937369283349056,0.1870714015100296
rotated-1,align,du,yaw,0.1947465509575676,0.15027653993655568
rotated-1,align,dv,du,-0.22197594564992074,0.16166905919451746
rotated-1,align,dv,dv,0.6405967040388076,0.07350741741663028
rotated-1,align,dv,dw,-0.045772394836642166,0.0860542808857571
rotated-1,align,dv,roll,-0.07365627450194905,0.16409950364132772
rotated-1,align,dv,pitch,0.10783186423489038,0.15596564860314088
rotated-1,align,dv,yaw,0.1910342487697517,0.14141727267848808
rotated-1,align,dw,du,0.06667182829554978,0.5564645602133242
rotated-1,align,dw,dv,-0.17973802137822584,0.21708603160511758
rotated-1,align,dw,dw,0.7952676578453945,0.19623553519705647
rotated-1,align,dw,roll,-0.35956598464210326,0.8025592755596554
rotated-1,align,dw,pitch,-0.30377650308009835,0.3774431154535893
rotated-1,align,dw,yaw,0.05906195594169937,0.3283276926340266
rotated-1,align,roll,du,-0.03114619988523299,0.02946177214630177
rotated-1,align,roll,dv,0.001796948856242642,0.011762692070429423
rotated-1,align,roll,dw,0.0022463158431902572,0.01330745478209907
rotated-1,align,roll,roll,0.5919920530507088,0.03357645987217555
rotated-1,align,roll,pitch,0.011306183712074539,0.0284601706827634
rotated-1,align,roll,yaw,0.005411889049900729,0.0246786757942832
rotated-1,align,pitch,du,-0.025998975410274475,0.050091493522569114
rotated-1,align,pitch,dv,0.0023129157608189435,0.009072354890954927
rotated-1,align,pitch,dw,0.010318112523477335,0.01851410098026206
rotated-1,align,pitch,roll,-0.025730332849840058,0.05024682286835625
rotated-1,align,pitch,pitch,0.658204165501326,0.042916422175296384
rotated-1,align,pitch,yaw,-0.027225303076360906,0.03900072540328441
rotated-1,align,yaw,du,-0.026057088145443892,0.05458975688729581
rotated-1,align,yaw,dv,-0.003431669049293163,0.009196346865361329
rotated-1,align,yaw,dw,0.00913244014462983,0.018767516457966937
rotated-1,align,yaw,roll,-0.03318275984869538,0.05621530087240968
rotated-1,align,yaw,pitch,0.03373762297950706,0.039004628738361545
rotated-1,align,yaw,yaw,0.6198287195559262,0.035203873957379984
rotated-1,enter,du,du,1.000340484156351,0.011647534809738378
rotated-1,enter,du,dv,0.001835062717897529,0.008620725564156025
rotated-1,enter,du,dw,0.004914440557280573,0.004448336940311191
rotated-1,enter,du,roll,0.025534538774552078,0.019765583338695464
rotated-1,enter,du,pitch,0.03660565704408395,0.012875802433299954
rotated-1,enter,du,yaw,-0.016640067703738617,0.008861106443897737
rotated-1,enter,dv,du,-0.003299836339019781,0.005310270346730181
rotated-1,enter,dv,dv,0.9991403177384941,0.0031013108884597753
rotated-1,enter,dv,dw,0.0030025348720006326,0.003955352218223993
rotated-1,enter,dv,roll,-0.008849538875800943,0.007603157339348683
rotated-1,enter,dv,pitch,-0.001304872403643794,0.006077831988748936
