condition,progress,mean,sd
keyed,0.0,0.002817461878080745,0.0017883035699653872
keyed,0.010416666666666666,0.005309385452073579,0.0018246735494726071
keyed,0.020833333333333332,0.01133087445587617,0.004077840485234054
keyed,0.03125,0.023482452737108885,0.009001520072091996
keyed,0.041666666666666664,0.04462340925614167,0.017465615235841392
keyed,0.05208333333333333,0.07576397562268077,0.029044551493809623
keyed,0.0625,0.11572764979536197,0.03808062466143519
keyed,0.07291666666666666,0.16216685549487023,0.04082497181092346
keyed,0.08333333333333333,0.2117636268856625,0.045675888172807454
keyed,0.09375,0.2689196501820834,0.05463674574728764
keyed,0.10416666666666666,0.34457201106836377,0.06809265621759049
keyed,0.11458333333333333,0.44898723560359943,0.08957136231733871
keyed,0.125,0.5804531491055893,0.12508183629725853
keyed,0.13541666666666666,0.7153904031114334,0.15362606509124882
keyed,0.14583333333333331,0.8287642535995954,0.14983098123972946
keyed,0.15625,0.9122336691858703,0.12427694014787657
keyed,0.16666666666666666,0.9649770443653192,0.09898536608598937
keyed,0.17708333333333331,0.9892310020165819,0.08964398851875731
keyed,0.1875,0.991672654646703,0.09963426591651785
keyed,0.19791666666666666,0.9827548789420055,0.11360991934983361
keyed,0.20833333333333331,0.9727631294575073,0.11322390797518848
keyed,0.21875,0.9689408012272508,0.09336992253999722
keyed,0.22916666666666666,0.973981295036731,0.060672713628524395
keyed,0.23958333333333331,0.9848539905542769,0.026463140144071123
keyed,0.25,0.9961509621839928,0.006607192115791257
keyed,0.25,0.9961509621839928,0.006607192115791257
keyed,0.2604166666666667,1.0043196050632517,0.018119439269964725
keyed,0.2708333333333333,1.007866880083837,0.019994634819781896
keyed,0.28125,1.006436227059878,0.012557600381621466
keyed,0.2916666666666667,1.0011533949267202,0.00607500632099167
keyed,0.3020833333333333,0.9949838284814153,0.012373187625835188
keyed,0.3125,0.9913472133890272,0.014877741196696253
keyed,0.32291666666666663,0.9918258223410762,0.010149499838407905
keyed,0.3333333333333333,0.9953965121499372,0.002726789182521935
keyed,0.34375,0.9997098161669,0.008457997543275978
keyed,0.35416666666666663,1.002716771821296,0.011925321824740027
keyed,0.3645833333333333,1.0033633598620229,0.009450306633234996
keyed,0.375,1.0016920645901026,0.003826256297258887
keyed,0.38541666666666663,0.9988314799015554,0.006519280464601312
keyed,0.3958333333333333,0.9965374586995597,0.010683567890538566
keyed,0.40625,0.9961198612812218,0.01007164390166599
keyed,0.41666666666666663,0.9975723783597199,0.005027878209422106
keyed,0.4270833333333333,0.9997578770825479,0.0036516065355506294
keyed,0.4375,1.0013678353112692,0.00852802723370045
keyed,0.44791666666666663,1.0016768790231527,0.009381168857860393
keyed,0.4583333333333333,1.0006863067301979,0.005629463448091048
keyed,0.46875,0.9990035893752195,0.0024763375799992256
keyed,0.47916666666666663,0.9976429580592756,0.0077526372761683405
keyed,0.4895833333333333,0.9974573756116983,0.009251227067474744
keyed,0.5,0.9982177001594406,0.004730797019013393
keyed,0.5,0.9982177001594406,0.004730797019013393
keyed,0.5104166666666666,0.9980753432551539,0.00861168678212499
keyed,0.5208333333333334,0.9939423542963104,0.0226225914190241
keyed,0.53125,0.9823572808561172,0.03780603006150203
keyed,0.5416666666666666,0.96023440641386,0.052521454237149705
keyed,0.5520833333333334,0.9255817497453385,0.06620667507814727
keyed,0.5625,0.8782447057158419,0.0795664419532581
keyed,0.5729166666666666,0.8203701822985239,0.09523015076291565
keyed,0.5833333333333334,0.755792950809878,0.11817921059834091
keyed,0.59375,0.6873550184786681,0.1499134962967266
keyed,0.6041666666666666,0.6138911098024343,0.17886730854997857
keyed,0.6145833333333334,0.5225602616755629,0.1594264598026928
keyed,0.625,0.3840366500226902,0.11860535171350324
keyed,0.6354166666666666,0.28579996541798425,0.08456190514075217
keyed,0.6458333333333333,0.22337273741615915,0.08152037963412838
keyed,0.65625,0.17917092429965564,0.06623636767797642
keyed,0.6666666666666666,0.14647312685555422,0.05450454044082787
keyed,0.6770833333333333,0.1236042604586878,0.04645643498426347
keyed,0.6875,0.10853302016066826,0.04135224787154828
keyed,0.6979166666666666,0.09922397248127429,0.038272086178587385
keyed,0.7083333333333333,0.09394940545304997,0.036455671268467583
keyed,0.71875,0.09139107797703709,0.0354723963775992
keyed,0.7291666666666666,0.09057160283139962,0.035123385324659966
keyed,0.7395833333333333,0.09072452767898803,0.03519998498829128
keyed,0.75,0.09126041857373485,0.03535307475520214
keyed,0.75,0.09126041857373485,0.03535307475520214
keyed,0.7604166666666666,0.09213908877484228,0.03445447965682269
