base,soft,stiff,rrt,slow,fast
1.000000000000000000e+00,9.979488671464072924e-01,9.999998751338468050e-01,9.923085743760113875e-01,9.997077203489135311e-01,9.998582320830717851e-01
9.979488671464072924e-01,9.999999999999996669e-01,9.979501772986641983e-01,9.960876458948534351e-01,9.989530373919093265e-01,9.969469097276901781e-01
9.999998751338468050e-01,9.979501772986641983e-01,9.999999999999997780e-01,9.923216177356277701e-01,9.997107752209748455e-01,9.998554321098873654e-01
9.923085743760113875e-01,9.960876458948534351e-01,9.923216177356277701e-01,1.000000000000000444e+00,9.946794838634178682e-01,9.903280996151577753e-01
9.997077203489135311e-01,9.989530373919093265e-01,9.997107752209748455e-01,9.946794838634178682e-01,1.000000000000000000e+00,9.991684132281203334e-01
9.998582320830717851e-01,9.969469097276901781e-01,9.998554321098873654e-01,9.903280996151577753e-01,9.991684132281203334e-01,1.000000000000000222e+00
