base,soft,stiff,rrt,slow,fast
9.999999999999997780e-01,9.999067658288677274e-01,9.999836232419830884e-01,9.876764022657235076e-01,9.976953173927741725e-01,9.982555776878395681e-01
9.999067658288677274e-01,9.999999999999997780e-01,9.998443003565238296e-01,9.887918678957587915e-01,9.978946813307044694e-01,9.985848055079871166e-01
9.999836232419830884e-01,9.998443003565238296e-01,1.000000000000000222e+00,9.868166905150366208e-01,9.974709302450688320e-01,9.980328589849577492e-01
9.876764022657235076e-01,9.887918678957587915e-01,9.868166905150366208e-01,1.000000000000000222e+00,9.924507514038677369e-01,9.910829022641364228e-01
9.976953173927741725e-01,9.978946813307044694e-01,9.974709302450688320e-01,9.924507514038677369e-01,9.999999999999997780e-01,9.958197094334516608e-01
9.982555776878395681e-01,9.985848055079871166e-01,9.980328589849577492e-01,9.910829022641364228e-01,9.958197094334516608e-01,1.000000000000000444e+00
