mode,segment,mean,block_sd
lift_early,Approach,-0.0037826477947742105,0.00701747409593882
lift_early,Entry,0.7161299266785784,0.007604972803784575
lift_early,Insertion,0.9865072816957386,0.062397712977374196
lift_late,Approach,-0.0030368845069624144,0.007703524754554074
lift_late,Entry,0.3223275687039927,0.008050683992900824
lift_late,Insertion,0.9956620655794002,0.018407471642906025
diagonal_early,Approach,-0.0009145775459607583,0.002728526825270565
diagonal_early,Entry,0.7237503596589235,0.006199340819608446
diagonal_early,Insertion,1.0209789831033678,0.045364696132940925
diagonal_late,Approach,-0.00013106321561172075,0.004324239538235198
diagonal_late,Entry,0.31759870571284965,0.005146463479997967
diagonal_late,Insertion,1.0058888759764637,0.011759836472879237
