mode,block,pitch_deg,split,sample,segment,response_ratio
lift_early,0,2.5,train,105,2,1.0064335769282506
lift_early,0,2.5,train,106,2,1.0049942191886092
lift_early,0,2.5,train,107,2,1.0040947430733127
lift_early,0,2.5,train,108,2,1.00349202209094
lift_early,0,2.5,train,109,2,1.0028879008573142
lift_early,0,2.5,train,110,2,1.0022823795546416
lift_early,0,2.5,train,111,2,1.0027609746964914
lift_early,0,2.5,train,112,2,1.0119274551653112
lift_early,0,2.5,train,113,2,0.9415243155669261
lift_early,0,2.5,train,114,2,0.8446273033799748
lift_early,0,2.5,train,115,2,0.747767056074991
lift_early,0,2.5,train,116,2,0.6509450615840573
lift_early,0,2.5,train,117,2,0.7402362925317266
lift_early,0,2.5,train,118,2,0.9227079708632078
lift_early,0,2.5,train,119,2,1.2553492588671546
lift_early,0,2.5,train,120,2,1.6782195768591683
lift_early,0,2.5,train,121,2,2.101297131007134
lift_early,0,2.5,train,122,2,2.395982934410309
lift_early,0,2.5,train,123,2,2.240692788816955
lift_early,0,2.5,train,124,2,2.0853497422843406
lift_early,0,2.5,train,125,2,1.8505142288408991
lift_early,0,2.5,train,126,2,1.5362799183969176
lift_early,0,2.5,train,127,2,1.2221607407191215
lift_early,0,2.5,train,128,2,1.125927395143958
lift_early,0,2.5,train,129,2,1.0925138049240544
lift_early,0,2.5,train,130,2,1.0597676122513975
lift_early,0,2.5,train,131,2,1.0475120780847886
lift_early,0,2.5,train,132,2,1.0691401489610657
lift_early,0,2.5,train,133,2,1.1018301035747655
lift_early,0,2.5,train,134,2,1.15493887713325
lift_early,0,2.5,train,135,2,1.2078153315595355
lift_early,0,2.5,train,136,2,1.2604581567157442
lift_early,0,2.5,train,137,2,1.3084447704071
lift_early,0,2.5,train,138,2,1.3432782711375852
lift_early,0,2.5,train,139,2,1.3360679072822141
lift_early,0,2.5,train,140,2,1.3234089263581337
lift_early,0,2.5,train,141,2,1.3105694530144132
lift_early,0,2.5,train,142,2,1.2975501705121382
lift_early,0,2.5,train,143,2,1.2846338390234304
lift_early,0,2.5,train,144,2,1.2728570014757628
lift_early,0,2.5,train,145,2,1.2601140550943293
lift_early,0,2.5,train,146,2,1.247348037423333
lift_early,0,2.5,train,147,2,1.2345589803967416
lift_early,0,2.5,train,148,2,1.2217469160620256
lift_early,0,2.5,train,149,2,1.2089118765798594
lift_early,0,-5.0,test,0,0,-0.01008383818499074
lift_early,0,-5.0,test,1,0,-0.006837224053553517
lift_early,0,-5.0,test,2,0,-0.009055037582766504
lift_early,0,-5.0,test,3,0,-0.00856637663564515
lift_early,0,-5.0,test,4,0,-0.00829780044403346
lift_early,0,-5.0,test,5,0,-0.010177705471559767
lift_early,0,-5.0,test,6,0,-0.007359271249333899
