success,depth,lateral_mm,axis_err_deg,steps,solver_error,source,target,block,theta_deg,method,endpoint_pass
False,0.09422569601532131,20.663859417393418,1.0643041955768935,711,,lift_early,lift_late,0,-5.0,no_adapt,False
True,0.07165103412490262,1.478542509220013,1.1746418461936297,680,EpisodeFinished,lift_early,lift_late,0,-5.0,rigid,True
True,0.07139057931682882,1.7292090310377741,0.3318885500852928,666,EpisodeFinished,lift_early,lift_late,0,-5.0,source,True
True,0.07139677858053255,1.708999746217768,0.3494003280239857,665,EpisodeFinished,lift_early,lift_late,0,-5.0,target,True
True,0.07163396411698945,2.338315905748297,7.537514168949163,667,EpisodeFinished,lift_early,lift_late,0,5.0,no_adapt,False
True,0.07151804868145077,1.6292838727221808,0.361388563997401,665,EpisodeFinished,lift_early,lift_late,0,5.0,rigid,True
True,0.06994062609521698,1.4565082231161366,1.690126041251424,670,EpisodeFinished,lift_early,lift_late,0,5.0,source,True
True,0.07049250793507192,1.3056275077222375,1.0418354345284904,664,EpisodeFinished,lift_early,lift_late,0,5.0,target,True
False,0.09417848130642686,18.371967696349785,0.8223771876277494,719,,lift_early,lift_late,0,-10.0,no_adapt,False
False,0.06810383321285174,1.1251716535946932,10.831152622587078,747,,lift_early,lift_late,0,-10.0,rigid,False
True,0.07029876993520831,1.5494926459282137,0.38503387849119175,676,EpisodeFinished,lift_early,lift_late,0,-10.0,source,True
True,0.07126462723910848,1.6473957339229397,2.1988201745005793,676,EpisodeFinished,lift_early,lift_late,0,-10.0,target,True
True,0.07133354346351352,0.39125077112040196,6.459045655137544,679,EpisodeFinished,lift_early,lift_late,0,10.0,no_adapt,False
True,0.07161772753310927,1.4428979155557622,0.36320968986528207,672,EpisodeFinished,lift_early,lift_late,0,10.0,rigid,True
True,0.06989877703088711,1.547412685597333,0.5289097322842476,680,EpisodeFinished,lift_early,lift_late,0,10.0,source,True
True,0.07069112977498512,1.5949274636032362,0.3921748145880137,680,EpisodeFinished,lift_early,lift_late,0,10.0,target,True
False,0.09450971953021359,17.64909195966381,2.9322956198914425,697,,lift_early,lift_late,1,-5.0,no_adapt,False
True,0.07125614318375437,0.8143666270741075,3.0678821319921887,692,EpisodeFinished,lift_early,lift_late,1,-5.0,rigid,False
True,0.07165161402976093,1.6530828874366283,0.7955063696592729,664,EpisodeFinished,lift_early,lift_late,1,-5.0,source,True
True,0.07157122493268618,1.4978229460660952,0.8223097395096954,661,EpisodeFinished,lift_early,lift_late,1,-5.0,target,True
True,0.07051843955418684,1.2585207145571706,4.054845534276089,657,EpisodeFinished,lift_early,lift_late,1,5.0,no_adapt,False
True,0.07173900393852255,1.9755214639266987,0.9179258778658212,666,EpisodeFinished,lift_early,lift_late,1,5.0,rigid,True
True,0.07054548833590639,1.553084211881746,0.3235254636942882,658,EpisodeFinished,lift_early,lift_late,1,5.0,source,True
True,0.07062437269296835,1.5084513214445516,0.3716213879932701,664,EpisodeFinished,lift_early,lift_late,1,5.0,target,True
False,0.09436393763532187,19.113504099862656,1.7073130383589974,706,,lift_early,lift_late,1,-10.0,no_adapt,False
False,0.06927993375359777,0.9426985369541013,9.598797812340957,764,,lift_early,lift_late,1,-10.0,rigid,False
True,0.07162213945150972,1.5473922551029171,1.3122700512476808,685,EpisodeFinished,lift_early,lift_late,1,-10.0,source,True
True,0.07148471834390549,1.3863317512483393,1.245717435027017,694,EpisodeFinished,lift_early,lift_late,1,-10.0,target,True
False,0.06410561043354221,0.12390548071464834,9.501569215732179,696,,lift_early,lift_late,1,10.0,no_adapt,False
True,0.07106296690254357,1.8198137730362918,1.1641584663130122,686,EpisodeFinished,lift_early,lift_late,1,10.0,rigid,True
True,0.07182893069903326,1.664240429022941,0.3354270149621825,680,EpisodeFinished,lift_early,lift_late,1,10.0,source,True
True,0.06969448696506697,1.4185099660302156,0.36718483328180307,678,EpisodeFinished,lift_early,lift_late,1,10.0,target,True
False,0.09404068266170106,20.17281819227768,0.1845875698668871,704,,lift_early,lift_late,2,-5.0,no_adapt,False
True,0.07161621831523816,1.1144891359227496,3.0837986071924344,683,EpisodeFinished,lift_early,lift_late,2,-5.0,rigid,False
True,0.07164214005796582,1.9489704919919626,0.660487617033284,655,EpisodeFinished,lift_early,lift_late,2,-5.0,source,True
True,0.07111103833208011,1.8695302151631628,0.11123188512969229,656,EpisodeFinished,lift_early,lift_late,2,-5.0,target,True
True,0.06866157773031244,1.3516958444314275,8.158728411698284,662,EpisodeFinished,lift_early,lift_late,2,5.0,no_adapt,False
True,0.07047620223573287,1.6707507801852328,0.891535040769097,662,EpisodeFinished,lift_early,lift_late,2,5.0,rigid,True
True,0.07184007094520586,1.8449484445690971,0.09464637155590304,653,EpisodeFinished,lift_early,lift_late,2,5.0,source,True
