seed,protocol,sample_size,model,value,metric
20280818,qualified,5,Generic RBF,8.626747316915049,task_error_mean_mm_equiv
20280818,random,8,Pdiag finite,3.6069156509175997,task_error_mean_mm_equiv
20280818,random,8,Full operator,4.637418183381468,task_error_mean_mm_equiv
20280818,random,8,Generic RBF,5.701201848725822,task_error_mean_mm_equiv
20280818,qualified,8,Pdiag finite,3.9945860447161605,task_error_mean_mm_equiv
20280818,qualified,8,Full operator,5.979983164448126,task_error_mean_mm_equiv
20280818,qualified,8,Generic RBF,8.119287870188709,task_error_mean_mm_equiv
20280818,random,10,Pdiag finite,3.817606572147009,task_error_mean_mm_equiv
20280818,random,10,Full operator,5.568452522235325,task_error_mean_mm_equiv
20280818,random,10,Generic RBF,7.839293206570689,task_error_mean_mm_equiv
20280818,qualified,10,Pdiag finite,3.6773958098536164,task_error_mean_mm_equiv
20280818,qualified,10,Full operator,4.338653382082855,task_error_mean_mm_equiv
20280818,qualified,10,Generic RBF,5.129388549199318,task_error_mean_mm_equiv
20280818,random,15,Pdiag finite,3.641392967023166,task_error_mean_mm_equiv
20280818,random,15,Full operator,4.750794986913762,task_error_mean_mm_equiv
20280818,random,15,Generic RBF,6.1843367776364975,task_error_mean_mm_equiv
20280818,qualified,15,Pdiag finite,3.602587718069895,task_error_mean_mm_equiv
20280818,qualified,15,Full operator,4.05814205690165,task_error_mean_mm_equiv
20280818,qualified,15,Generic RBF,4.748643643371872,task_error_mean_mm_equiv
20280818,random,20,Pdiag finite,3.466184772786005,task_error_mean_mm_equiv
20280818,random,20,Full operator,4.052681784557176,task_error_mean_mm_equiv
20280818,random,20,Generic RBF,4.843934368274027,task_error_mean_mm_equiv
20280818,qualified,20,Pdiag finite,3.584057191539017,task_error_mean_mm_equiv
20280818,qualified,20,Full operator,4.6939214832337,task_error_mean_mm_equiv
20280818,qualified,20,Generic RBF,5.949372781606677,task_error_mean_mm_equiv
20290818,random,3,Pdiag finite,2.840465091435673,task_error_mean_mm_equiv
20290818,random,3,Full operator,10.232005585857788,task_error_mean_mm_equiv
20290818,random,3,Generic RBF,24.04196307263963,task_error_mean_mm_equiv
20290818,qualified,3,Pdiag finite,3.520840794331022,task_error_mean_mm_equiv
20290818,qualified,3,Full operator,10.467058308171179,task_error_mean_mm_equiv
20290818,qualified,3,Generic RBF,29.825763987171893,task_error_mean_mm_equiv
20290818,random,5,Pdiag finite,3.071859117920988,task_error_mean_mm_equiv
20290818,random,5,Full operator,6.933207929876818,task_error_mean_mm_equiv
20290818,random,5,Generic RBF,8.730275893654866,task_error_mean_mm_equiv
20290818,qualified,5,Pdiag finite,3.085216063138438,task_error_mean_mm_equiv
20290818,qualified,5,Full operator,6.932559971801386,task_error_mean_mm_equiv
20290818,qualified,5,Generic RBF,7.436709828588228,task_error_mean_mm_equiv
20290818,random,8,Pdiag finite,3.2767172656377648,task_error_mean_mm_equiv
20290818,random,8,Full operator,8.016731221791746,task_error_mean_mm_equiv
20290818,random,8,Generic RBF,11.63426128746081,task_error_mean_mm_equiv
20290818,qualified,8,Pdiag finite,2.737262746724916,task_error_mean_mm_equiv
20290818,qualified,8,Full operator,4.451346674131957,task_error_mean_mm_equiv
20290818,qualified,8,Generic RBF,5.925793909953982,task_error_mean_mm_equiv
20290818,random,10,Pdiag finite,2.8792214961697606,task_error_mean_mm_equiv
20290818,random,10,Full operator,5.326591683164311,task_error_mean_mm_equiv
20290818,random,10,Generic RBF,8.529334007638166,task_error_mean_mm_equiv
20290818,qualified,10,Pdiag finite,2.8313053724268884,task_error_mean_mm_equiv
20290818,qualified,10,Full operator,5.453391408672791,task_error_mean_mm_equiv
20290818,qualified,10,Generic RBF,6.959209572923934,task_error_mean_mm_equiv
20290818,random,15,Pdiag finite,2.794942882808791,task_error_mean_mm_equiv
20290818,random,15,Full operator,4.705450174463373,task_error_mean_mm_equiv
20290818,random,15,Generic RBF,6.511844882322052,task_error_mean_mm_equiv
20290818,qualified,15,Pdiag finite,2.881970489310092,task_error_mean_mm_equiv
20290818,qualified,15,Full operator,5.668074947324009,task_error_mean_mm_equiv
20290818,qualified,15,Generic RBF,7.311397167032359,task_error_mean_mm_equiv
20290818,random,20,Pdiag finite,2.797059154043953,task_error_mean_mm_equiv
20290818,random,20,Full operator,5.22290057089499,task_error_mean_mm_equiv
20290818,random,20,Generic RBF,6.643687040006495,task_error_mean_mm_equiv
20290818,qualified,20,Pdiag finite,2.8042943708171615,task_error_mean_mm_equiv
20290818,qualified,20,Full operator,4.9776432622439,task_error_mean_mm_equiv
20290818,qualified,20,Generic RBF,6.263853702229307,task_error_mean_mm_equiv
20300818,random,3,Pdiag finite,2.5062083231488077,task_error_mean_mm_equiv
20300818,random,3,Full operator,8.164704698379426,task_error_mean_mm_equiv
20300818,random,3,Generic RBF,23.24856736663035,task_error_mean_mm_equiv
20300818,qualified,3,Pdiag finite,2.7791734015415352,task_error_mean_mm_equiv
20300818,qualified,3,Full operator,8.414327651238724,task_error_mean_mm_equiv
20300818,qualified,3,Generic RBF,27.48510256467905,task_error_mean_mm_equiv
20300818,random,5,Pdiag finite,2.052414319521879,task_error_mean_mm_equiv
20300818,random,5,Full operator,2.3821409442921953,task_error_mean_mm_equiv
20300818,random,5,Generic RBF,2.913262549315212,task_error_mean_mm_equiv
20300818,qualified,5,Pdiag finite,2.2062678025508147,task_error_mean_mm_equiv
20300818,qualified,5,Full operator,3.034874951273528,task_error_mean_mm_equiv
20300818,qualified,5,Generic RBF,3.1140486319241787,task_error_mean_mm_equiv
20300818,random,8,Pdiag finite,2.0704508052506116,task_error_mean_mm_equiv
20300818,random,8,Full operator,2.572026789447949,task_error_mean_mm_equiv
20300818,random,8,Generic RBF,2.7974107811059272,task_error_mean_mm_equiv
20300818,qualified,8,Pdiag finite,2.0933559379219298,task_error_mean_mm_equiv
20300818,qualified,8,Full operator,2.395983561190902,task_error_mean_mm_equiv
20300818,qualified,8,Generic RBF,2.4713670611839693,task_error_mean_mm_equiv
20300818,random,10,Pdiag finite,1.9281022410108881,task_error_mean_mm_equiv
20300818,random,10,Full operator,1.993718819647171,task_error_mean_mm_equiv
20300818,random,10,Generic RBF,2.0720899212254174,task_error_mean_mm_equiv
20300818,qualified,10,Pdiag finite,1.876368763663897,task_error_mean_mm_equiv
20300818,qualified,10,Full operator,1.9714824042837118,task_error_mean_mm_equiv
20300818,qualified,10,Generic RBF,2.041407670972668,task_error_mean_mm_equiv
20300818,random,15,Pdiag finite,1.735175658400868,task_error_mean_mm_equiv
20300818,random,15,Full operator,1.7209790748920466,task_error_mean_mm_equiv
20300818,random,15,Generic RBF,1.7807832505117065,task_error_mean_mm_equiv
20300818,qualified,15,Pdiag finite,1.8308771008302465,task_error_mean_mm_equiv
20300818,qualified,15,Full operator,1.7482635806464277,task_error_mean_mm_equiv
20300818,qualified,15,Generic RBF,1.8424415744148355,task_error_mean_mm_equiv
20300818,random,20,Pdiag finite,1.7570187335412175,task_error_mean_mm_equiv
20300818,random,20,Full operator,1.7491465047922319,task_error_mean_mm_equiv
