protocol,sample_size,model,metric,mean_over_seed_means,between_seed_sd,seed_count
qualified,8,Generic RBF,task_endpoint_error_mean_mm_equiv,3.204778417669849,2.4980587447521914,5
random,10,Pdiag finite,task_endpoint_error_mean_mm_equiv,0.6218275840523146,0.036956241794579875,5
random,10,Full operator,task_endpoint_error_mean_mm_equiv,0.28340875902523677,0.07562523728649728,5
random,10,Generic RBF,task_endpoint_error_mean_mm_equiv,2.937217741082535,2.532413151015976,5
qualified,10,Pdiag finite,task_endpoint_error_mean_mm_equiv,0.6327645949420921,0.04527312139852747,5
qualified,10,Full operator,task_endpoint_error_mean_mm_equiv,0.26199032154693225,0.047270806927473104,5
qualified,10,Generic RBF,task_endpoint_error_mean_mm_equiv,2.2756572817746448,1.7681374065397666,5
random,15,Pdiag finite,task_endpoint_error_mean_mm_equiv,0.4696845030366205,0.05036227576392439,5
random,15,Full operator,task_endpoint_error_mean_mm_equiv,0.25201759818873326,0.045567347264140044,5
random,15,Generic RBF,task_endpoint_error_mean_mm_equiv,2.649912754643174,2.0543668673653137,5
qualified,15,Pdiag finite,task_endpoint_error_mean_mm_equiv,0.5927045454948672,0.04591140314407868,5
qualified,15,Full operator,task_endpoint_error_mean_mm_equiv,0.25662442159989984,0.036100346070359675,5
qualified,15,Generic RBF,task_endpoint_error_mean_mm_equiv,2.184975621867817,1.7742584894084523,5
random,20,Pdiag finite,task_endpoint_error_mean_mm_equiv,0.4256689102402828,0.052098854936760364,5
random,20,Full operator,task_endpoint_error_mean_mm_equiv,0.2422005567528931,0.046947759667590565,5
random,20,Generic RBF,task_endpoint_error_mean_mm_equiv,2.0331839440586577,1.5676355959462942,5
qualified,20,Pdiag finite,task_endpoint_error_mean_mm_equiv,0.47157867551593063,0.056844255040642236,5
qualified,20,Full operator,task_endpoint_error_mean_mm_equiv,0.2404480495671561,0.04194705120034528,5
qualified,20,Generic RBF,task_endpoint_error_mean_mm_equiv,2.1925258006925485,1.5310039207430535,5
random,30,Pdiag finite,task_endpoint_error_mean_mm_equiv,0.3855338154557202,0.04423624344356119,5
random,30,Full operator,task_endpoint_error_mean_mm_equiv,0.2278385462310389,0.04068525231351322,5
random,30,Generic RBF,task_endpoint_error_mean_mm_equiv,1.7622225235303302,1.3049866826893977,5
qualified,30,Pdiag finite,task_endpoint_error_mean_mm_equiv,0.3855338154557202,0.04423624344356119,5
qualified,30,Full operator,task_endpoint_error_mean_mm_equiv,0.2278385462310389,0.04068525231351322,5
qualified,30,Generic RBF,task_endpoint_error_mean_mm_equiv,1.7622225235303302,1.3049866826893977,5
random,3,Pdiag finite,generator_rmse,0.26351923008008793,0.12840391819668215,5
random,3,Full operator,generator_rmse,0.6696554699346724,0.19426744523413234,5
random,3,Generic RBF,generator_rmse,0.9068659949402715,0.0913878398012069,5
qualified,3,Pdiag finite,generator_rmse,0.26420274102899244,0.1586273243748823,5
qualified,3,Full operator,generator_rmse,0.5677845085630902,0.15493306858934303,5
qualified,3,Generic RBF,generator_rmse,0.9633270858804842,0.06638360463680791,5
random,5,Pdiag finite,generator_rmse,0.22573158229927576,0.14394281409090007,5
random,5,Full operator,generator_rmse,0.40644646959963815,0.2706107764545315,5
random,5,Generic RBF,generator_rmse,0.36053759892830894,0.21409422623504507,5
qualified,5,Pdiag finite,generator_rmse,0.2598039871615482,0.15575090825383217,5
qualified,5,Full operator,generator_rmse,0.6233885149406728,0.3840646358346276,5
qualified,5,Generic RBF,generator_rmse,0.5478039203960618,0.25298586278384716,5
random,8,Pdiag finite,generator_rmse,0.23678808976291538,0.15603050310732983,5
