seed,subset_id,protocol,sample_size,optimization_success,optimization_nfev,optimization_cost,optimization_optimality,profile_max_absolute_reproduction_error,audit_fit_seconds
20260818,0,random,3,True,9,0.0006561964726925,8.492415729358058e-10,0.0,8.428482906892896
20260818,1,random,3,True,21,0.0388085887164679,3.6224700701765095e-10,0.0,11.46519053960219
20260818,2,random,3,True,13,0.0005517625400744,3.089661596405134e-10,0.0,6.992304055020213
20260818,3,random,3,True,13,0.0389932264711244,3.786641589886451e-10,0.0,59.39582898980007
20260818,4,random,3,True,20,0.0413288154613306,9.791377486730384e-10,0.0,8.380137789063156
20260818,5,random,3,True,18,0.0010246033512958,7.490910821761867e-10,0.0,19.05228351801634
20260818,6,random,3,True,12,0.0012578793681069,2.9816399380987636e-10,0.0,10.974097148980944
20260818,7,random,3,True,14,0.0011763696379165,6.049110325060003e-10,0.0,20.61635983316228
20260818,8,random,3,True,12,0.0049482012798342,1.1683586641115262e-10,0.0,35.08875946607441
20260818,9,random,3,True,12,0.0002614903787114,7.614129616828022e-10,0.0,2.8922316380776465
20260818,10,qualified,3,True,235,0.042462316955535,7.156222275528303e-10,0.0,58.649605981074274
20260818,11,qualified,3,True,13,0.0007719790154083,9.622427877972763e-10,0.0,2.090928550809622
20260818,12,qualified,3,True,10,0.0002667225665784,6.070088934008121e-10,0.0,4.8780432883650064
20260818,13,qualified,3,True,7,0.0002419245884753,7.669285786703826e-10,0.0,2.3119778665713966
20260818,14,qualified,3,True,12,0.0026747930356906,6.016617525865456e-10,0.0,2.594952216837555
20260818,15,qualified,3,True,12,0.003028561759622,8.752485387139594e-10,0.0,1.6477204519324005
20260818,16,qualified,3,True,13,0.0002890237268223,4.7507718471455e-10,0.0,3.400947060901672
20260818,17,qualified,3,True,5,0.0002366604994817,4.3866375097947373e-10,0.0,2.642140520736575
20260818,18,qualified,3,True,13,0.0002048643312811,9.032388482461511e-10,0.0,3.0418805042281747
20260818,19,qualified,3,True,10,0.0009559253698413,3.0066145250860147e-10,0.0,5.2718268521130085
20260818,20,random,5,True,9,0.0013707316704827,5.379393176251262e-10,0.0,3.1502963178791106
20260818,21,random,5,True,22,0.0458423463513525,5.726197635582031e-10,0.0,6.095724622253329
20260818,22,random,5,True,3,0.0014847893552808,7.613374791224073e-10,0.0,1.5535146864131093
20260818,23,random,5,True,10,0.002346158709544,7.65606602155638e-10,0.0,2.585136192850769
20260818,24,random,5,True,14,0.0014454960000751,7.99327240692794e-10,0.0,6.545252094976604
20260818,25,random,5,True,10,0.0007351427935309,9.636094302171923e-10,0.0,2.6982349706813693
20260818,26,random,5,True,15,0.0016161872600961,5.06296049611679e-10,0.0,3.3447263408452272
20260818,27,random,5,True,9,0.0049505458359446,4.951680615535196e-10,0.0,2.7417261637747288
20260818,28,random,5,True,9,0.0031882851590195,2.6092819209645307e-10,0.0,3.789081600960344
20260818,29,random,5,True,9,0.0015594440727178,8.469996207530821e-10,0.0,4.006010022945702
20260818,30,qualified,5,True,24,0.0471984172051301,9.327888582405144e-10,0.0,19.92169683100656
20260818,31,qualified,5,True,25,0.0497272572220608,9.883624605744195e-10,0.0,14.727903411723672
20260818,32,qualified,5,True,8,0.0026736883213428,6.973852918159956e-10,0.0,2.0961769740097225
20260818,33,qualified,5,True,10,0.0548019348154422,3.300969166380198e-10,0.0,5.187202472705394
20260818,34,qualified,5,True,6,0.004116327713698,6.601816451490453e-10,0.0,27.45107774902135
20260818,35,qualified,5,True,6,0.0011704232774168,2.5135220572878475e-10,0.0,2.135556297376752
20260818,36,qualified,5,True,18,0.0029926050607573,5.441207882054271e-10,0.0,16.163955226074904
20260818,37,qualified,5,True,22,0.0559643053919247,9.022597930435999e-10,0.0,49.2970896740444
20260818,38,qualified,5,True,21,0.054103561361629,3.8267495112828657e-10,0.0,9.04562536580488
20260818,39,qualified,5,True,12,0.0565809683148495,8.08323696237389e-10,0.0,11.099490100052208
20260818,40,random,8,True,8,0.0594045562899887,1.9582501704101683e-09,0.0,4.744486978277564
20260818,41,random,8,True,11,0.0031508987919608,4.2047416546713054e-10,0.0,8.723036037757993
20260818,42,random,8,True,7,0.0028233930730423,8.507561065413397e-10,0.0,3.063521679956466
20260818,43,random,8,True,7,0.0072446182798415,9.038524343275373e-10,0.0,3.1099818581715226
20260818,44,random,8,True,13,0.0050644281205594,4.80706336664794e-10,0.0,15.741731786634771
20260818,45,random,8,True,18,0.0568999006801601,1.1519672501946154e-08,0.0,12.085602447856218
20260818,46,random,8,True,12,0.0029337929301601,8.921077526290641e-10,0.0,4.382900396827608
20260818,47,random,8,True,34,0.0528472935641877,1.3279339450226872e-09,0.0,19.30901969689876
20260818,48,random,8,True,20,0.0589096015290152,4.821904102481018e-09,0.0,9.686327574774625
20260818,49,random,8,True,29,0.1019877197875757,1.3079480793597582e-09,0.0,72.66426485171542
20260818,50,qualified,8,True,16,0.09486768473522,9.817871031614563e-10,0.0,52.45277155889198
20260818,51,qualified,8,True,12,0.0601620654179931,6.208295357175328e-10,0.0,3.6478830436244607
20260818,52,qualified,8,True,89,0.0639110315683873,5.9192399643383375e-09,0.0,16.162562320940197
20260818,53,qualified,8,True,9,0.0557778981853342,1.0518725322028584e-09,0.0,7.075833194889128
20260818,54,qualified,8,True,9,0.0041139429670294,3.905751213597209e-10,0.0,2.790912702679634
20260818,55,qualified,8,True,8,0.0551310757917566,3.249003898293703e-10,0.0,3.866781577002257
20260818,56,qualified,8,True,11,0.0924441516015243,7.473154682122427e-10,0.0,27.51036376412958
