arm,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,e_alpha,m_oop_correct,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
heading_push,20260818,4,qualified,8,1,Frame-weighted (SE(3)),True,,0.006840646965429187,0.20231939840866933,False,0.6952202171398862,0.6952202171398862,0.6952202171398862,0.6952202171398862,0.6952202171398862,0.6952202171398862
heading_push,20260818,4,qualified,8,1,Full operator (SE(3)),True,,0.00417546508833766,0.0524445548161477,True,1.218627590201066,1.1779103225214165,0.08669092265981149,0.04850627993682619,0.001471119186799789,0.6995006485420172
heading_push,20260818,4,qualified,8,1,Pdiag pointwise (SE(3)),True,,0.016875572968274355,0.0647951496817168,True,0.9140134558451197,1.1668644654417837,0.024792002635671162,0.015957782559402413,0.003709907205204858,0.757928583575717
heading_push,20260818,4,qualified,8,1,Pdiag finite (SE(3)),True,,49.233610286028124,0.0663146215241427,True,0.8843453611854968,1.1897326039689269,0.042258347405151976,0.038780542411128306,0.25842098102668,0.740051336924927
heading_push,20260818,0,random,8,0,Frame-weighted (SE(3)),True,,0.0069989790208637714,0.1989320812093871,False,0.6456619936855758,0.6456619936855758,0.6456619936855758,0.6456619936855758,0.6456619936855758,0.6456619936855758
heading_push,20260818,0,random,8,0,Full operator (SE(3)),True,,0.0023175579262897372,0.16160636342382492,True,0.744263676665448,1.0334209058227484,0.1182495617432896,0.0032881329823983806,0.0001382531164970237,0.5518873196118522
heading_push,20260818,0,random,8,0,Pdiag pointwise (SE(3)),True,,0.017337637022137642,0.06483380243428671,True,0.9612865277295162,1.079473104776489,0.04034099282204026,0.03943200472275837,0.0015661828554491281,0.6622946272911163
heading_push,20260818,0,random,8,0,Pdiag finite (SE(3)),True,,60.04448628297541,0.06397857808880124,True,0.9671992216544333,1.1182297141860524,0.031528683484447595,0.03185317588190293,0.02110400101818696,0.669005328500084
heading_push,20260818,1,random,8,1,Frame-weighted (SE(3)),True,,0.0023781449999660254,0.1996596808793546,False,0.4617101685890042,0.4617101685890042,0.4617101685890042,0.4617101685890042,0.4617101685890042,0.4617101685890042
heading_push,20260818,1,random,8,1,Full operator (SE(3)),True,,0.0011383339297026396,0.18891794679536333,True,0.7377303529950829,1.160340808582006,0.1182007933136342,0.0014688177516174778,0.008721545098802656,0.5667545161523035
heading_push,20260818,1,random,8,1,Pdiag pointwise (SE(3)),True,,0.009264624095521867,0.11539028012985045,True,0.8002820255122276,0.9740264462284832,0.021633925568044415,0.013500543273301196,0.002436737929515845,0.5135896199628458
heading_push,20260818,1,random,8,1,Pdiag finite (SE(3)),True,,72.5665876440471,0.09027148872086896,True,0.7923599582604864,0.9536674350450215,0.023192205730899026,0.037825373141049855,0.00500168491002154,0.5267382785734557
heading_push,20260818,8,random,15,2,Frame-weighted (SE(3)),True,,0.007176518905907869,0.1994229423914183,False,0.47771076934771406,0.47771076934771406,0.47771076934771406,0.47771076934771406,0.47771076934771406,0.47771076934771406
heading_push,20260818,8,random,15,2,Full operator (SE(3)),True,,0.004185084020718932,0.10770211401560009,True,0.8571981166914808,1.0653249185813585,-0.0002188641521814333,0.025667412403952476,0.009766357946018472,0.6518254361682738
heading_push,20260818,8,random,15,2,Pdiag pointwise (SE(3)),True,,0.017054826021194458,0.08043417408183472,True,0.7834122608917122,0.9627812919237175,0.010029550994894004,9.958941539704602e-05,0.014127258576471508,0.6401199544419437
heading_push,20260818,8,random,15,2,Pdiag finite (SE(3)),True,,78.49179041397292,0.07982417891396464,True,0.7971161378752254,0.9545256999308236,0.0093303884180893,0.03325140058843646,0.06618907802951701,0.631889047477369
heading_push,20260818,10,qualified,15,1,Frame-weighted (SE(3)),True,,0.007035324000753462,0.1987237601283984,False,0.6035700600354668,0.6035700600354668,0.6035700600354668,0.6035700600354668,0.6035700600354668,0.6035700600354668
heading_push,20260818,10,qualified,15,1,Full operator (SE(3)),True,,0.004731457098387182,0.08806866336175387,True,0.8638858436097895,1.0237446700207358,0.05912937859813605,-0.012237837238133155,0.008384505200089721,0.7243370398045157
