dataset,episode_index,video_duration_s,nominal_data_duration_s,delta_s
insert_10degree,39,31.69999999999999,31.7,-1.0658141036401503e-14
insert_10degree,40,40.866666666666674,40.86666666666667,7.105427357601002e-15
insert_10degree,41,30.666666666666657,30.666666666666668,-1.0658141036401503e-14
insert_10degree,42,29.133333333333326,29.133333333333333,-7.105427357601002e-15
insert_10degree,43,33.23333333333335,33.233333333333334,1.4210854715202004e-14
insert_10degree,44,39.76666666666665,38.333333333333336,1.4333333333333158
insert_10degree,45,38.4666666666667,38.46666666666667,2.842170943040401e-14
insert_10degree,46,44.5,44.5,0.0
insert_10degree,47,34.06666666666666,34.06666666666667,-7.105427357601002e-15
insert_10degree,48,47.099999999999966,36.36666666666667,10.733333333333299
insert_10degree,49,58.133333333333326,58.13333333333333,-7.105427357601002e-15
insert_10degree,50,37.4666666666667,37.46666666666667,2.842170943040401e-14
insert_10degree,51,37.56666666666672,37.56666666666667,4.973799150320701e-14
insert_10degree,52,45.366666666666674,45.36666666666667,7.105427357601002e-15
insert_10degree,53,35.200000000000045,35.2,4.263256414560601e-14
insert_10degree,54,32.299999999999955,32.3,-4.263256414560601e-14
insert_10degree,55,30.23333333333335,30.233333333333334,1.4210854715202004e-14
insert_10degree,56,36.56666666666672,36.56666666666667,4.973799150320701e-14
insert_10degree,57,36.60000000000002,36.6,2.1316282072803006e-14
insert_10degree,58,36.4666666666667,36.46666666666667,2.842170943040401e-14
insert_10degree,59,37.7,37.7,0.0
insert_10degree,60,39.16666666666667,39.166666666666664,7.105427357601002e-15
