dataset,episode_index,threshold,window_s,terminal_tilt_deg,axis_x,axis_y,axis_z
insert_jc_fix_3,0,0.4,0.25,0.7613517939661728,-0.004219407725863317,-0.012599987692503468,0.9999117145571361
insert_jc_fix_3,0,0.4,0.5,0.7732179994177961,-0.004363068507241048,-0.01277000385866406,0.9999089411714703
insert_jc_fix_3,0,0.4,1.0,0.7790639745110695,-0.004410506131238039,-0.01286159961404667,0.9999075590728546
insert_jc_fix_3,0,0.5,0.25,0.7613517939661728,-0.004219407725863317,-0.012599987692503468,0.9999117145571361
insert_jc_fix_3,0,0.5,0.5,0.7732179994177961,-0.004363068507241048,-0.01277000385866406,0.9999089411714703
insert_jc_fix_3,0,0.5,1.0,0.7790639745110695,-0.004410506131238039,-0.01286159961404667,0.9999075590728546
insert_jc_fix_3,0,0.6,0.25,0.7613517939661728,-0.004219407725863317,-0.012599987692503468,0.9999117145571361
insert_jc_fix_3,0,0.6,0.5,0.7732179994177961,-0.004363068507241048,-0.01277000385866406,0.9999089411714703
insert_jc_fix_3,0,0.6,1.0,0.7790639745110695,-0.004410506131238039,-0.01286159961404667,0.9999075590728546
insert_jc_fix_3,1,0.4,0.25,2.7707829190454274,0.04187460423795323,-0.024151924678910967,0.9988309176503394
insert_jc_fix_3,1,0.4,0.5,2.782527152734765,0.042140889301446605,-0.024099362234527043,0.9988209880598086
insert_jc_fix_3,1,0.4,1.0,2.789229908985467,0.04229175540171851,-0.024070720720270757,0.998815302160038
insert_jc_fix_3,1,0.5,0.25,2.769391514810545,0.041857959232369846,-0.02413223304091293,0.998832091283295
insert_jc_fix_3,1,0.5,0.5,2.777208699129715,0.04202475199714339,-0.024115573120874974,0.9988254899393739
insert_jc_fix_3,1,0.5,1.0,2.786468655265355,0.042232055146564466,-0.024078272837456758,0.9988176461673385
insert_jc_fix_3,1,0.6,0.25,2.769391514810545,0.041857959232369846,-0.02413223304091293,0.998832091283295
insert_jc_fix_3,1,0.6,0.5,2.777208699129715,0.04202475199714339,-0.024115573120874974,0.9988254899393739
insert_jc_fix_3,1,0.6,1.0,2.786468655265355,0.042232055146564466,-0.024078272837456758,0.9988176461673385
insert_jc_fix_3,2,0.4,0.25,3.217942659130018,0.005066041211664466,-0.055905103006060636,0.9984232342470419
insert_jc_fix_3,2,0.4,0.5,3.220784728290563,0.005301990649236633,-0.05593296678902235,0.9984204485693056
insert_jc_fix_3,2,0.4,1.0,3.2223998781074794,0.0054658359027996446,-0.05594547259577527,0.9984188643720224
insert_jc_fix_3,2,0.5,0.25,3.204651653188316,0.005230168644818527,-0.0556573633630688,0.9984362289297289
insert_jc_fix_3,2,0.5,0.5,3.214734650146986,0.005258574318584917,-0.05583117227835769,0.9984263756522862
insert_jc_fix_3,2,0.5,1.0,3.2194129393835818,0.005415131530443124,-0.05589811018209687,0.9984217934463261
insert_jc_fix_3,2,0.6,0.25,3.204651653188316,0.005230168644818527,-0.0556573633630688,0.9984362289297289
insert_jc_fix_3,2,0.6,0.5,3.214734650146986,0.005258574318584917,-0.05583117227835769,0.9984263756522862
insert_jc_fix_3,2,0.6,1.0,3.2194129393835818,0.005415131530443124,-0.05589811018209687,0.9984217934463261
insert_jc_fix_3,3,0.4,0.25,0.8320324456348365,-0.013776584051336463,0.004590298913198356,0.9998945618852839
insert_jc_fix_3,3,0.4,0.5,0.9786095063433354,-0.016582606377418155,0.004088246997548575,0.9998541410636946
insert_jc_fix_3,3,0.4,1.0,1.1828246652443044,-0.02036768748435397,0.0033584424412426324,0.9997869163831404
insert_jc_fix_3,3,0.5,0.25,0.8320324456348365,-0.013776584051336463,0.004590298913198356,0.9998945618852839
insert_jc_fix_3,3,0.5,0.5,0.9786095063433354,-0.016582606377418155,0.004088246997548575,0.9998541410636946
insert_jc_fix_3,3,0.5,1.0,1.1828246652443044,-0.02036768748435397,0.0033584424412426324,0.9997869163831404
