seed,episode,generator,input_tilt_deg,output_tilt_deg,success,phase6_frames
20260818,episode_0,baseline,0.0,0.019806558105455768,True,7
20260818,episode_10,pitch,14.999999999999998,15.252003764651663,True,7
20260818,episode_7,roll,14.999999999999998,15.100540339867678,True,6
20260818,episode_8,roll,14.999999999999998,14.963953744803078,True,6
20260818,episode_9,pitch,14.999999999999998,14.719768601334627,True,7
20270818,episode_0,baseline,0.0,0.01941986918224339,True,7
20270818,episode_10,pitch,14.999999999999998,15.015137974327383,True,7
20270818,episode_7,roll,14.999999999999998,15.12555687699286,True,7
20270818,episode_8,roll,14.999999999999998,14.925907278014657,True,8
20270818,episode_9,pitch,14.999999999999998,14.722032993617734,True,7
20280818,episode_0,baseline,0.0,0.02200573416168789,True,7
20280818,episode_10,pitch,14.999999999999998,15.049638334989199,True,7
20280818,episode_7,roll,14.999999999999998,15.146349346415189,True,7
20280818,episode_8,roll,14.999999999999998,14.797235404147019,True,8
20280818,episode_9,pitch,14.999999999999998,14.754953683595113,True,7
