normalized_grasp_time,mean_axis_separation_deg,pointwise_bootstrap_low_deg,pointwise_bootstrap_high_deg
0.0,3.3162398368552592,2.728976506714671,3.88993187389609
0.01,3.294553874807271,2.7078350935687703,3.8682770540322275
0.02,3.2763130383086034,2.6928914286836725,3.8480198372648107
0.03,3.2654399169638073,2.6874144057648386,3.8282123576649543
0.04,3.213502446981265,2.638055845053386,3.792447082797003
0.05,3.1657697606252166,2.591349321562909,3.729069900318559
0.06,3.054307758533472,2.488497135640135,3.629029827366137
0.07,2.925060237477403,2.3567615463961595,3.5204724260553557
0.08,2.7783617720240934,2.1669415014403786,3.4265629134734397
0.09,2.5983243878860733,1.9683812725660896,3.302226245308221
0.1,2.2778691689417685,1.5942922746221129,3.038147332697248
0.11,1.9377580625170745,1.1896089444805507,2.8222795514438688
0.12,1.724534497463801,0.8688170805179144,2.726213905485364
0.13,1.7740319525636432,0.7848801623003007,2.9050807740143023
0.14,2.033363073417971,0.9985051424155411,3.242449130137794
0.15,2.52364764536753,1.4609671255495318,3.7714525495062303
0.16,3.1091718558501054,2.0050030664845866,4.364420791901439
0.17,3.742520247545293,2.575126790271298,4.994224987830992
0.18,4.31748402501051,3.1068430386710215,5.59103996844941
0.19,4.779767337344769,3.5456883318027965,6.067237719015279
0.2,5.385345137282559,4.109056147828812,6.7121370115593955
0.21,5.890232967230559,4.595181801547869,7.219312832391091
0.22,6.4059894588404065,5.099361044679117,7.765008688061571
0.23,6.866623501143364,5.572904178059577,8.201390673036592
0.24,7.2672040777860785,5.984386687225711,8.572286165176017
0.25,7.649044726039488,6.405096448914039,8.93000298801159
0.26,7.924702473058331,6.715149387743119,9.152829570198307
0.27,8.245215835821185,7.076671531431403,9.401244754692986
0.28,8.529789143542908,7.411589284893788,9.630727139667018
0.29,8.78554589587651,7.7284095084698015,9.83992881870526
0.3,8.946268204277333,7.940842770965589,9.960028057356542
0.31,9.065934863808474,8.117047717863478,10.020239177180663
0.32,9.235310160492949,8.324741723104031,10.125150037346517
