phase,alpha_pitch_mean,seed_phase_mean_sd
align,0.6537975682064922,0.005306198675734856
enter,1.0107092934841324,0.001338773570945252
unlock,1.0005515909457945,0.0024856137312433274
insert,1.0018305405496566,0.00321151143460339
