sign,input_amplitude_deg,seed,predicted_peg_response_deg,actual_peg_response_deg,error_pred_minus_actual_deg
plus,10.0,20260910,9.986901731879355,10.041946791978743,-0.055045060099388365
plus,10.0,20270910,10.051080284942337,9.79423957924506,0.256840705697277
plus,10.0,20280910,10.016908718719336,9.752142325569606,0.2647663931497295
minus,-10.0,20260910,9.986901731604954,9.766349031469227,0.2205527001357268
minus,-10.0,20270910,10.051080284293054,9.990697013144464,0.06038327114858966
minus,-10.0,20280910,10.016908718413053,10.236707592047686,-0.2197988736346339
