episode,generator,scalar_error_mm_equiv,diagonal_error_mm_equiv
episode_0,yaw,8.905918605361302,0.18418094803156201
episode_1,yaw,4.468208652886154,0.07970800136952225
episode_3,yaw,4.45634711957415,0.21538266410510162
episode_4,yaw,8.927090423034205,0.35835778447192723
episode_5,translation,6.429252324466793,0.15905357648967475
episode_7,translation,6.489622124729469,0.07809701358499417
episode_9,translation,6.28355661681703,0.1780390944072595
episode_10,translation,6.5923775771641795,0.18020236838715947
