episode,condition_id,attempt_id,generator,steps,success,complete,max_contact_force_N,contact_frames,max_socket_drift_m,final_distance_m,final_axis_error_rad,final_key_clearance_m,dx,dy,dyaw,any_terminated,any_truncated,post_done_actions,stop_reason,solver_error
episode_0,0,0,yaw,391,True,True,0.0,0,0.0,0.010310402140021324,0.0007473165169358253,0.011692944914102554,0.0,0.0,-0.5235987755982988,True,False,0,terminated,
episode_1,1,0,yaw,388,True,True,0.0,0,0.0,0.011603273451328278,0.00794897973537445,0.01039765402674675,0.0,0.0,-0.2617993877991494,True,False,0,terminated,
episode_2,2,0,yaw,356,True,True,0.0,0,0.0,0.011342477053403854,0.00042488143662922084,0.010658029466867447,0.0,0.0,0.0,True,False,0,terminated,
episode_3,3,0,yaw,377,True,True,0.0,0,0.0,0.011535745114088058,0.00037052304833196104,0.01046544685959816,0.0,0.0,0.2617993877991494,True,False,0,terminated,
episode_4,4,0,yaw,389,True,True,0.0,0,0.0,0.010436481796205044,0.0008461792604066432,0.01157161220908165,0.0,0.0,0.5235987755982988,True,False,0,terminated,
episode_5,5,0,translation,365,True,True,22.680730293969138,46,0.0,0.011324839666485786,0.0003025513142347336,0.01067560538649559,-0.015,0.0,0.0,True,False,0,terminated,
episode_6,6,0,translation,333,True,True,0.0,0,0.0,0.011974361725151539,0.0048730457201600075,0.010031286627054214,0.015,0.0,0.0,True,False,0,terminated,
episode_7,7,0,translation,354,True,True,0.0,0,0.0,0.011349204927682877,0.0002935210068244487,0.01065138354897499,0.0,-0.015,0.0,True,False,0,terminated,
episode_8,8,0,translation,357,True,True,0.0,0,0.0,0.011341307312250137,0.00028633259353227913,0.010659348219633102,0.0,0.015,0.0,True,False,0,terminated,
episode_9,9,0,mixed,376,True,True,0.0,0,3.725290298461914e-09,0.011507585644721985,0.0007285847095772624,0.010493192821741104,-0.0023931185865242923,-0.0010791215800725062,-0.18657306469668755,True,False,0,terminated,
episode_10,10,0,mixed,372,True,True,0.0,0,3.725290298461914e-09,0.010171597823500633,0.0007416012813337147,0.01183035597205162,-0.0022283235571025524,-0.010246784663665433,-0.27645951677924374,True,False,0,terminated,
episode_11,11,0,mixed,439,False,True,76.08889903441975,134,0.0,0.05492423474788666,0.06301580369472504,-0.028146665543317795,0.0038875386126535627,0.011759554302412916,-0.03424688094341882,False,False,0,solver_returned,
episode_12,11,1,mixed,363,True,True,0.0,0,0.0,0.01135590672492981,0.00039820995880290866,0.010644655674695969,0.0038875386126535627,0.011759554302412916,-0.03424688094341882,True,False,0,terminated,
episode_13,12,0,mixed,392,True,True,2.406827840528255,4,0.0,0.011760859750211239,0.005525390617549419,0.010239411145448685,0.008713388927921128,-0.003174494924091142,-0.4797539782073512,True,False,0,terminated,
episode_14,13,0,mixed,355,True,True,0.0,0,3.725290298461914e-09,0.011768757365643978,0.0008097440004348755,0.010234054177999496,0.0029496725821234956,-0.011109129942626405,-0.31578453071810775,True,False,0,terminated,
episode_15,14,0,mixed,594,False,False,0.0,0,0.0,0.30633506178855896,1.5843039751052856,0.06839308142662048,-0.01132050548199724,0.0031447275593994104,0.18656551070753769,False,False,0,solver_exception,RuntimeError('motion planning failed')
episode_16,14,1,mixed,364,True,True,0.0,0,0.0,0.010003939270973206,0.0001720679720165208,0.011998068541288376,-0.01132050548199724,0.0031447275593994104,0.18656551070753769,True,False,0,terminated,
episode_17,15,0,mixed,374,True,True,21.47720672244805,15,3.725290298461914e-09,0.01153062004595995,0.0006841522990725935,0.010470028966665268,-0.005542401259478868,0.00032293439542781417,0.1333377524075764,True,False,0,terminated,
episode_18,16,0,mixed,352,True,True,0.0,0,7.450580596923828e-09,0.010035493411123753,0.0008218881557695568,0.011966738849878311,-0.0022334160048983077,-0.0012357486408763746,-0.2752020212045151,True,False,0,terminated,
episode_19,17,0,mixed,369,True,True,21.182558703605523,27,0.0,0.011147129349410534,0.001071029924787581,0.011229705065488815,0.0022465624784044486,-0.006905244765118781,-0.003963456565738155,True,False,0,terminated,
episode_20,18,0,mixed,584,False,False,0.0,0,0.0,0.4297497272491455,1.5843009948730469,0.06839290261268616,0.0015680678224564305,0.011519377382340677,-0.14347506968843726,False,False,0,solver_exception,RuntimeError('motion planning failed')
episode_21,18,1,mixed,370,True,True,0.0,0,0.0,0.011453298851847649,0.0008412672905251384,0.010547343641519547,0.0015680678224564305,0.011519377382340677,-0.14347506968843726,True,False,0,terminated,
episode_22,19,0,mixed,375,True,True,0.0,0,3.725290298461914e-09,0.01022899430245161,0.000696322531439364,0.011775504797697067,0.010362728597275557,-0.0007917488497382989,-0.39507205299764264,True,False,0,terminated,
episode_23,20,0,mixed,367,True,True,0.0,0,0.0,0.011457545682787895,0.0006916455458849669,0.010543067008256912,0.001202303376842826,-0.002872683158953766,-0.1610041259052088,True,False,0,terminated,
episode_24,21,0,mixed,358,True,True,0.0,0,7.450580596923828e-09,0.011875225231051445,0.0004348721413407475,0.010127771645784378,0.005460533610843841,-0.009176065566340208,-0.36630729949089225,True,False,0,terminated,
episode_25,22,0,mixed,380,True,True,0.0,0,3.725290298461914e-09,0.011631003580987453,0.0005864848499186337,0.010370094329118729,-0.01019785503635493,0.011887546132995197,0.33840644592155844,True,False,0,terminated,
