phase,phase_code,phase_progress,global_bin,alpha_x,alpha_y,alpha_yaw,alpha_x_ci_low,alpha_x_ci_high,alpha_y_ci_low,alpha_y_ci_high,alpha_yaw_ci_low,alpha_yaw_ci_high,off_diagonal_fro
Align keyed,3,0.0,0,-0.012897311015568211,0.014258983210414135,-0.003273252779620317,-0.04845059252549104,0.029467171467447355,-0.06246707698309259,0.0933138223881613,-0.00788554592427464,0.002554374239215442,0.3068068929359656
Align keyed,3,0.041666666666666664,1,-0.02827894724543684,-0.040012262201232295,0.0037241452960078414,-0.05915883413563535,0.007171219536443591,-0.1484069899175718,0.05686219381627973,-0.016429754787594775,0.02586708635425417,0.47879865942630967
Align keyed,3,0.08333333333333333,2,-0.06753690645443602,-0.217392401556194,0.029414644852385985,-0.20476969904379547,0.04382269059994164,-0.7001897553831832,0.0674927970439435,-0.07923731694095858,0.13743800268397016,2.7951258820769254
Align keyed,3,0.125,3,-0.07861364621731962,-0.4257520454026666,0.0731465323420819,-0.3248308643000376,0.1394523764672411,-1.4041062032702878,0.11161548164383081,-0.1607181818614005,0.3026267132465749,6.186920940763876
Align keyed,3,0.16666666666666666,4,-0.0241263654198898,-0.562310252178407,0.12953613761261717,-0.3052852683576467,0.27583956314192143,-1.9248831615443291,0.19741752121650524,-0.22992696082017441,0.48030133067546615,9.537495249612892
Align keyed,3,0.20833333333333334,5,0.083376154958276,-0.6230282621045923,0.20198415597641528,-0.2253620139001717,0.4919007876882565,-2.24617187950285,0.30379205423405115,-0.28537372223990604,0.6704827849008552,12.796012688308997
Align keyed,3,0.25,6,0.23945068141207693,-0.6008662764118382,0.28643560067116347,-0.17101234525872305,0.8056474267738821,-2.3621938437379306,0.4468116205258115,-0.32884927031301603,0.8718083989951744,16.06077074655024
Align keyed,3,0.2916666666666667,7,0.4264187283634639,-0.503329973792438,0.38053491187857347,-0.1316203912077685,1.1251599476213048,-2.2636629691757615,0.6003259446701548,-0.361302556987175,1.0772256579257171,19.235348708071605
Align keyed,3,0.3333333333333333,8,0.618815942986795,-0.33604188069264573,0.4864853427326956,-0.086481972112319,1.5052593457491668,-1.9664125212005616,0.7651609679143102,-0.38120885027389,1.2917778381860017,22.416761006273326
Align keyed,3,0.375,9,0.8003913086999986,-0.11728494892608314,0.592728005071919,-0.005757554485715601,1.9212180132733496,-1.498526816478616,0.9244664178097801,-0.39927794705269626,1.5049366912963194,25.492673780455704
Align keyed,3,0.4166666666666667,10,0.9734420765862578,0.14468895781642735,0.6964843617457568,0.12029630199804621,2.2192776143456823,-0.9049746691132888,1.0723022024294493,-0.4196284259714739,1.716497738254147,28.511108267484566
Align keyed,3,0.4583333333333333,11,1.1361503608707757,0.4304167299652764,0.7941941904297494,0.2713080758300447,2.462006604829505,-0.25898843688666384,1.2141847810755968,-0.44505975671443054,1.9237313518941128,31.590823056295005
Align keyed,3,0.5,12,1.2662920193821339,0.7184814286705917,0.8797839366011004,0.43463567085343247,2.6682699734071207,0.3556542060040798,1.3853761772926054,-0.48665571809513275,2.1192703644095374,34.6074487281848
Align keyed,3,0.5416666666666666,13,1.350070868931668,0.9790006441511998,0.9530936430605728,0.5603759232380655,2.715752117012703,0.6436377006333502,1.544837014039447,-0.5422712799463355,2.304319956211308,37.584425824714124
Align keyed,3,0.5833333333333334,14,1.3822049103720322,1.2036685293409746,1.0119581515781597,0.670215966414619,2.6525215815658396,0.7544904494973133,1.8740030224235398,-0.6079429717516895,2.47273757312936,40.64474933751182
Align keyed,3,0.625,15,1.3745881574718477,1.3849912133584408,1.0580190149330413,0.759629175556455,2.4870550594109027,0.8477013722367686,2.242730636777272,-0.6875968837864003,2.628469256340966,43.56875030873463
Align keyed,3,0.6666666666666666,16,1.3397770895502579,1.5112896647711693,1.092157740354999,0.8421401005375921,2.2468506020949337,0.9198715597882523,2.5138578540920085,-0.7762244018592195,2.77486671112139,46.54271840279722
Align keyed,3,0.7083333333333334,17,1.280150094496825,1.5771723426965842,1.1165908377807625,0.899539898482053,1.9776347408975867,0.9727796422799527,2.581892343418117,-0.8733281717319246,2.9107241194129903,49.58032623452167
Align keyed,3,0.75,18,1.204537703583075,1.5743802781710483,1.133921182143638,0.9316154329558752,1.6486223250985335,1.0060301771184867,2.523211495595296,-0.9777973250191231,3.042656846809585,52.683114924601675
Align keyed,3,0.7916666666666666,19,1.1150308053273064,1.5037441303773758,1.1481234954696689,0.9428014410874638,1.3643978005179462,1.016444598859605,2.3208922159238203,-1.0831579683237744,3.17336801718161,55.905130066980504
