seed,subset_id,sample_size,variant,component_candidates,cv_n_init,final_n_init,fit_success,fit_error,fit_seconds,task_error_mean_mm_equiv,n_components
20270818,20,5,expanded-K,"(2, 3, 4)",2,5,True,,0.531098801176995,8.47158612063263,2
20270818,20,5,full-EM,"(2, 3, 4)",5,10,True,,1.0782962338998914,8.47158612063263,2
20270818,21,5,expanded-K,"(2, 3, 4)",2,5,True,,0.5028101205825806,8.917954266896029,2
20270818,21,5,full-EM,"(2, 3, 4)",5,10,True,,1.1408391930162907,8.917954266896029,2
20270818,22,5,expanded-K,"(2, 3, 4)",2,5,True,,0.5201226188801229,10.393291701490812,4
20270818,22,5,full-EM,"(2, 3, 4)",5,10,True,,0.9442778271622956,8.512148276468556,2
20270818,23,5,expanded-K,"(2, 3, 4)",2,5,True,,0.5107806175947189,4.3391060032130095,3
20270818,23,5,full-EM,"(2, 3, 4)",5,10,True,,1.1021101311780512,8.545983994185782,2
20270818,24,5,expanded-K,"(2, 3, 4)",2,5,True,,0.4303535087965429,8.382998591712653,2
20270818,24,5,full-EM,"(2, 3, 4)",5,10,True,,0.9600874837487936,8.382998591712653,2
20270818,60,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,2.33517900807783,2.9498876914492804,4
20270818,61,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,2.0746450521983206,3.1446819444383243,4
20270818,62,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,1.767888508271426,4.3947037719740765,3
20270818,63,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,1.9750527068972588,5.263412953284253,3
20270818,64,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,2.368283610790968,3.9186912493072255,6
