task,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,e_alpha,m_prismatic_correct,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
libero_drawer,20260818,2,random,8,2,Frame-weighted (SE(3)),True,,0.006337266997434199,0.08278204850562962,False,0.21767735338336286,0.21767735338336286,0.21767735338336286,0.21767735338336286,0.21767735338336286,0.21767735338336286
libero_drawer,20260818,2,random,8,2,Full operator (SE(3)),True,,0.0006272309692576528,7.77946856808319e-10,True,0.9999106803769284,0.0,0.0,0.0,0.0,0.0
libero_drawer,20260818,2,random,8,2,Pdiag pointwise (SE(3)),True,,0.016327101970091462,2.0544255828643217e-31,True,0.9999999999999986,0.0,0.0,0.0,0.0,0.0
libero_drawer,20260818,2,random,8,2,Pdiag finite (SE(3)),True,,9.406680267071351,4.473354426785523e-06,True,1.0013085345901063,3.1064793253686177e-09,1.319607397165805e-08,4.342766677192335e-09,6.478713933579322e-09,2.5318718145225805e-09
libero_drawer,20260818,4,qualified,8,1,Frame-weighted (SE(3)),True,,0.002122327918186784,0.08130443366512935,False,0.17541610252113043,0.17541610252113043,0.17541610252113043,0.17541610252113043,0.17541610252113043,0.17541610252113043
libero_drawer,20260818,4,qualified,8,1,Full operator (SE(3)),True,,0.00031365593895316124,2.49467641850396e-10,True,0.9999494199764326,0.0,0.0,0.0,0.0,0.0
libero_drawer,20260818,4,qualified,8,1,Pdiag pointwise (SE(3)),True,,0.005132805905304849,5.754429907877911e-32,True,0.9999999999999992,0.0,0.0,0.0,0.0,0.0
libero_drawer,20260818,4,qualified,8,1,Pdiag finite (SE(3)),True,,11.826068627997302,0.0009446112973437849,True,0.9082816222272199,1.7357246094652029e-10,4.607839184701495e-10,3.808764108287327e-09,4.733564039758712e-09,1.9147436783265733e-09
libero_drawer,20260818,5,qualified,8,2,Frame-weighted (SE(3)),True,,0.006317190011031926,0.08858426103149965,False,0.2785560089724771,0.2785560089724771,0.2785560089724771,0.2785560089724771,0.2785560089724771,0.2785560089724771
libero_drawer,20260818,5,qualified,8,2,Full operator (SE(3)),True,,0.0006065779598429799,2.9593439580949948e-08,True,0.9994491039745688,0.0,0.0,0.0,0.0,0.0
libero_drawer,20260818,5,qualified,8,2,Pdiag pointwise (SE(3)),True,,0.01607562496792525,1.8069154985322064e-32,True,0.9999999999999996,0.0,0.0,0.0,0.0,0.0
libero_drawer,20260818,5,qualified,8,2,Pdiag finite (SE(3)),True,,14.09918659098912,6.345929667128032e-05,True,1.0327003551245038,2.104269135326374e-07,1.4225460707922477e-07,1.247694059173169e-06,6.328654280036733e-08,2.7959487032325542e-08
libero_drawer,20260818,3,qualified,8,0,Frame-weighted (SE(3)),True,,0.006337474915198982,0.0826215936097671,False,0.11841896369801096,0.11841896369801096,0.11841896369801096,0.11841896369801096,0.11841896369801096,0.11841896369801096
libero_drawer,20260818,3,qualified,8,0,Full operator (SE(3)),True,,0.0006246819393709302,6.652116345101643e-08,True,0.9991740536568994,0.0,0.0,0.0,0.0,0.0
libero_drawer,20260818,3,qualified,8,0,Pdiag pointwise (SE(3)),True,,0.016181619022972882,1.393070869611467e-31,True,0.9999999999999988,0.0,0.0,0.0,0.0,0.0
libero_drawer,20260818,3,qualified,8,0,Pdiag finite (SE(3)),True,,14.107365412055515,0.0004317530360523411,True,1.073979738224506,7.574549314759482e-09,5.451264021091174e-09,8.83314369107207e-09,8.214817893762296e-09,5.729248201550593e-09
libero_drawer,20260818,1,random,8,1,Frame-weighted (SE(3)),True,,0.006424925988540053,0.08170506756218915,False,0.19425861493234994,0.19425861493234994,0.19425861493234994,0.19425861493234994,0.19425861493234994,0.19425861493234994
libero_drawer,20260818,1,random,8,1,Full operator (SE(3)),True,,0.0006287049036473036,3.3435870970451292e-09,True,0.9998148267552107,0.0,0.0,0.0,0.0,0.0
libero_drawer,20260818,1,random,8,1,Pdiag pointwise (SE(3)),True,,0.01609203196130693,4.767639577330602e-33,True,1.0,0.0,0.0,0.0,0.0,0.0
libero_drawer,20260818,1,random,8,1,Pdiag finite (SE(3)),True,,21.309779554023407,5.760581244728841e-06,True,1.0000989714937325,1.2186117544469892e-08,1.123339314166897e-08,6.9057487628614195e-09,3.769016010210183e-08,5.392979251698836e-09
libero_drawer,20260818,0,random,8,0,Frame-weighted (SE(3)),True,,0.006450816988945007,0.0842534852844087,False,0.23820035212383867,0.23820035212383867,0.23820035212383867,0.23820035212383867,0.23820035212383867,0.23820035212383867
libero_drawer,20260818,0,random,8,0,Full operator (SE(3)),True,,0.0006125218933448195,4.452353408214358e-10,True,0.999932428006568,0.0,0.0,0.0,0.0,0.0
libero_drawer,20260818,0,random,8,0,Pdiag pointwise (SE(3)),True,,0.016024737036786973,1.1151776354650225e-32,True,0.9999999999999997,0.0,0.0,0.0,0.0,0.0
libero_drawer,20260818,0,random,8,0,Pdiag finite (SE(3)),True,,23.319664426962845,2.2051545460638516e-06,True,1.0038669129475992,5.128200942843017e-09,1.383115951544205e-07,1.675202876771601e-07,3.227421849223783e-08,6.123810246035964e-09
libero_drawer,20260818,11,qualified,15,2,Frame-weighted (SE(3)),True,,0.006461389944888651,0.0847752603531733,False,0.24418366791994325,0.24418366791994325,0.24418366791994325,0.24418366791994325,0.24418366791994325,0.24418366791994325
libero_drawer,20260818,11,qualified,15,2,Full operator (SE(3)),True,,0.0006073690019547939,3.5589539151025714e-11,True,0.9999808956133717,0.0,0.0,0.0,0.0,0.0
