model,sample_size,alpha_active_du,alpha_active_dv,alpha_active_yaw
TP-GMM additive,8,0.996224321688291,0.004305525977758809,0.002611922307785649
TP-GMM SE(2),8,0.9629601978784069,0.0048665072854657725,0.006076799309108419
TP-GMM additive,15,0.9972193886133527,0.004359359487507104,0.007240911359056943
TP-GMM SE(2),15,0.9253781150550418,0.00366691691511201,0.004775821323249501
TP-GMM additive,30,0.9979189169031604,0.003568898486025355,0.0017563587258975439
TP-GMM SE(2),30,0.9685656437539644,0.0047013040866044605,0.009616460161262316
