seed,subset_id,sample_size,variant,component_candidates,cv_n_init,final_n_init,fit_success,fit_error,fit_seconds,task_error_mean_mm_equiv,n_components
20300818,20,5,expanded-K,"(2, 3, 4)",2,5,True,,2.9936782410368323,8.005141159700752,2
20300818,20,5,full-EM,"(2, 3, 4)",5,10,True,,4.764780960045755,8.005141159700752,2
20300818,21,5,expanded-K,"(2, 3, 4)",2,5,True,,2.173427341040224,8.809726935614606,2
20300818,21,5,full-EM,"(2, 3, 4)",5,10,True,,5.724400656297803,8.809726935614606,2
20300818,22,5,expanded-K,"(2, 3, 4)",2,5,True,,2.815713726915419,9.420293262986535,2
20300818,22,5,full-EM,"(2, 3, 4)",5,10,True,,6.6930477186106145,9.420293262986535,2
20300818,23,5,expanded-K,"(2, 3, 4)",2,5,True,,2.4984912062063813,9.1123901743585,2
20300818,23,5,full-EM,"(2, 3, 4)",5,10,True,,4.541341572999954,9.1123901743585,2
20300818,24,5,expanded-K,"(2, 3, 4)",2,5,True,,1.5743282558396459,8.389452423611925,2
20300818,24,5,full-EM,"(2, 3, 4)",5,10,True,,3.1519998079165816,8.389452423611925,2
20300818,60,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,9.411424609832466,3.0880986774509687,4
20300818,61,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,11.74190448783338,2.986889629353558,4
20300818,62,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,10.779514118097723,2.095086125342647,6
20300818,63,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,11.424529674928635,4.476718517979315,3
20300818,64,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,11.59272627858445,3.77724364403554,6
