seed,episode,condition,input_tilt_deg,success,phase6_frames,has_phase6,solver_error,hand_all_x,hand_all_y,hand_all_z,peg_all_x,peg_all_y,peg_all_z,hand_last_half_x,hand_last_half_y,hand_last_half_z,peg_last_half_x,peg_last_half_y,peg_last_half_z,hand_last_frame_x,hand_last_frame_y,hand_last_frame_z,peg_last_frame_x,peg_last_frame_y,peg_last_frame_z,mean_hand_peg_axis_gap_deg
20260910,episode_0,baseline,0.0,True,7,True,,-0.00029992767203906114,0.002021533007169839,0.9999979117216657,0.00027029591256408467,0.00020552656516060897,0.9999999423494736,-0.0004658886590501371,0.0020363543248736542,0.9999978181020301,0.00010701592670794267,0.0002192669719622494,0.9999999702347928,-0.0005551504243735629,0.002042387293482541,0.9999977602285666,2.0424285551769438e-05,0.00022319678590958052,0.9999999748830214,0.10905875717234861
20260910,episode_1,roll_minus,10.0,True,7,True,,-0.006339451720170845,0.14976441635049878,0.9887013861359162,0.00019520039182817573,0.17427022513539198,0.9846978473258011,-0.006507728447436365,0.1497622170595206,0.988700625979306,-4.695747518189694e-06,0.17437089445994963,0.9846800450619415,-0.006592516738274608,0.14969600501630861,0.9887100913843314,-0.0001298074242413349,0.17445343301923572,0.9846654167065256,1.4711826506065786
20260910,episode_2,roll_plus,10.0,True,7,True,,0.009886416091525933,-0.16650808331828645,0.9859905257995817,0.0037466405033514025,-0.17071139110327432,0.9853139518105504,0.009769750975082965,-0.1664888053700248,0.9859949440298094,0.0036270923842468303,-0.17069186045602283,0.9853177827355486,0.009676000943836258,-0.16640785230708485,0.9860095342826449,0.003526947043128988,-0.17061090908318213,0.9853321665034412,0.42808291890953
20260910,episode_3,pitch_minus,10.0,True,7,True,,-0.1834875048527852,-0.0266362025058848,0.9826611055083867,-0.16935208702643212,0.0022409659509382554,0.9855530674151436,-0.18356980587134497,-0.026557424252345346,0.9826478665266809,-0.16942539159853665,0.00232584778605144,0.9855402716854134,-0.18367914617402809,-0.026336346267282644,0.9826333843942358,-0.1695252254888415,0.002553696176546588,0.9855225398532473,1.8496466168631616
20260910,episode_4,pitch_plus,10.0,True,7,True,,0.1473598341547277,0.02152092410230639,0.9888487898074578,0.1746332492405547,0.0010412189258015383,0.9846329997124994,0.147205226421132,0.021517316196588625,0.9888718958581032,0.17447996738668486,0.0010364596859685155,0.9846601783011543,0.14711903060083684,0.02155241848643007,0.9888839588609252,0.17438154564827343,0.0010772490545111022,0.9846775695992033,1.969130678837938
20270910,episode_0,baseline,0.0,True,6,True,,-0.0017820423064451045,-0.006638018142933571,0.9999763802412295,0.004583984880681712,0.0023945710890547213,0.9999866264665309,-0.0022922233140304483,-0.006830751672101879,0.9999740429350518,0.00407346623091333,0.002201714745640735,0.9999892796050588,-0.002853671388975508,-0.007042026423068947,0.9999711327950725,0.0035146612579568413,0.0019883678011420286,0.9999918467416268,0.6331515956249977
20270910,episode_1,roll_minus,10.0,True,7,True,,-0.004525557273942424,0.21091989565224425,0.9774928730939201,0.0032889643029191395,0.17492911801067945,0.984575536150386,-0.0046934733150492385,0.21091642148890166,0.9774928308967574,0.0031199390736908056,0.1749198363336881,0.9845777352942592,-0.004774330037163481,0.21083289957606,0.9775104573502257,0.003045221434965193,0.17483104803372793,0.9845937391989859,2.1489598193501043
20270910,episode_2,roll_plus,10.0,True,6,True,,0.004032388735074146,-0.1797974278616469,0.9836953922711161,0.004645326716914485,-0.17191676218133317,0.9851005267589599,0.003482582167680013,-0.17988749158373876,0.9836810265493362,0.0041024827011208465,-0.17200650580123858,0.9850872710565981,0.0028998988078394647,-0.18000792980801628,0.9836608845497196,0.0035218078465706244,-0.17212568707762232,0.9850687005064916,0.45999400163434756
20270910,episode_3,pitch_minus,10.0,True,7,True,,-0.16579141400670405,0.01501697469954796,0.9860464986563923,-0.16896554674057768,0.0008662891169099675,0.9856215772586473,-0.1661985750233267,0.014731184307346035,0.9859822644800051,-0.1692465385837916,0.0006816020123926863,0.9855735104983808,-0.16692220268463245,0.0142882279786878,0.9858665349793244,-0.1698612145249904,-0.00040685763683259333,0.9854679103182196,0.8315580010101915
20270910,episode_4,pitch_plus,10.0,True,7,True,,0.1664564388877142,0.028956399178586112,0.9856235492820933,0.17462175066907243,0.001182166162839493,0.9846348798800658,0.16630009351762565,0.028952952883523123,0.9856500420612548,0.17446397475400888,0.001174972924733102,0.9846628564903109,0.16621382095436013,0.02898202088299238,0.9856637399180765,0.17438100058554448,0.0011831036444436404,0.9846775446310081,1.6597158959495617
20280910,episode_0,baseline,0.0,True,6,True,,-0.006438818186394995,-0.018968041023507586,0.9997993573913183,0.00454873363210793,0.0023436988389903897,0.9999869079633474,-0.006947633254752001,-0.01915487831448325,0.999792388963286,0.004057178836500693,0.0021591867547828686,0.9999894385504512,-0.007505436894085284,-0.01935766245982477,0.9997844514299672,0.003517812839332591,0.0019589275800421108,0.9999918937649264,1.3738799701699282
20280910,episode_1,roll_minus,10.0,True,7,True,,-0.0022106768940485305,0.16249860686689593,0.9867062965614378,0.000923244686961634,0.17504172990656205,0.9845605823973282,-0.002377725344825244,0.16249066363966805,0.9867072162765026,0.0007906148218971067,0.1749145982466959,0.9845832916764332,-0.0024600201487131293,0.16241396572014508,0.9867196420665414,0.00043719927309828133,0.1756042458976607,0.9844607446107284,0.7513338461090108
20280910,episode_2,roll_plus,10.0,True,6,True,,0.004310272294954906,-0.15654217102146212,0.9876618704013185,0.005082837482523114,-0.1719305313763486,0.9850959634186777,0.004113694946350048,-0.15650460972459573,0.987668661368194,0.00485039476320986,-0.17197163789933453,0.9850899600690595,0.003998949049062154,-0.1564690546524136,0.9876747659744493,0.004635616608603919,-0.17212594546642676,0.9850640435808967,0.8950079912483307
20280910,episode_3,pitch_minus,10.0,True,8,True,,-0.17574180378927895,-0.012933630921696696,0.9843513293494717,-0.17321908759867982,-0.00022061605514869624,0.9848832920808622,-0.17586896226464765,-0.012909197671675464,0.9843289392918557,-0.17328974523936122,3.271767410069666e-05,0.984870886524945,-0.17581221024808072,-0.012847931240084749,0.9843398790004064,-0.17318995167406487,0.00033419929786498493,0.9848883840060073,0.7432512742353059
20280910,episode_4,pitch_plus,10.0,True,7,True,,0.16630396124661126,-0.02004162385603124,0.9858708464027622,0.17385947814192562,0.0006487685200645734,0.9847702579584868,0.1661305897423512,-0.020007891104882755,0.9859007614589786,0.17369556639381883,0.0007169293334237991,0.9847991349648217,0.16603445948980258,-0.019991920279581025,0.9859172791798835,0.17359527562654284,0.0008216598128818361,0.9848167368375177,1.2636407441316382
