seed,condition,input_tilt_deg,success,hand_all_response_deg,hand_last_half_response_deg,hand_last_frame_response_deg,peg_all_response_deg,peg_last_half_response_deg,peg_last_frame_response_deg
20260910,roll_minus,10.0,True,8.504606483241583,8.503640575666257,8.499453189697814,10.024417564495206,10.029489093215188,10.034068384169085
20260910,roll_plus,10.0,True,9.718538991768355,9.718433469781344,9.714062825068412,9.843019509139769,9.842720374184186,9.838221507177103
20260910,pitch_minus,10.0,True,10.685349134733254,10.680117884035463,10.679438074761835,9.766349031469227,9.761306519329105,9.762319772326624
20260910,pitch_plus,10.0,True,8.565580789706305,8.565988127904822,8.566328435534546,10.041946791978743,10.04237763211508,10.041622362764677
20270910,roll_minus,10.0,True,12.557643584309462,12.568248839279786,12.575178716120448,9.93758704109378,9.947977682561874,9.954930173626837
20270910,roll_plus,10.0,True,9.983251775724213,9.977364929054227,9.972218925244949,10.036484144272483,10.03065248765106,10.025359802330811
20270910,pitch_minus,10.0,True,9.52310212054176,9.516853433972495,9.52489378741301,9.990697013144464,9.977778820782529,9.98206467557337
20270910,pitch_plus,10.0,True,9.899301006235493,9.921250937274435,9.950676379988039,9.79423957924506,9.814241502838554,9.841364704945743
20280910,roll_minus,10.0,True,10.441558664416192,10.452264076222136,10.46013490932132,9.94893136030834,9.951704459604532,10.003119122826128
20280910,roll_plus,10.0,True,7.94332535509972,7.93187065700633,7.920287042807359,10.034427862506845,10.026308186125053,10.023916274524932
20280910,pitch_minus,10.0,True,9.758568625622635,9.737246954863314,9.702553409631003,10.236707592047686,10.212326343931016,10.17531686124216
20280910,pitch_plus,10.0,True,9.942213317649516,9.96120255852821,9.987503939165657,9.752142325569606,9.77063774205924,9.795575680519335
