pair_key,family,claim,source_task,target_task,seed,sample_size,repeat,method,target_nominal_trajectories,target_interventions_for_fit,target_interventions_for_validation,source_sample_size,fit_success,fit_error,fit_seconds,m_transfer_correct,e_alpha,heldout_prediction_mse,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
drawer_to_plate_push,one_axis_sliding,rail/sliding du relevance transfers across articulated drawer and free plate push,drawer_middle_open,plate_front_push,20270818,5,0,Ours transfer: source Pdiag N=30 + target nominal N=1,1,0,5,30,True,,0.0,True,1.3524771462458858e-05,6.029002748224576e-10,1.0097723097953395,1.937481014268744e-06,2.7912150801366443e-06,9.483715033385334e-06,1.2190012337109384e-05,6.5874770782379e-06
drawer_to_plate_push,one_axis_sliding,rail/sliding du relevance transfers across articulated drawer and free plate push,drawer_middle_open,plate_front_push,20270818,5,0,Frame-weighted target scratch,0,5,0,0,True,,0.005712268059141934,False,0.10041726869084712,5.078060042349132e-06,0.3476202175239808,0.3476202175239808,0.3476202175239808,0.3476202175239808,0.3476202175239808,0.3476202175239808
drawer_to_plate_push,one_axis_sliding,rail/sliding du relevance transfers across articulated drawer and free plate push,drawer_middle_open,plate_front_push,20270818,5,0,Phase scalar GP target scratch,0,5,0,0,True,,0.12628476996906102,False,0.10041663786258591,5.078041155879021e-06,0.35026361109986437,0.35026361109986437,0.35026361109986437,0.35026361109986437,0.35026361109986437,0.35026361109986437
drawer_to_plate_push,one_axis_sliding,rail/sliding du relevance transfers across articulated drawer and free plate push,drawer_middle_open,plate_front_push,20270818,5,0,Pdiag finite target scratch,0,5,0,0,True,,0.45613364898599684,True,1.3556769136721054e-05,1.3412811236016236e-07,1.011153100010364,4.824328419286035e-06,6.049098322729231e-06,8.166766459920001e-06,1.7194630547521625e-05,1.1472330283241086e-05
drawer_to_plate_push,one_axis_sliding,rail/sliding du relevance transfers across articulated drawer and free plate push,drawer_middle_open,plate_front_push,20270818,8,0,Ours transfer: source Pdiag N=30 + target nominal N=1,1,0,8,30,True,,0.0,True,1.3524771462458858e-05,6.532626644468175e-10,1.0097723097953395,1.937481014268744e-06,2.7912150801366443e-06,9.483715033385334e-06,1.2190012337109384e-05,6.5874770782379e-06
drawer_to_plate_push,one_axis_sliding,rail/sliding du relevance transfers across articulated drawer and free plate push,drawer_middle_open,plate_front_push,20270818,8,0,Frame-weighted target scratch,0,8,0,0,True,,0.004036538070067763,False,0.08134197520951143,4.804084883671952e-06,0.15480417995984466,0.15480417995984466,0.15480417995984466,0.15480417995984466,0.15480417995984466,0.15480417995984466
drawer_to_plate_push,one_axis_sliding,rail/sliding du relevance transfers across articulated drawer and free plate push,drawer_middle_open,plate_front_push,20270818,8,0,Phase scalar GP target scratch,0,8,0,0,True,,0.11961927602533251,False,0.08134236835079271,4.804113679746542e-06,0.15598135077603628,0.15598135077603628,0.15598135077603628,0.15598135077603628,0.15598135077603628,0.15598135077603628
drawer_to_plate_push,one_axis_sliding,rail/sliding du relevance transfers across articulated drawer and free plate push,drawer_middle_open,plate_front_push,20270818,8,0,Pdiag finite target scratch,0,8,0,0,True,,0.6876092149177566,True,6.14733268189554e-05,1.324816245903745e-07,0.9880471190774391,5.558408162226815e-06,4.814746495252999e-06,1.8908342899722555e-05,2.257120570095596e-05,9.33181694785542e-06
drawer_to_plate_push,one_axis_sliding,rail/sliding du relevance transfers across articulated drawer and free plate push,drawer_middle_open,plate_front_push,20280818,3,0,Ours transfer: source Pdiag N=30 + target nominal N=1,1,0,3,30,True,,0.0,True,1.3524771462458858e-05,6.697679518694278e-10,1.0097723097953395,1.937481014268744e-06,2.7912150801366443e-06,9.483715033385334e-06,1.2190012337109384e-05,6.5874770782379e-06
drawer_to_plate_push,one_axis_sliding,rail/sliding du relevance transfers across articulated drawer and free plate push,drawer_middle_open,plate_front_push,20280818,3,0,Frame-weighted target scratch,0,3,0,0,True,,0.003998542088083923,False,0.09228602566955511,4.875557329375195e-06,0.029384924809982473,0.029384924809982473,0.029384924809982473,0.029384924809982473,0.029384924809982473,0.029384924809982473
