model,task_key,family,sample_size,accuracy,sum,count
Pdiag pointwise (SE(3)),stove_knob_turn,revolute_knob,15,1.0,18,18
Pdiag finite (SE(3)),stove_knob_turn,revolute_knob,15,1.0,18,18
Frame-weighted (SE(3)),stove_knob_turn,revolute_knob,30,0.0,0,18
Phase scalar GP (SE(3)),stove_knob_turn,revolute_knob,30,0.0,0,18
TP-GMM additive (SE(3)),stove_knob_turn,revolute_knob,30,1.0,18,18
TP-GMM SE(3),stove_knob_turn,revolute_knob,30,1.0,18,18
Full operator (SE(3)),stove_knob_turn,revolute_knob,30,1.0,18,18
Pdiag pointwise (SE(3)),stove_knob_turn,revolute_knob,30,1.0,18,18
Pdiag finite (SE(3)),stove_knob_turn,revolute_knob,30,1.0,18,18
Frame-weighted (SE(3)),microwave_door_revolute,revolute_door,8,0.0,0,18
Phase scalar GP (SE(3)),microwave_door_revolute,revolute_door,8,0.0,0,18
TP-GMM additive (SE(3)),microwave_door_revolute,revolute_door,8,1.0,18,18
TP-GMM SE(3),microwave_door_revolute,revolute_door,8,1.0,18,18
Full operator (SE(3)),microwave_door_revolute,revolute_door,8,1.0,18,18
Pdiag pointwise (SE(3)),microwave_door_revolute,revolute_door,8,1.0,18,18
Pdiag finite (SE(3)),microwave_door_revolute,revolute_door,8,1.0,18,18
Frame-weighted (SE(3)),microwave_door_revolute,revolute_door,15,0.0,0,18
Phase scalar GP (SE(3)),microwave_door_revolute,revolute_door,15,0.0,0,18
TP-GMM additive (SE(3)),microwave_door_revolute,revolute_door,15,1.0,18,18
TP-GMM SE(3),microwave_door_revolute,revolute_door,15,1.0,18,18
Full operator (SE(3)),microwave_door_revolute,revolute_door,15,1.0,18,18
Pdiag pointwise (SE(3)),microwave_door_revolute,revolute_door,15,1.0,18,18
Pdiag finite (SE(3)),microwave_door_revolute,revolute_door,15,1.0,18,18
Frame-weighted (SE(3)),microwave_door_revolute,revolute_door,30,0.0,0,18
Phase scalar GP (SE(3)),microwave_door_revolute,revolute_door,30,0.0,0,18
TP-GMM additive (SE(3)),microwave_door_revolute,revolute_door,30,1.0,18,18
TP-GMM SE(3),microwave_door_revolute,revolute_door,30,1.0,18,18
Full operator (SE(3)),microwave_door_revolute,revolute_door,30,1.0,18,18
Pdiag pointwise (SE(3)),microwave_door_revolute,revolute_door,30,1.0,18,18
Pdiag finite (SE(3)),microwave_door_revolute,revolute_door,30,1.0,18,18
Frame-weighted (SE(3)),plate_front_push,planar_one_axis_push,8,0.0,0,18
Phase scalar GP (SE(3)),plate_front_push,planar_one_axis_push,8,0.0,0,18
