seed,subset_id,sample_size,variant,component_candidates,cv_n_init,final_n_init,fit_success,fit_error,fit_seconds,task_error_mean_mm_equiv,n_components
20260818,20,5,expanded-K,"(2, 3, 4)",2,5,True,,3.5284284092485905,8.192474379736158,2
20260818,20,5,full-EM,"(2, 3, 4)",5,10,True,,8.728823863901198,8.192474379736158,2
20260818,21,5,expanded-K,"(2, 3, 4)",2,5,True,,4.124383168295026,8.733249150790169,2
20260818,21,5,full-EM,"(2, 3, 4)",5,10,True,,8.905470067635179,8.733249883392626,2
20260818,22,5,expanded-K,"(2, 3, 4)",2,5,True,,3.3256320282816887,10.284801825882614,4
20260818,22,5,full-EM,"(2, 3, 4)",5,10,True,,6.032354678958654,8.413914464706414,2
20260818,23,5,expanded-K,"(2, 3, 4)",2,5,True,,3.853947150055319,4.099746557797751,4
20260818,23,5,full-EM,"(2, 3, 4)",5,10,True,,9.135413118172437,4.099746557797781,4
20260818,24,5,expanded-K,"(2, 3, 4)",2,5,True,,2.4306814540177584,8.069959158817918,2
20260818,24,5,full-EM,"(2, 3, 4)",5,10,True,,7.48094766959548,8.069959158817918,2
20260818,60,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,11.712243145797402,2.7661020645838574,4
20260818,61,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,14.582837720867246,2.8721324232929435,4
20260818,62,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,12.014047112315893,2.867952001570864,4
20260818,63,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,11.830347430892289,8.839332410652851,2
20260818,64,10,expanded-K,"(2, 3, 4, 6, 8)",2,5,True,,15.688345280010253,3.6477276762893878,6
