param,E_task_physical_mean,E_task_physical_sd,delta_E_task_physical_mean,delta_z_switch_mean,rho_alpha_event_mean,rmse_alpha_event_mean,E_gen_mean,seed_count
arc,5.500102521933822,2.3845025275638134,0.8970427398169282,2.9693156480789185,0.845165737952313,0.2565721097111399,0.32817617265873367,5
dtw,4.136032420135635,1.6231378767728613,-0.46702736198125994,6.808486580848694,0.775471486362734,0.30878642221779806,0.21715547271575059,5
dtw-position,3.18787946280453,1.9155590716851834,-1.4151803193123647,-4.466931521892548,0.946072515932195,0.13513058569618802,0.1301294844690455,5
keypoint,8.893901917705612,2.8724671460017817,4.2908421355887185,-6.04642778635025,0.8050114624521413,0.28565801266662716,0.3487751956470241,5
oracle,4.603059782116895,2.421656336437917,0.0,-4.27401065826416,1.0,0.0,0.21823033250720486,5
time,11.107657326531854,6.606098383165795,6.504597544414961,9.353643655776978,0.42688812201618587,0.42504390725080815,0.7451700050421827,5
