method,pair_key,family,sample_size,m_transfer_accuracy,e_alpha_mean,e_task_mean,count
Phase scalar GP target scratch,bowl_stove_to_cream_cheese_bowl,support_to_container,8,0.0,0.1486021194088241,7.0845329374193246e-06,3
Pdiag finite target scratch,bowl_stove_to_cream_cheese_bowl,support_to_container,8,1.0,0.0002304963627549012,5.3205612149937255e-08,3
Ours transfer: source Pdiag N=30 + target nominal N=1,bowl_stove_to_wine_cabinet,cross_object_support,3,1.0,4.334104309708051e-05,1.9705236204601473e-09,3
Frame-weighted target scratch,bowl_stove_to_wine_cabinet,cross_object_support,3,0.0,0.18418153738665757,1.0570099592823592e-05,3
Phase scalar GP target scratch,bowl_stove_to_wine_cabinet,cross_object_support,3,0.0,0.18418400161558487,1.0570330586761898e-05,3
Pdiag finite target scratch,bowl_stove_to_wine_cabinet,cross_object_support,3,1.0,0.006422317279062122,7.844639103772334e-07,3
Ours transfer: source Pdiag N=30 + target nominal N=1,bowl_stove_to_wine_cabinet,cross_object_support,5,1.0,4.334104309708051e-05,1.9500893430912668e-09,3
Frame-weighted target scratch,bowl_stove_to_wine_cabinet,cross_object_support,5,0.0,0.1480490940167486,7.114706675574666e-06,3
Phase scalar GP target scratch,bowl_stove_to_wine_cabinet,cross_object_support,5,0.0,0.1480521971871751,7.1149095604475055e-06,3
Pdiag finite target scratch,bowl_stove_to_wine_cabinet,cross_object_support,5,1.0,0.00047464055279762535,6.61873889108722e-08,3
Ours transfer: source Pdiag N=30 + target nominal N=1,bowl_stove_to_wine_cabinet,cross_object_support,8,1.0,4.334104309708051e-05,1.9224457172869134e-09,3
Frame-weighted target scratch,bowl_stove_to_wine_cabinet,cross_object_support,8,0.0,0.15722838506269618,7.084922173364227e-06,3
Phase scalar GP target scratch,bowl_stove_to_wine_cabinet,cross_object_support,8,0.0,0.1572308897699859,7.08508334401139e-06,3
Pdiag finite target scratch,bowl_stove_to_wine_cabinet,cross_object_support,8,1.0,0.00013341592990449649,3.9751233365107624e-08,3
