seed,model,response_error_mean_mm_equiv,response_error_ci_low,response_error_ci_high,response_endpoint_error_mean_mm_equiv,response_endpoint_error_ci_low,response_endpoint_error_ci_high,task_error_mean_mm_equiv,task_error_ci_low,task_error_ci_high,task_endpoint_error_mean_mm_equiv,task_endpoint_error_ci_low,task_endpoint_error_ci_high,generator_rmse,translation_profile_rmse,yaw_profile_rmse,g_translation_final,g_yaw_preclear,g_yaw_final,crossing_detected,switch_status,switch_s_0_5,switch_absolute_error,switch_penalized_absolute_error
20260818,Frame-weighted,5.664679509735055,4.985504519305709,6.429852440504165,6.510397534702351,5.36948014342067,7.713930341736521,4.3326301291202896,3.5724687142331395,5.085322660171692,3.2195020518233965,0.961199361311837,5.473145586089779,0.3335524791750282,0.30445440666386275,0.382569556926484,0.5684882686578129,0.9932188106637025,0.5684882686578129,False,right_censored,,,0.4037680732621638
20260818,Phase scalar GP,5.6712357431812785,4.990658328485253,6.437885674876708,6.509337474551264,5.368342614539548,7.71631907240984,4.339231964421078,3.581767333120512,5.091188714824696,3.2141407560271595,0.9597457999395335,5.463869899037377,0.333416186121562,0.3042973424834337,0.3824630472191746,0.5691932420487744,0.9931619857177315,0.5691932420487744,False,right_censored,,,0.4037680732621638
20260818,TP-GMM additive,3.0883308119506236,2.7169878977289508,3.484936173026082,0.22059110963099293,0.11223508833672166,0.40922185451937954,2.900888735301379,2.5965647536657297,3.227263532016876,0.21775373505112733,0.11043583760507591,0.40497379561458047,0.09372218373451592,0.09293784071846618,0.08428571517807394,0.9972360222085163,0.952706361047021,0.0017232110570331379,True,detected,0.6199004519772356,0.02366852523939944,0.02366852523939944
20260818,TP-GMM SE(2),3.098546564333475,2.7543113323950745,3.556465451175469,0.7238166225770175,0.4142206278646069,1.053356132604483,2.7446103031168807,2.3817138785437564,3.1584279471390877,0.21079548093415268,0.09885308049463018,0.388042163844138,0.13272730194563925,0.14097169495747905,0.11010908831142502,0.9971210373897077,0.8203154564534357,0.07571591836807048,True,detected,0.5582393505253035,0.037992576212532714,0.037992576212532714
20260818,Generic RBF,4.531115988504243,3.206589858141699,6.085369535549425,2.670382110536009,2.2038085436628925,3.126981883402385,4.509290194112303,3.1752688894885077,6.073249252200943,2.6700053990054045,2.203401205384634,3.126938636407175,0.19590601057752047,0.1807226348006277,0.037469682356216644,0.9370612735419224,0.9254453007680539,-0.0009880873132504851,True,detected,0.6016154598263345,0.00538353308849826,0.00538353308849826
20260818,Full operator,3.691139686825389,2.366542908507135,5.264326811085934,0.21786823240110975,0.06689979836076466,0.4548091598130732,3.6474856791562535,2.3047730050431596,5.229150516244969,0.2161236893287247,0.06582906419419782,0.45182715829544107,0.19871200578728546,0.17319207020475677,0.029145107314675633,1.0016631407828915,0.999339132805296,-0.001359791812466886,True,detected,0.6039040961822506,0.007672169444414401,0.007672169444414401
20260818,Pdiag pointwise,3.233391706910031,2.821775039238511,3.6176354606678816,0.20299027699175803,0.06433387088326464,0.43945509029747526,3.192102185368197,2.7958024055374215,3.5537106077012313,0.20114125737249994,0.06265297561227384,0.4363711779802161,0.20011410560274123,0.1964446014051228,0.08124785956996951,1.0023529191686227,0.9996234512268696,-0.0015828482920500985,True,detected,0.6038190293711937,0.00758710263335749,0.00758710263335749
20260818,Pdiag finite,2.2187718780770656,1.810287555954264,2.599707463877956,0.5302048322361175,0.3485502077049161,0.7570509497282742,2.136021200548082,1.7141667111666452,2.541087339129111,0.4430692333847136,0.2187170468898146,0.7085931984594116,0.16890277789935476,0.15334322566165332,0.06446437612769298,0.9846937667129909,0.9983188907168092,0.023411897251686287,True,detected,0.60584116101829,0.009609234280453793,0.009609234280453793
20270818,Frame-weighted,4.7055885967917614,3.9124011711785616,5.7268890337277645,6.627092393144043,5.500041602073686,7.816389117982695,3.3965458170678664,2.9453017182611863,3.8077840519779604,3.2765461144757553,0.9405365446534611,5.609077987193974,0.3066843800783118,0.27151022673424957,0.3608630930032314,0.5753669551580525,0.9962109151572625,0.5753669551580525,False,right_censored,,,0.4033818448260654
20270818,Phase scalar GP,4.7056071802595785,3.9123906323002005,5.726913965443551,6.627055560671796,5.499876758015225,7.816484110084967,3.3965590946491977,2.945299111946691,3.807772969844692,3.2763585757333558,0.9404852919212638,5.608753325653538,0.30668489646069785,0.2715113418100128,0.3608627316179247,0.5753916582807774,0.9960593470037604,0.5753916582807774,False,right_censored,,,0.4033818448260654
